	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	O45526_REVERSED	Uncharacterized protein (O45526_REVERSED_CAEEL)-REVERSED			27.787907878293268	68.4	0.0	0.0				Single Protein		O45526_REVERSED	0	1	1	0	1	0	2	61.904761904761905	1	Doubtful
2	G5EF07	BTAF (TBP-associated factor) homolog (G5EF07_CAEEL)	btf-1	II	185.71621146980925	66.95	0.0	0.0				Single Protein		G5EF07	0	1	1	0	1	0	1	0.0	0	Doubtful
3	Q20448	Zinc finger putative Transcription Factor family (Q20448_CAEEL)	ztf-7	V	71.06917743236427	56.19	0.0	0.0				Single Protein		Q20448	0	1	1	0	1	0	1	0.0	0	Doubtful
4	F36A4.10_2_REVERSED	ref_frame-3|F36A4.10alt_frame-2-REVERSED			21.316722778184374	100.0	0.0	0.0				Single Protein		F36A4.10_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
5	Q21635_REVERSED	Uncharacterized protein (Q21635_REVERSED_CAEEL)-REVERSED			30.012033089992105	60.85	0.0	0.0				Single Protein		Q21635_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	F23B12.7.2_4	ref_frame-3|F23B12.7alt_frame-1			12.359327958873614	100.0	0.0	0.0				Single Protein		F23B12.7.2_4	0	1	1	0	1	0	1	0.0	0	Doubtful
7	O16729	Uncharacterized protein (O16729_CAEEL)	CELE_K09F6.4		92.08656806064891	53.96	0.0	0.0				Single Protein		O16729	0	1	1	0	1	0	1	0.0	0	Doubtful
8	F42A8.1_2	ref_frame-2|F42A8.1alt_frame-3			8.238337351101785	71.83	0.0	0.0				Single Protein		F42A8.1_2	0	1	1	0	1	0	2	0.0	0	Doubtful
9	Y54E10A.12_1_REVERSED	ref_frame-1|Y54E10A.12alt_frame-2-REVERSED			5.31987151648745	26.67	0.0	0.0				Single Protein		Y54E10A.12_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
10	F38A6.3a_1	ref_frame-3|F38A6.3alt_frame-1			20.505510889757026	64.97	0.0	0.0				Related Proteins	F38A6.3b_2	F38A6.3a_1, F38A6.3b_2	0	2	2	0	2	0	2	0.0	0	Doubtful
