	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	P01891				40.88310625717927	63.56	3.29	84.98631454038062				Related Proteins	P01892, P10314, P10316, P10321, P16188, P16189, P16190, P18463, P30453, P30459, P30460, P30462, P30466, P30479, P30480, P30492, P30493, P30499, P30504, P30505, P30508, P30510, P30512, Q07000, Q29865, Q29940, Q29960, Q29963, Q9TNN7	P01891, P01892, P10314, P10316, P10321, P16188, P16189, P16190, P18463, P30453, P30459, P30460, P30462, P30466, P30479, P30480, P30492, P30493, P30499, P30504, P30505, P30508, P30510, P30512, Q07000, Q29865, Q29940, Q29960, Q29963, Q9TNN7	1	1	0	0	1	1	1	100.0	0	Doubtful
2	Q9UKV3				151.77079068994243	73.75	15.51	115.04891396034499				Single Protein		Q9UKV3	20	25	25	20	25	35	43	100.0	0	Confident
3	Q9NXF1				105.60761109247318	67.17	3.34	58.08967621285019				Single Protein		Q9NXF1	2	5	5	2	5	2	6	100.0	0	Doubtful
4	P68104				50.10910826932214	55.63	22.51	532.0674909847488				Related Proteins	Q5VTE0	P68104, Q5VTE0	7	7	7	7	7	16	16	100.0	0	Confident
5	P25440				88.006311905524	53.68	2.87	118.16375059180233				Single Protein		P25440	2	2	1	1	1	4	4	100.0	0	Confident
6	O95197				112.54142600660994	56.59	1.07	39.43652677543755				Single Protein		O95197	1	1	1	1	1	1	2	100.0	0	Doubtful
7	P17844				69.10473382539206	71.5	11.56	170.42588942497662				Single Protein		P17844	7	8	5	4	5	10	11	100.0	0	Confident
8	Q09666				628.6993855112892	90.29	3.12	9.733714239542103				Single Protein		Q09666	5	8	8	5	8	6	9	100.0	0	Confident
9	P21127				92.65030386123267	76.35	6.92	121.29921702524472				Related Proteins	Q9UQ88	P21127, Q9UQ88	6	8	8	6	8	7	10	100.0	0	Confident
10	P22314				117.77432920492443	56.62	4.35	71.30181507704793				Single Protein		P22314	3	4	4	3	4	4	5	100.0	0	Confident
11	P61964				36.56545229372351	69.16	6.89	125.57109648406536				Single Protein		P61964	2	2	2	2	2	2	2	100.0	0	Confident
12	P68363				50.119604615111854	58.98	21.29	495.15271208891875				Related Proteins	P68366	P68363, P68366	8	10	0	0	0	29	32	100.0	0	Confident
13	Q9NPF5				52.95979608595446	81.8	2.57	64.42510940964337				Single Protein		Q9NPF5	1	1	1	1	1	1	1	100.0	0	Doubtful
14	P43243				94.56479778685481	73.08	9.45	160.47503568388015				Single Protein		P43243	5	7	7	5	7	8	10	100.0	0	Confident
15	P61978				50.94440274865072	67.82	4.54	182.98754897765198				Single Protein		P61978	2	2	2	2	2	3	3	100.0	0	Confident
16	O15047				185.92013916233606	50.97	0.7	24.041700329995894				Single Protein		O15047	1	2	2	1	2	1	3	100.0	0	Doubtful
17	Q9BV38				47.37500670859233	46.76	4.4	256.98986657890833				Single Protein		Q9BV38	2	2	2	2	2	3	4	100.0	0	Confident
18	P02786				84.81794354456795	78.03	1.84	85.9001458795245				Single Protein		P02786	1	1	1	1	1	2	2	100.0	0	Doubtful
19	O75534				88.82887199839485	75.06	1.38	36.54966991344473				Single Protein		O75534	1	1	1	1	1	1	1	100.0	0	Doubtful
20	Q7Z4V5				74.27222971678142	82.56	10.73	215.10540944301638				Single Protein		Q7Z4V5	6	9	8	5	9	11	17	100.0	0	Confident
21	Q07955				27.727814961380233	100.0	36.29	581.526091740656				Single Protein		Q07955	9	9	9	9	9	19	19	100.0	0	Confident
22	P35613				42.17406050810534	51.43	10.65	355.588656085622	Oxidation of M(M292)	Oxidation of M(1)		Single Protein		P35613	3	4	4	3	4	6	7	100.0	0	Confident
23	Q8TAQ2				132.7967512662691	55.02	0.66	23.867262043350593				Related Proteins	Q92922	Q8TAQ2, Q92922	1	1	0	0	1	2	2	100.0	0	Doubtful
24	P27348				27.746766754682028	79.59	20.0	308.914216170577	Oxidation of M(M218)	Oxidation of M(1)		Single Protein		P27348	5	5	2	2	2	8	8	100.0	0	Confident
25	O95218				37.3820216872587	100.0	11.21	437.7653646451221				Single Protein		O95218	3	6	6	3	6	8	10	100.0	0	Confident
26	P61289				29.48755907553688	84.65	13.78	476.8456935219186				Single Protein		P61289	3	3	3	3	3	6	6	100.0	0	Confident
27	Q01650				54.97427888839586	35.31	3.55	98.10700871503587				Single Protein		Q01650	1	1	1	1	1	1	1	100.0	0	Doubtful
28	P12268				55.76964691124249	63.62	2.14	146.00781975866957				Single Protein		P12268	1	1	1	1	1	2	2	100.0	0	Doubtful
29	Q99873				41.48853521712523	81.99	6.65	260.50152935203624				Single Protein		Q99873	2	2	2	2	2	4	4	100.0	0	Confident
30	Q15393				135.49174066293733	60.15	1.64	48.711668090218154				Single Protein		Q15393	2	2	2	2	2	2	2	100.0	0	Doubtful
31	Q9GZP8				10.890574915078538	55.66	7.55	527.5565562978344				Single Protein		Q9GZP8	1	1	1	1	1	2	2	100.0	0	Doubtful
