	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UKT6				49.120089697317184	56.91	0.0	0.0					Single Protein		Q9UKT6	0	1	1	0	1	0	0	1	21.03106862410379	Doubtful
2	P28562				39.27265807708235	56.95	0.0	0.0					Single Protein		P28562	0	1	1	0	1	0	0	1	22.23330009970089	Doubtful
3	NM_001042632_2	Homo sapiens sorting nexin family member 21 (SNX21), transcript variant 3, mRNA|SNX21|frame-2			20.59898450772477	75.0	0.0	0.0					Related Proteins	NM_001042633_2, Q969T3	NM_001042632_2, NM_001042633_2, Q969T3	0	1	1	0	1	0	0	2	16.527037319116523	Doubtful
4	NM_032301_1	Homo sapiens F-box and WD repeat domain containing 9 (FBXW9), mRNA|FBXW9|frame-2			7.537000420505537	100.0	0.0	0.0					Single Protein		NM_032301_1	0	1	1	0	1	0	0	1	23.45436702649657	Doubtful
5	NM_020552_11	Homo sapiens T-cell leukemia/lymphoma 6 (TCL6), transcript variant TCL6b1, mRNA|TCL6|frame-1			5.448840721101662	100.0	0.0	0.0					Related Proteins	NM_020553_7	NM_020552_11, NM_020553_7	0	1	1	0	1	0	0	1	22.23330009970089	Doubtful
6	XM_002344014_3	PREDICTED: Homo sapiens similar to major histocompatibility complex, class II, DR beta 3, transcript variant 1 (LOC100294276), mRNA|LOC100294276|frame-1			8.206306030257746	50.72	0.0	0.0					Related Proteins	XM_002344015_3, XM_002346770_3	XM_002344014_3, XM_002344015_3, XM_002346770_3	0	1	1	0	1	0	0	1	20.378399684666924	Doubtful
7	NM_032291_2	Homo sapiens SH3-domain GRB2-like (endophilin) interacting protein 1 (SGIP1), mRNA|SGIP1|frame-3			6.258306945633914	100.0	0.0	0.0					Single Protein		NM_032291_2	0	1	1	0	1	0	0	1	20.069686411149824	Doubtful
8	Q9H4L7				117.32797618478314	80.8	0.0	0.0					Single Protein		Q9H4L7	0	2	2	0	2	0	0	3	43.668639053254445	Doubtful
9	NM_001075099_1	Homo sapiens src kinase associated phosphoprotein 1 (SKAP1), transcript variant 2, mRNA|SKAP1|frame-3			9.258761702657784	100.0	0.0	0.0					Related Proteins	NM_003726_1	NM_001075099_1, NM_003726_1	0	1	1	0	1	0	0	2	16.527037319116523	Doubtful
10	B2MG_HUMAN				13.705910892344157	100.0	16.81	407.3589715246896					Related Proteins	P61769	B2MG_HUMAN, P61769	2	2	2	2	2	2	3	3	51.32013201320132	Confident
11	Q9NXD2				88.21711454432949	86.87	0.0	0.0					Single Protein		Q9NXD2	0	1	1	0	1	0	0	2	16.527037319116523	Doubtful
12	Q9UKV8				97.14587985523316	87.66	0.0	0.0					Single Protein		Q9UKV8	0	1	1	0	1	0	0	1	20.610384462940946	Doubtful
13	Q9H4K1				37.03689544027872	100.0	0.0	0.0					Single Protein		Q9H4K1	0	1	1	0	1	0	0	2	16.527037319116523	Doubtful
14	NM_015423_1	Homo sapiens aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (AASDHPPT), mRNA|AASDHPPT|frame-1			4.76554941379839	100.0	0.0	0.0					Single Protein		NM_015423_1	0	1	1	0	1	0	0	1	33.494675701839306	Doubtful
15	NM_003170_2	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			4.913436760878631	100.0	0.0	0.0					Single Protein		NM_003170_2	0	1	1	0	1	0	0	1	16.527037319116523	Doubtful
16	Q9UKW4				97.71348141546703	87.84	0.0	0.0					Single Protein		Q9UKW4	0	4	4	0	4	0	0	6	51.664447403462056	Doubtful
17	Q9NXE4				93.29205858100417	72.79	0.0	0.0					Single Protein		Q9NXE4	0	1	1	0	1	0	0	1	0.0	Doubtful
18	NM_152527_3	Homo sapiens solute carrier family 16, member 14 (monocarboxylic acid transporter 14) (SLC16A14), mRNA|SLC16A14|frame-2			4.633175845974629	35.71	0.0	0.0					Single Protein		NM_152527_3	0	1	1	0	1	0	0	1	22.23330009970089	Doubtful
19	Q86XA9				221.86276015291375	75.74	0.0	0.0					Single Protein		Q86XA9	0	1	1	0	1	0	0	1	22.23330009970089	Doubtful
