	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A6NDB9				71.65224201192197	59.73	0.0	0.0					Single Protein		A6NDB9	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Q86XE3				60.673135583568005	67.92	0.0	0.0					Single Protein		Q86XE3	0	1	1	0	1	0	0	1	0.0	Doubtful
3	Q9UKU6				116.9258329375981	64.36	0.0	0.0					Single Protein		Q9UKU6	0	1	1	0	1	0	0	1	0.0	Doubtful
4	Q9UKU9				57.06843892647828	72.01	0.0	0.0					Single Protein		Q9UKU9	0	1	1	0	1	0	0	1	0.0	Doubtful
5	P30876				133.81068609894038	70.44	0.0	0.0					Single Protein		P30876	0	1	1	0	1	0	0	1	0.0	Doubtful
6	Q9UKU7				45.04047116324456	68.19	0.0	0.0					Single Protein		Q9UKU7	0	1	1	0	1	0	0	1	0.0	Doubtful
7	Q9NXC5				98.52091917610424	85.26	0.0	0.0					Single Protein		Q9NXC5	0	1	1	0	1	0	0	1	0.0	Doubtful
8	NM_024103_3	Homo sapiens solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23 (SLC25A23), nuclear gene encoding mitochondrial protein, mRNA|SLC25A23|frame-3			6.787330568779482	100.0	0.0	0.0					Single Protein		NM_024103_3	0	1	1	0	1	0	0	1	0.0	Doubtful
9	NM_001098426_1	Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 (SMARCD2), transcript variant 1, mRNA|SMARCD2|frame-1			5.360716858001222	100.0	0.0	0.0					Related Proteins	NM_003077_1	NM_001098426_1, NM_003077_1	0	1	1	0	1	0	0	1	0.0	Doubtful
10	P30872				42.6578822327327	32.74	0.0	0.0					Single Protein		P30872	0	1	1	0	1	0	0	1	0.0	Doubtful
11	Q96QZ7				164.48081035871195	63.85	0.0	0.0					Single Protein		Q96QZ7	0	1	1	0	1	0	0	1	0.0	Doubtful
12	Q8WXA9				59.34501049295324	84.06	19.09	125.10697375738256	Oxidation of M(M129, M150)	Oxidation of M(2)			Single Protein		Q8WXA9	6	6	6	6	6	6	9	10	100.0	Confident
13	Q9UKV3				151.77079068994243	73.75	6.11	48.519192160536214	Oxidation of M(M319, M320)	Oxidation of M(2)			Single Protein		Q9UKV3	8	11	11	8	11	8	11	15	100.0	Confident
14	NM_005418_2	Homo sapiens suppression of tumorigenicity 5 (ST5), transcript variant 1, mRNA|ST5|frame-1			3.860788874822591	100.0	0.0	0.0					Related Proteins	NM_139157_1, NM_213618_2	NM_005418_2, NM_139157_1, NM_213618_2	0	1	1	0	1	0	0	1	0.0	Doubtful
15	NM_032291_6	Homo sapiens SH3-domain GRB2-like (endophilin) interacting protein 1 (SGIP1), mRNA|SGIP1|frame-2			6.4533726847215425	56.14	0.0	0.0					Single Protein		NM_032291_6	0	1	1	0	1	0	0	1	0.0	Doubtful
