	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q8WXA9				59.34501049295324	88.39	10.24	140.48707448169966					Single Protein		Q8WXA9	3	4	4	3	4	3	3	5	100.0	Confident
2	Q9UKV3				151.77079068994243	75.39	0.89	56.63631554862684					Single Protein		Q9UKV3	1	3	3	1	3	1	2	4	100.0	Doubtful
3	P68104				50.10910826932214	55.63	28.14	650.8002478509743	Oxidation of M(M276, M404, M410)	Oxidation of M(3)			Related Proteins	Q5VTE0	P68104, Q5VTE0	9	9	9	9	9	9	20	20	100.0	Confident
4	P31943				49.19840896001632	71.71	2.23	183.99230853364065					Related Proteins	P52597, P55795	P31943, P52597, P55795	1	1	1	1	1	1	2	2	100.0	Doubtful
5	Q9BTT0				30.67384802276165	45.15	5.97	194.3873542135074					Single Protein		Q9BTT0	1	1	1	1	1	1	1	1	100.0	Doubtful
6	Q14204				532.0718395312898	79.04	0.32	8.010840907052573					Single Protein		Q14204	1	1	1	1	1	1	1	1	100.0	Doubtful
7	P21127				92.65030386123267	79.12	18.62	255.59527989162814	Oxidation of M(M674, M700)	Oxidation of M(2)			Related Proteins	Q9UQ88	P21127, Q9UQ88	12	16	13	11	16	12	22	27	100.0	Confident
8	P22314				117.77432920492443	66.92	1.42	37.60279966753094					Single Protein		P22314	1	1	1	1	1	1	1	1	100.0	Doubtful
9	P68363				50.119604615111854	68.51	21.29	388.33019027040683					Related Proteins	P68366	P68363, P68366	9	11	0	0	0	0	20	23	100.0	Confident
10	Q9NPF5				52.95979608595446	81.8	4.71	198.1944798144632					Single Protein		Q9NPF5	2	3	3	2	3	2	4	4	100.0	Confident
11	P43243				94.56479778685481	75.56	10.63	161.25381045395693					Single Protein		P43243	6	9	9	6	9	6	10	13	100.0	Confident
12	P61978				50.94440274865072	72.14	2.59	90.06953323505446					Single Protein		P61978	1	1	1	1	1	1	1	1	100.0	Doubtful
13	Q9BV38				47.37500670859233	51.85	13.66	535.4942812947834					Single Protein		Q9BV38	5	6	6	5	6	5	10	11	100.0	Confident
14	Q7Z4V5				74.27222971678142	88.97	26.83	409.57749750884403	Oxidation of M(M126, M459)	Oxidation of M(2)			Single Protein		Q7Z4V5	19	24	24	19	24	19	45	52	100.0	Confident
15	O95983				32.82332978686719	76.98	5.15	273.0679499665937					Single Protein		O95983	1	2	2	1	2	1	2	3	100.0	Doubtful
16	Q07955				27.727814961380233	100.0	9.68	346.84033967531053					Single Protein		Q07955	2	2	2	2	2	2	3	3	100.0	Confident
17	Q92541				80.26460941650468	81.83	3.52	104.57921488082312					Single Protein		Q92541	2	2	2	2	2	2	3	3	100.0	Confident
18	P27348				27.746766754682028	79.59	18.37	397.8990128084651					Single Protein		P27348	3	5	4	3	4	3	4	7	100.0	Confident
