	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	ZK546.17.1_1	ref_frame-3|ZK546.17alt_frame-1			5.538896001938042	100.0	0.0	0.0					Single Protein		ZK546.17.1_1	0	1	1	0	1	0	0	1	10.683378096090724	Doubtful
2	T28B8.1.2_1	ref_frame-2|T28B8.1alt_frame-1			7.221866778528786	100.0	0.0	0.0					Single Protein		T28B8.1.2_1	0	1	1	0	1	0	0	1	10.683378096090724	Doubtful
3	Q9TYS1	Uncharacterized protein (Q9TYS1_CAEEL)	CELE_D1037.1		89.6548989764535	94.91	0.0	0.0					Single Protein		Q9TYS1	0	1	1	0	1	0	0	1	10.683378096090724	Doubtful
4	T23B12.4_3	ref_frame-2|T23B12.4alt_frame-3			7.309126799154694	100.0	0.0	0.0					Single Protein		T23B12.4_3	0	2	2	0	2	0	0	2	10.683378096090724	Doubtful
5	R13A5.9_3	ref_frame-3|R13A5.9alt_frame-1			6.316368775128171	100.0	0.0	0.0					Single Protein		R13A5.9_3	0	1	1	0	1	0	0	2	10.683378096090724	Doubtful
6	F36H12.5_2	ref_frame-1|F36H12.5alt_frame-2			7.017990312251984	100.0	0.0	0.0					Single Protein		F36H12.5_2	0	5	5	0	5	0	0	5	10.683378096090724	Doubtful
7	F36H12.5_1	ref_frame-1|F36H12.5alt_frame-2			8.064702950820047	100.0	0.0	0.0					Single Protein		F36H12.5_1	0	1	1	0	1	0	0	1	10.683378096090724	Doubtful
8	Q9TZ57	COLlagen (Q9TZ57_CAEEL)	col-69	II	41.36456299674041	56.85	0.0	0.0					Single Protein		Q9TZ57	0	1	1	0	1	0	0	1	10.683378096090724	Doubtful
9	Q6BET0	Ligand-Gated ion Channel (Q6BET0_CAEEL)	lgc-36	V	62.348016689574756	93.84	0.0	0.0					Single Protein		Q6BET0	0	1	1	0	1	0	0	1	10.683378096090724	Doubtful
10	Y102A5A.1_4	ref_frame-1|Y102A5A.1alt_frame-2			6.02893921527538	100.0	0.0	0.0					Single Protein		Y102A5A.1_4	0	1	1	0	1	0	0	1	10.683378096090724	Doubtful
11	Q9TYU5	Histone acetyltransferase Tip60 homolog (TIP60_CAEEL)	mys-1	V	53.10893381268353	100.0	0.0	0.0					Single Protein		Q9TYU5	0	1	1	0	1	0	0	1	10.683378096090724	Doubtful
12	Q9TYU4	Uncharacterized protein (Q9TYU4_CAEEL)	CELE_VC5.2		67.3665333088533	85.88	0.0	0.0					Single Protein		Q9TYU4	0	2	2	0	2	0	0	2	10.683378096090724	Doubtful
13	T19H5.4b.1_2	ref_frame-1|T19H5.4alt_frame-2			6.612551911881453	100.0	0.0	0.0					Single Protein		T19H5.4b.1_2	0	1	1	0	1	0	0	1	10.683378096090724	Doubtful
