	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	F26F12.7_1	ref_frame-2|F26F12.7alt_frame-3			7.494089787425944	100.0	0.0	0.0				Single Protein		F26F12.7_1	0	1	1	0	1	0	1	0.0	0	Doubtful
2	D2092.6_1_REVERSED	ref_frame-1|D2092.6alt_frame-2-REVERSED			9.759774286011993	100.0	0.0	0.0				Single Protein		D2092.6_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
3	Y66D12A.15_1	ref_frame-3|Y66D12A.15alt_frame-1			9.403805976275319	100.0	0.0	0.0				Single Protein		Y66D12A.15_1	0	1	1	0	1	0	2	0.0	0	Doubtful
4	R13A5.9_3	ref_frame-3|R13A5.9alt_frame-1			6.316368775128171	100.0	0.0	0.0				Single Protein		R13A5.9_3	0	1	1	0	1	0	2	0.0	0	Doubtful
5	O17013_REVERSED	Nuclear Hormone Receptor family (O17013_REVERSED_CAEEL)-REVERSED			45.0488801479841	70.18	0.0	0.0				Single Protein		O17013_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	Y38C9A.2.2_2_REVERSED	ref_frame-2|Y38C9A.2alt_frame-3-REVERSED			8.037270658166412	100.0	0.0	0.0				Single Protein		Y38C9A.2.2_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
7	Q09653	Putative cytochrome P450 CYP13A10 (C13AA_CAEEL)	cyp-13A10	II	59.978821481856976	77.07	0.0	0.0				Single Protein		Q09653	0	1	1	0	1	0	1	0.0	0	Doubtful
8	Q9TYS3	Ferritin (Q9TYS3_CAEEL)	ftn-2	I	19.58070075291597	100.0	20.59	384.8094787490881				Single Protein		Q9TYS3	3	3	3	3	3	6	6	100.0	0	Confident
9	Q22624	Uncharacterized protein (Q22624_CAEEL)	CELE_T21B10.3		135.44809076651882	71.88	0.0	0.0				Single Protein		Q22624	0	3	3	0	3	0	3	0.0	0	Doubtful
10	O61773	Uncharacterized protein (O61773_CAEEL)	C35E7.3	I	57.881241483882704	89.84	0.0	0.0				Single Protein		O61773	0	1	1	0	1	0	1	0.0	0	Doubtful
11	F07A11.4_5_REVERSED	ref_frame-2|F07A11.4alt_frame-3-REVERSED			5.448884032107744	100.0	0.0	0.0				Single Protein		F07A11.4_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
12	Q6BES3	TWiK family of potassium channels (Q6BES3_CAEEL)	twk-24	V	67.61582164845007	63.04	0.0	0.0				Single Protein		Q6BES3	0	1	1	0	1	0	1	0.0	0	Doubtful
