	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P81605				11.27682755014452	63.64	10.0	1373.1370943219565					Single Protein		P81605	1	1	1	1	1	1	2	2	100.0	Doubtful
2	O00522				84.29444262479272	79.21	1.09	216.48557793364182					Single Protein		O00522	1	1	1	1	1	1	3	10	100.0	Doubtful
3	P02533				51.52938407421822	87.29	12.71	441.32581773414023					Single Protein		P02533	5	5	4	4	4	4	8	9	100.0	Doubtful
4	K22E_HUMAN				65.82539290353346	75.19	37.98	603.6311106407031					Related Proteins	P35908	K22E_HUMAN, P35908	23	26	17	14	18	15	51	56	100.0	Doubtful
5	TRY1_BOVIN				25.408419297583514	71.6	81.07	54725.999967008305					Single Protein		TRY1_BOVIN	32	36	36	32	36	32	343	365	100.0	Doubtful
6	P35527				62.02681468242336	59.87	42.22	862.1044754980046					Single Protein		P35527	20	23	23	20	23	20	47	53	100.0	Doubtful
7	P04259				60.03029098160933	72.16	11.88	400.99831542015596					Single Protein		P04259	9	9	1	1	1	1	22	23	100.0	Doubtful
8	P04264				65.99900087210398	65.22	47.52	663.2141425957133					Single Protein		P04264	29	31	23	21	24	22	88	98	100.0	Doubtful
9	REF_HEVBR				14.71268950229706	82.61	14.49	1044.7782239406192					Single Protein		REF_HEVBR	2	2	2	2	2	2	4	4	100.0	Doubtful
10	Q14CN4				55.842437763397974	87.08	2.35	101.82160657048408					Related Proteins	Q3SY84, Q7RTS7, Q86Y46	Q14CN4, Q3SY84, Q7RTS7, Q86Y46	1	1	1	1	1	1	1	1	100.0	Doubtful
11	P13647				62.33997694347283	68.98	12.88	572.0756122477072					Single Protein		P13647	10	10	4	4	4	4	22	23	100.0	Doubtful
12	P13645				58.79169361540863	62.67	38.53	818.7389653548436					Single Protein		P13645	20	21	20	19	20	19	39	45	100.0	Doubtful
13	ALBU_BOVIN				69.24844068501862	100.0	71.83	3984.058595875491					Single Protein		ALBU_BOVIN	62	66	66	62	66	62	405	435	100.0	Doubtful
14	Q86YZ3				282.2276283698903	43.89	6.7	39.78182802366954					Single Protein		Q86YZ3	5	7	7	5	7	5	7	14	100.0	Doubtful
