	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	P51531				181.16629630031673	66.73	0.63	13.885712273777258				Related Proteins	P51532	P51531, P51532	1	1	0	0	1	2	2	100.0	0	Doubtful
2	Q9UKV3				151.77079068994243	75.39	0.89	13.27999807582648				Single Protein		Q9UKV3	1	6	6	1	6	1	6	100.0	0	Doubtful
3	P68104				50.10910826932214	55.63	20.56	310.74427374151935				Related Proteins	Q5VTE0	P68104, Q5VTE0	7	9	4	4	4	18	22	100.0	0	Confident
4	Q9BU76				29.39394032622967	100.0	3.8	61.35056145296264				Single Protein		Q9BU76	1	1	1	1	1	1	1	100.0	0	Doubtful
5	Q9Y5U2				34.30462719879434	42.86	5.78	286.0850649313683				Single Protein		Q9Y5U2	2	2	2	2	2	3	3	100.0	0	Confident
6	P60660				16.91913314499716	82.12	24.5	284.948303083959				Single Protein		P60660	3	3	3	3	3	5	5	100.0	0	Confident
7	P17844				69.10473382539206	71.5	5.86	94.25004348672282				Single Protein		P17844	3	5	2	1	5	6	10	100.0	0	Confident
8	Q9UKK3				192.47238391119436	64.15	9.45	57.93124426688779				Single Protein		Q9UKK3	11	12	12	11	12	18	20	100.0	0	Confident
9	P35659				42.6479204774305	100.0	3.47	43.027193765677794				Single Protein		P35659	1	3	3	1	3	1	4	100.0	0	Doubtful
10	P22314				117.77432920492443	66.92	1.42	35.268191611211314				Single Protein		P22314	1	2	2	1	2	2	3	100.0	0	Doubtful
11	P61964				36.56545229372351	75.75	4.79	48.30897503631489				Single Protein		P61964	1	1	1	1	1	1	1	100.0	0	Doubtful
12	P61978				50.94440274865072	72.14	2.59	42.23873733541669				Single Protein		P61978	1	1	1	1	1	1	1	100.0	0	Doubtful
13	O95983				32.82332978686719	76.98	5.15	64.02856215130625				Single Protein		O95983	1	3	3	1	3	1	3	100.0	0	Doubtful
14	Q07955				27.727814961380233	100.0	23.79	219.03964568212993				Single Protein		Q07955	5	5	5	5	5	8	9	100.0	0	Confident
15	P27348				27.746766754682028	79.59	12.24	174.0531526235509				Single Protein		P27348	3	3	1	1	1	5	6	100.0	0	Confident
16	IP_200833_1				6.32925465016726	100.0	16.67	298.7999567060958				Single Protein		IP_200833_1	1	1	1	1	1	1	1	100.0	0	Doubtful
17	Q9Y4X5				64.07577472036868	63.2	12.39	264.89371083907224				Single Protein		Q9Y4X5	7	7	7	7	7	18	18	100.0	0	Confident
18	Q13620				103.9162090608696	87.08	1.42	18.48247154883067				Single Protein		Q13620	1	1	1	1	1	1	3	77.77777777777779	0	Doubtful
19	Q9NW82				73.15503997746953	76.91	1.68	52.90228741681697				Single Protein		Q9NW82	1	1	1	1	1	2	2	100.0	0	Doubtful
20	Q99873				41.48853521712523	81.99	4.16	50.10930950971793				Single Protein		Q99873	1	1	1	1	1	1	1	100.0	0	Doubtful
21	IP_075135_1				16.67080842701939	100.0	11.76	237.28231856072316			Oxidation of M (M50-{M41 M48 M50}, M51-{M51 M53})	Single Protein		IP_075135_1	1	3	3	1	3	2	4	100.0	0	Doubtful
22	Q99856				62.85000215735473	57.0	3.71	76.8342745815675				Single Protein		Q99856	2	3	3	2	3	3	4	100.0	0	Doubtful
23	Q01130				25.461183837817952	100.0	3.62	48.67329611502013				Related Proteins	Q9BRL6	Q01130, Q9BRL6	1	1	0	0	1	2	2	100.0	0	Doubtful
24	Q9NX58				43.58786359600625	93.4	27.18	271.25134403730175				Single Protein		Q9NX58	7	8	8	7	8	19	21	100.0	0	Confident
25	Q01664				38.70179464864698	78.7	2.37	55.2575262401684				Single Protein		Q01664	1	1	1	1	1	1	1	99.65870307167235	0	Doubtful
26	Q14974				97.1080146943779	59.13	13.58	173.0056032175262				Single Protein		Q14974	8	10	10	8	10	19	22	100.0	0	Confident
27	P52292				57.82594715606122	57.47	2.84	84.47747467083337				Single Protein		P52292	1	1	1	1	1	2	2	100.0	0	Doubtful
28	Q14980				238.11522374594037	90.87	10.87	60.4012242286752				Single Protein		Q14980	15	16	16	15	16	27	28	100.0	0	Confident
29	O75643				244.35261769115783	76.03	7.96	46.3189271785531				Single Protein		O75643	11	15	15	11	15	19	24	100.0	0	Confident
30	P52294				60.18354973157298	53.35	4.09	71.81838722015954				Single Protein		P52294	2	3	3	2	3	3	3	100.0	0	Confident
31	O94776				74.97573718107209	83.08	7.19	68.89684952148822				Single Protein		O94776	4	7	7	4	7	5	9	100.0	0	Confident
32	Q9UJX2				68.78999026641262	79.06	10.72	111.60899992886013				Single Protein		Q9UJX2	6	6	6	6	6	9	9	100.0	0	Confident
33	Q9UJX6				93.76884007973463	68.49	6.57	139.72909441321346				Single Protein		Q9UJX6	5	8	8	5	8	15	18	100.0	0	Confident
34	Q9UJX5				92.05770792388299	68.69	6.93	138.55818021422002				Single Protein		Q9UJX5	4	4	4	4	4	11	12	100.0	0	Confident
35	Q9UJX4				85.02277022825565	79.87	15.1	84.6588982564132				Single Protein		Q9UJX4	7	8	8	7	8	9	11	100.0	0	Confident
36	Q9UJX3				66.81284269657043	70.78	26.71	169.2344565153838				Single Protein		Q9UJX3	13	14	14	13	14	22	22	100.0	0	Confident
37	Q9Y5B9				119.83841950983168	77.84	1.05	34.257319877132005				Single Protein		Q9Y5B9	1	6	6	1	6	2	7	100.0	0	Doubtful
38	O75607				19.33140122125653	66.85	8.43	113.62815255020546				Single Protein		O75607	1	2	2	1	2	1	3	100.0	0	Doubtful
39	P08107				70.00903707472403	66.61	10.76	74.64469680851765				Single Protein		P08107	7	9	4	3	7	11	13	100.0	0	Confident
40	P31947				27.75669340650096	79.44	16.94	171.94767093858854				Single Protein		P31947	3	3	1	1	1	5	5	100.0	0	Confident
41	Q8WVC0				75.35929358700905	74.92	1.95	58.460861094670925				Single Protein		Q8WVC0	1	1	1	1	1	2	2	100.0	0	Doubtful
42	P29692				31.10278320777167	73.67	41.28	399.75697308986355	Oxidation of M(M135)	Oxidation of M(1)		Single Protein		P29692	12	12	10	10	10	34	39	100.0	0	Confident
43	Q14807				73.21665108950523	92.78	4.06	24.263455131021317				Single Protein		Q14807	1	3	3	1	3	1	6	100.0	0	Doubtful
44	Q07666				48.19718285574685	61.17	7.67	161.35197662129175				Single Protein		Q07666	2	4	4	2	4	5	8	100.0	0	Confident
45	Q14839				217.86707363306158	74.22	10.83	45.34890277787273				Single Protein		Q14839	14	20	15	9	20	24	30	100.0	0	Confident
46	Q99733				42.79689085890892	66.67	13.6	220.98558731616998				Single Protein		Q99733	4	4	3	3	3	11	12	100.0	0	Confident
