	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	O60449				198.1835705879316	77.53	0.87	6.694994580820871					Single Protein		O60449	1	1	1	1	1	1	1	2	50.0	Doubtful
2	P16581				66.6107961526438	52.62	0.0	0.0					Single Protein		P16581	0	1	1	0	1	0	0	1	0.0	Doubtful
3	O14544				59.49063106909095	83.74	0.0	0.0					Single Protein		O14544	0	1	1	0	1	0	0	1	0.0	Doubtful
4	NM_194449_4	Homo sapiens PH domain and leucine rich repeat protein phosphatase 1 (PHLPP1), mRNA|PHLPP1|frame-3			9.461833521710377	100.0	0.0	0.0					Single Protein		NM_194449_4	0	1	1	0	1	0	0	1	0.0	Doubtful
5	NM_004956_4	Homo sapiens ets variant 1 (ETV1), mRNA|ETV1|frame-2			5.641883120590952	100.0	0.0	0.0					Single Protein		NM_004956_4	0	1	1	0	1	0	0	1	0.0	Doubtful
6	NM_016091_3	Homo sapiens eukaryotic translation initiation factor 3, subunit L (EIF3L), mRNA|EIF3L|frame-2			6.729120478344501	100.0	0.0	0.0					Single Protein		NM_016091_3	0	1	1	0	1	0	0	3	0.0	Doubtful
7	NM_001031617_3	Homo sapiens COX19 cytochrome c oxidase assembly homolog (S. cerevisiae) (COX19), mRNA|COX19|frame-3			8.756485310261844	55.13	0.0	0.0					Single Protein		NM_001031617_3	0	1	1	0	1	0	0	1	0.0	Doubtful
8	NM_004560_3	Homo sapiens receptor tyrosine kinase-like orphan receptor 2 (ROR2), mRNA|ROR2|frame-3			6.67599423387973	49.21	0.0	0.0					Single Protein		NM_004560_3	0	1	1	0	1	0	0	1	0.0	Doubtful
9	NM_032291_1	Homo sapiens SH3-domain GRB2-like (endophilin) interacting protein 1 (SGIP1), mRNA|SGIP1|frame-3			12.409715896569521	100.0	0.0	0.0					Single Protein		NM_032291_1	0	1	1	0	1	0	0	1	0.0	Doubtful
10	NM_015484_3	Homo sapiens SYF2 homolog, RNA splicing factor (S. cerevisiae) (SYF2), transcript variant 1, mRNA|SYF2|frame-2			4.816399514659062	100.0	0.0	0.0					Related Proteins	NM_207170_3	NM_015484_3, NM_207170_3	0	1	1	0	1	0	0	1	0.0	Doubtful
11	P52209				53.10595320852181	85.51	65.22	217.52525589787965	Oxidation of M(M340)	Oxidation of M(1)			Single Protein		P52209	27	27	27	27	27	27	85	85	100.0	Confident
12	Q8NDV3				143.81806533125703	89.15	0.0	0.0					Single Protein		Q8NDV3	0	1	1	0	1	0	0	1	0.0	Doubtful
13	Q7Z4N2				182.0622402206764	81.47	0.0	0.0					Single Protein		Q7Z4N2	0	1	1	0	1	0	0	1	0.0	Doubtful
14	Q8WXA9				59.34501049295324	88.39	0.0	0.0					Single Protein		Q8WXA9	0	1	1	0	1	0	0	1	0.0	Doubtful
15	NM_001040167_6	Homo sapiens LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase (LFNG), transcript variant 1, mRNA|LFNG|frame-2			21.614596312173337	73.98	0.0	0.0					Single Protein		NM_001040167_6	0	1	1	0	1	0	0	1	0.0	Doubtful
16	Q9UKV3				151.77079068994243	86.43	0.0	0.0					Single Protein		Q9UKV3	0	1	1	0	1	0	0	1	0.0	Doubtful
17	NM_000254_13	Homo sapiens 5-methyltetrahydrofolate-homocysteine methyltransferase (MTR), mRNA|MTR|frame-2			13.277621193149319	100.0	0.0	0.0					Single Protein		NM_000254_13	0	1	1	0	1	0	0	1	0.0	Doubtful
18	P61158				47.34098137951422	76.08	53.35	208.27780775034617					Single Protein		P61158	15	15	15	15	15	15	29	29	100.0	Confident
19	Q6UX52				29.0727376809356	84.53	0.0	0.0					Related Proteins	XM_002343545_7, XM_002345081_7, XM_002347812_7	Q6UX52, XM_002343545_7, XM_002345081_7, XM_002347812_7	0	1	1	0	1	0	0	1	0.0	Doubtful
20	O14556				44.47278994794948	74.02	0.0	0.0					Single Protein		O14556	0	1	1	0	1	0	0	1	0.0	Doubtful
21	Q9UKV5				72.94883997627815	52.72	0.0	0.0					Single Protein		Q9UKV5	0	1	1	0	1	0	0	1	0.0	Doubtful
22	Q8N456				29.71806421586095	100.0	0.0	0.0					Single Protein		Q8N456	0	1	1	0	1	0	0	1	0.0	Doubtful
23	NM_001042385_1	Homo sapiens prolyl endopeptidase-like (PREPL), transcript variant E, mRNA|PREPL|frame-1			5.509009096398221	100.0	0.0	0.0					Related Proteins	NM_001042386_1, NM_006036_1	NM_001042385_1, NM_001042386_1, NM_006036_1	0	1	1	0	1	0	0	1	0.0	Doubtful
24	P61160				44.73223355239567	76.14	18.53	130.0949030296509					Single Protein		P61160	5	7	7	5	7	5	9	13	100.0	Confident
25	Q8N443				43.98772337506384	77.04	0.0	0.0					Single Protein		Q8N443	0	1	1	0	1	0	0	1	0.0	Doubtful
26	NM_007149_2	Homo sapiens zinc finger protein 184 (ZNF184), mRNA|ZNF184|frame-2			11.471535862287016	100.0	0.0	0.0					Single Protein		NM_007149_2	0	1	1	0	1	0	0	1	0.0	Doubtful
27	NM_017637_5	Homo sapiens basonuclin 2 (BNC2), mRNA|BNC2|frame-1			5.298624380001682	100.0	0.0	0.0					Single Protein		NM_017637_5	0	1	1	0	1	0	0	2	0.0	Doubtful
28	NM_002150_1	Homo sapiens 4-hydroxyphenylpyruvate dioxygenase (HPD), mRNA|HPD|frame-3			7.753900693768142	100.0	0.0	0.0					Single Protein		NM_002150_1	0	1	1	0	1	0	0	1	0.0	Doubtful
29	NM_001127258_4	Homo sapiens HHIP-like 1 (HHIPL1), transcript variant 1, mRNA|HHIPL1|frame-2			24.60183564639049	100.0	0.0	0.0					Single Protein		NM_001127258_4	0	1	1	0	1	0	0	1	0.0	Doubtful
