	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9UL59				70.94595136118284	94.06	0.0	0.0				Single Protein		Q9UL59	0	2	2	0	2	0	2	0.0	0	Doubtful
2	Q9NS85_REVERSED				37.538932358581924	62.8	0.0	0.0				Single Protein		Q9NS85_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
3	O43526_REVERSED				95.78689621960541	83.49	0.0	0.0				Single Protein		O43526_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
4	NM_006462_1_REVERSED	Homo sapiens RanBP-type and C3HC4-type zinc finger containing 1 (RBCK1), transcript variant 1, mRNA|RBCK1|frame-3-REVERSED			17.290228922510213	100.0	0.0	0.0				Related Proteins	NM_031229_1_REVERSED	NM_006462_1_REVERSED, NM_031229_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
5	Q2TB10_REVERSED				75.18878899236714	81.78	0.0	0.0				Single Protein		Q2TB10_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	NM_000346_6_REVERSED	Homo sapiens SRY (sex determining region Y)-box 9 (SOX9), mRNA|SOX9|frame-3-REVERSED			4.856348833582221	100.0	0.0	0.0				Single Protein		NM_000346_6_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
7	NM_001098175_1_REVERSED	Homo sapiens ectonucleoside triphosphate diphosphohydrolase 1 (ENTPD1), transcript variant 2, mRNA|ENTPD1|frame-3-REVERSED			5.096710298985461	100.0	0.0	0.0				Related Proteins	NM_001776_3_REVERSED	NM_001098175_1_REVERSED, NM_001776_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
8	Q8IZ52_REVERSED				85.41404304872235	66.97	0.0	0.0				Single Protein		Q8IZ52_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
9	NM_015347_6	Homo sapiens RIMS binding protein 2 (RIMBP2), mRNA|RIMBP2|frame-1			5.485691113829191	100.0	0.0	0.0				Single Protein		NM_015347_6	0	1	1	0	1	0	2	0.0	0	Doubtful
10	Q8IYT2_REVERSED				88.06203261301803	70.0	0.0	0.0				Single Protein		Q8IYT2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
11	NM_016120_1_REVERSED	Homo sapiens ring finger protein, LIM domain interacting (RLIM), transcript variant 1, mRNA|RLIM|frame-2-REVERSED			6.762579766422076	100.0	0.0	0.0				Related Proteins	NM_183353_1_REVERSED	NM_016120_1_REVERSED, NM_183353_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
12	P30876				133.81068609894038	83.39	0.0	0.0				Single Protein		P30876	0	1	1	0	1	0	1	0.0	0	Doubtful
13	NM_182526_1_REVERSED	Homo sapiens chromosome 14 open reading frame 83 (C14orf83), mRNA|TMEM229B|frame-2-REVERSED			16.653059940570568	100.0	0.0	0.0				Single Protein		NM_182526_1_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
