	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	NM_014786_5_REVERSED	Homo sapiens Rho guanine nucleotide exchange factor (GEF) 17 (ARHGEF17), mRNA|ARHGEF17|frame-3-REVERSED			11.426054769099522	100.0	0.0	0.0				Single Protein		NM_014786_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
2	NM_207307_2	Homo sapiens chromosome 3 open reading frame 25 (C3orf25), mRNA|C3orf25|frame-3			8.075013372534954	100.0	0.0	0.0				Single Protein		NM_207307_2	0	1	1	0	1	0	1	0.0	0	Doubtful
3	NM_031422_8_REVERSED	Homo sapiens carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9 (CHST9), mRNA|CHST9|frame-1-REVERSED			4.7563900870639	100.0	0.0	0.0				Single Protein		NM_031422_8_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
4	NM_003417_11	Homo sapiens zinc finger protein 264 (ZNF264), mRNA|ZNF264|frame-2			6.059107641222523	100.0	0.0	0.0				Single Protein		NM_003417_11	0	1	1	0	1	0	1	0.0	0	Doubtful
5	Q2TB10_REVERSED				75.18878899236714	78.31	0.0	0.0				Single Protein		Q2TB10_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	Q96IL0				24.137352901036092	100.0	0.0	0.0				Single Protein		Q96IL0	0	1	1	0	1	0	1	0.0	0	Doubtful
7	NM_015597_2_REVERSED	Homo sapiens G-protein signaling modulator 1 (AGS3-like, C. elegans) (GPSM1), transcript variant 2, mRNA|GPSM1|frame-3-REVERSED			7.490672190677993	100.0	0.0	0.0				Single Protein		NM_015597_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
8	NM_194460_2_REVERSED	Homo sapiens ring finger protein 126 (RNF126), mRNA|RNF126|frame-3-REVERSED			18.204241767207748	63.79	0.0	0.0				Single Protein		NM_194460_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
9	NM_001134673_10	Homo sapiens nuclear factor I/A (NFIA), transcript variant 1, mRNA|NFIA|frame-2			5.3195285397929295	100.0	0.0	0.0				Related Proteins	NM_001145511_10, NM_001145512_10, NM_005595_10	NM_001134673_10, NM_001145511_10, NM_001145512_10, NM_005595_10	0	2	2	0	2	0	5	0.0	0	Doubtful
10	P21926				25.398978264840945	33.33	0.0	0.0				Single Protein		P21926	0	1	1	0	1	0	1	0.0	0	Doubtful
