	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9UKV3				151.77079068994243	73.75	8.8	134.85345153465153	Oxidation of M(M319, M320)	Oxidation of M(2)		Single Protein		Q9UKV3	10	17	17	10	17	19	28	100.0	0	Confident
2	P68104				50.10910826932214	55.63	22.73	400.1388901556114	Oxidation of M(M276, M404, M410)	Oxidation of M(3)		Related Proteins	Q5VTE0	P68104, Q5VTE0	7	7	7	7	7	13	13	100.0	0	Confident
3	P25440				88.006311905524	56.3	22.6	291.14568224886625	Oxidation of M(M1, M180, M421, M438)	Oxidation of M(4)		Single Protein		P25440	16	22	18	13	18	29	36	100.0	0	Confident
4	P62424				29.97702404887955	90.98	4.14	215.30400203407257				Single Protein		P62424	1	2	2	1	2	2	3	100.0	0	Doubtful
5	P60660				16.91913314499716	82.12	19.21	284.457936462235	Oxidation of M(M73)	Oxidation of M(1)		Single Protein		P60660	2	2	2	2	2	2	3	100.0	0	Confident
6	P13489				49.94108720369384	72.23	2.39	133.81043117070865				Single Protein		P13489	1	1	1	1	1	2	2	100.0	0	Doubtful
7	P17844				69.10473382539206	71.5	3.09	81.8155207729476	Oxidation of M(M253, M256)	Oxidation of M(2)		Single Protein		P17844	2	2	1	1	1	3	3	100.0	0	Confident
8	Q14204				532.0718395312898	78.09	0.28	6.66715535984439	Oxidation of M(M4339)	Oxidation of M(1)		Single Protein		Q14204	1	5	5	1	5	1	5	100.0	0	Doubtful
9	P22314				117.77432920492443	58.6	11.72	129.56607896541624	Oxidation of M(M1015)	Oxidation of M(1)		Single Protein		P22314	9	13	13	9	13	12	20	100.0	0	Confident
10	P61964				36.56545229372351	69.16	7.19	257.2044814718412				Single Protein		P61964	2	2	2	2	2	4	4	100.0	0	Confident
11	P68363				50.119604615111854	68.51	21.95	355.32637445444516	Oxidation of M(M313)	Oxidation of M(1)		Related Proteins	P68366	P68363, P68366	9	10	0	0	0	23	26	100.0	0	Confident
12	P43243				94.56479778685481	75.56	14.05	203.32558096852622	Oxidation of M(M403, M539)	Oxidation of M(2)		Single Protein		P43243	9	11	11	9	11	14	16	100.0	0	Confident
13	P61978				50.94440274865072	72.14	7.78	137.4300850679966	Oxidation of M(M27)	Oxidation of M(1)		Single Protein		P61978	3	3	3	3	3	3	4	100.0	0	Confident
14	O15042				118.21860259100795	76.19	0.78	35.30879441495888				Single Protein		O15042	1	4	4	1	4	1	6	100.0	0	Doubtful
15	O15047				185.92013916233606	52.2	4.57	107.75073601366988	Oxidation of M(M1553)	Oxidation of M(1)		Single Protein		O15047	6	9	8	5	9	10	16	100.0	0	Confident
16	Q9BV38				47.37500670859233	46.76	4.63	315.83197357204034				Single Protein		Q9BV38	2	2	2	2	2	4	4	100.0	0	Confident
17	Q7Z4V5				74.27222971678142	85.69	9.84	323.2785558631449				Single Protein		Q7Z4V5	5	7	7	5	7	13	15	100.0	0	Confident
18	Q07955				27.727814961380233	100.0	9.68	346.39635811127				Single Protein		Q07955	2	3	3	2	3	4	5	100.0	0	Confident
19	P27348				27.746766754682028	79.59	28.98	453.2333092626301	Oxidation of M(M218)	Oxidation of M(1)		Single Protein		P27348	6	6	3	3	4	10	11	100.0	0	Confident
20	IP_200833_1				6.32925465016726	57.41	16.67	1060.5715655752465				Single Protein		IP_200833_1	1	1	1	1	1	2	2	98.93048128342245	0	Doubtful
