	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9UKT9				57.98577931559534	90.96	0.0	0.0				Single Protein		Q9UKT9	0	1	1	0	1	0	1	0.0	0	Doubtful
2	NM_007345_1	Homo sapiens zinc finger protein 236 (ZNF236), mRNA|ZNF236|frame-2			6.025169892080823	100.0	0.0	0.0				Single Protein		NM_007345_1	0	1	1	0	1	0	1	0.0	0	Doubtful
3	Q6ZMS4_REVERSED				62.044019686905266	94.29	0.0	0.0				Single Protein		Q6ZMS4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
4	NM_005188_2	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA|CBL|frame-1			7.514778787885674	100.0	0.0	0.0				Single Protein		NM_005188_2	0	1	1	0	1	0	1	0.0	0	Doubtful
5	NM_020175_2_REVERSED	Homo sapiens dihydrouridine synthase 3-like (S. cerevisiae) (DUS3L), mRNA|DUS3L|frame-2-REVERSED			5.672941363587703	100.0	0.0	0.0				Single Protein		NM_020175_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	Q9NXB9				34.56160753487631	45.95	0.0	0.0				Single Protein		Q9NXB9	0	1	1	0	1	0	1	0.0	0	Doubtful
7	NM_139241_4_REVERSED	Homo sapiens FYVE, RhoGEF and PH domain containing 4 (FGD4), mRNA|FGD4|frame-2-REVERSED			7.911310102065434	100.0	0.0	0.0				Single Protein		NM_139241_4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
8	NM_021250_1	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5 (LILRA5), transcript variant 1, mRNA|LILRA5|frame-3			5.045510764315112	100.0	0.0	0.0				Related Proteins	NM_181879_1	NM_021250_1, NM_181879_1	0	1	1	0	1	0	1	0.0	0	Doubtful
9	Q86Y79_REVERSED				22.922132558800037	100.0	0.0	0.0				Single Protein		Q86Y79_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
10	NM_001014435_1_REVERSED	Homo sapiens carbonic anhydrase VII (CA7), transcript variant 2, mRNA|CA7|frame-3-REVERSED			4.623166126512611	100.0	0.0	0.0				Single Protein		NM_001014435_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
