	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P48163				64.10906861395647	72.2	26.05	143.28746890871537					Single Protein		P48163	11	12	12	11	12	11	21	24	100.0	Confident
2	P48147				80.64802916912808	87.18	15.77	61.05282337546252					Single Protein		P48147	8	8	8	8	8	8	9	9	100.0	Confident
3	Q92530				29.798014149229743	62.36	31.37	451.8029197706486					Single Protein		Q92530	7	8	8	7	8	7	17	18	100.0	Confident
4	P68104				50.10910826932214	65.8	25.97	335.1779867187583	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	10	10	10	10	10	10	25	25	100.0	Confident
5	P24941				33.90801967447553	100.0	11.07	124.3267911182533					Related Proteins	Q00526	P24941, Q00526	3	3	1	1	1	1	6	6	100.0	Confident
6	Q9H4M9				60.58866550092089	77.15	14.23	117.80315587187465					Single Protein		Q9H4M9	7	9	9	7	9	7	12	15	100.0	Confident
7	Q14195				61.9240951899085	75.61	1.93	29.5096644788845					Single Protein		Q14195	1	2	2	1	2	1	1	2	100.0	Doubtful
8	O14818				27.86961465429308	100.0	4.44	28.91471156600376					Related Proteins	Q8TAA3	O14818, Q8TAA3	1	1	0	0	1	1	1	1	100.0	Doubtful
9	Q9Y696				28.75374442494168	100.0	4.74	113.37309831413332					Single Protein		Q9Y696	1	1	1	1	1	1	2	2	100.0	Doubtful
10	Q9Y5Y2				28.806824673061808	59.78	19.56	100.05835072142696					Single Protein		Q9Y5Y2	2	3	3	2	3	2	2	3	100.0	Confident
11	Q9H4A4				72.54946048134059	73.08	41.23	242.6605772974163					Single Protein		Q9H4A4	21	21	21	21	21	21	45	45	100.0	Confident
12	Q7Z4H3				23.375649791375086	100.0	27.45	174.5843826449299	Oxidation of M(M50)	Oxidation of M(1)			Single Protein		Q7Z4H3	5	5	5	5	5	5	6	6	100.0	Confident
13	Q09666				628.6993855112892	96.26	0.19	2.4825509670655816					Single Protein		Q09666	1	3	3	1	3	1	1	3	100.0	Doubtful
14	P61956				10.864363316841555	63.16	33.68	6143.026854569375					Single Protein		P61956	4	4	3	3	3	3	95	100	100.0	Confident
15	Q16881				70.86221675622504	95.53	6.78	81.02653636575066					Single Protein		Q16881	3	3	3	3	3	3	6	6	100.0	Confident
