	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P68104				50.10910826932214	65.8	24.46	268.8104940051425					Related Proteins	Q5VTE0	P68104, Q5VTE0	8	8	8	8	8	8	63	66	100.0	Confident
2	P40227				57.987597263605494	86.44	3.95	31.982110943482557					Single Protein		P40227	1	1	1	1	1	1	2	2	100.0	Doubtful
3	Q9UKS6				48.45682824485858	93.4	5.42	25.96660776484403					Single Protein		Q9UKS6	2	2	2	2	2	2	2	2	100.0	Confident
4	Q8WX92				65.6554114594879	80.86	23.97	88.938271192832					Single Protein		Q8WX92	10	10	10	10	10	10	27	29	100.0	Confident
5	P46379				119.3339775156768	42.14	0.88	29.06888895655147					Single Protein		P46379	1	3	3	1	3	1	2	4	100.0	Doubtful
6	Q9UKN8				91.92346247902863	89.42	2.31	8.929311996994215					Single Protein		Q9UKN8	1	1	1	1	1	1	1	1	100.0	Doubtful
7	P61981				28.28491273516427	100.0	19.43	168.39164081780993					Single Protein		P61981	3	5	4	3	4	3	10	10	100.0	Confident
8	Q96A49				39.90886348129711	59.09	4.26	31.10124771834426					Single Protein		Q96A49	1	2	2	1	2	1	1	2	100.0	Doubtful
9	P22314				117.77432920492443	78.26	1.7	8.02174258090628					Single Protein		P22314	1	1	1	1	1	1	1	1	100.0	Doubtful
10	P61978				50.94440274865072	82.51	4.75	57.643150221433864					Single Protein		P61978	2	3	3	2	3	2	6	6	100.0	Confident
11	Q01780				100.76767313881624	86.67	4.86	21.542667182685417					Single Protein		Q01780	3	6	6	3	6	3	5	7	100.0	Confident
12	Q9H568				41.33374636843982	78.69	4.1	50.971489316175315					Single Protein		Q9H568	1	2	2	1	2	1	3	5	100.0	Doubtful
