	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	P68104				50.10910826932214	77.92	30.95	389.976020935997	Oxidation of M(M49)	Oxidation of M(1)		Related Proteins	Q5VTE0	P68104, Q5VTE0	8	9	2	2	9	11	13	100.0	0	Confident
2	P50479				35.37566127722048	80.91	16.97	794.7051486692308	Oxidation of M(M193)	Oxidation of M(1)		Single Protein		P50479	6	7	7	6	7	9	10	100.0	0	Confident
3	O95149				41.11621204492619	68.89	7.5	281.10658059110995				Single Protein		O95149	1	2	2	1	2	2	3	97.47899159663865	0	Doubtful
4	Q9H4A4				72.54946048134059	73.08	6.46	283.2446266736482				Single Protein		Q9H4A4	3	3	3	3	3	6	6	100.0	0	Confident
5	O15042				118.21860259100795	78.81	1.55	144.0194626826217				Single Protein		O15042	2	4	4	2	4	4	7	100.0	0	Confident
6	Q14247				61.548531657824725	80.18	4.91	264.85211844808657				Single Protein		Q14247	2	4	4	2	4	5	8	100.0	0	Confident
7	P56545				48.914114397826346	74.16	4.04	176.96937005394875				Single Protein		P56545	2	3	3	2	3	2	4	100.0	0	Confident
8	P61088				17.12697445361943	100.0	32.89	1127.015461922516				Single Protein		P61088	6	6	6	6	6	13	18	100.0	0	Confident
9	P06733				47.13931928557345	93.09	5.07	29.90265853446139				Related Proteins	P09104, P13929	P06733, P09104, P13929	1	1	0	0	1	1	2	100.0	0	Doubtful
10	O95218				37.3820216872587	100.0	3.94	235.9591600719317				Single Protein		O95218	1	1	1	1	1	2	2	100.0	0	Doubtful
11	P07737				15.04455603947334	100.0	37.86	1061.394864680707	Oxidation of M(M131)	Oxidation of M(1)		Single Protein		P07737	5	7	7	5	7	8	13	100.0	0	Confident
12	Q9UK76				16.004911273188526	72.73	20.78	695.2368109262272				Single Protein		Q9UK76	2	3	3	2	3	3	4	100.0	0	Doubtful
13	O43175				56.61440433066414	65.67	8.63	203.93613120502667				Single Protein		O43175	3	4	4	3	4	3	6	100.0	0	Confident
14	O60504				75.29490642730411	93.89	2.24	61.79882763788687				Single Protein		O60504	1	2	2	1	2	1	4	100.0	0	Doubtful
15	P06454				12.195968941857553	47.75	12.61	734.5898379597874				Single Protein		P06454	1	1	1	1	1	1	1	100.0	0	Doubtful
16	Q9BT23				14.060856757360026	100.0	18.9	919.683340437844				Single Protein		Q9BT23	2	2	2	2	2	4	4	100.0	0	Confident
17	P26885				15.63931692769204	100.0	21.83	2010.6379132889954				Single Protein		P26885	4	7	7	4	7	12	21	100.0	0	Confident
18	Q8WW59				23.114003379771475	100.0	11.59	188.08338846313396				Single Protein		Q8WW59	1	1	1	1	1	1	1	100.0	0	Doubtful
19	Q96HC4				63.90449003178593	67.45	2.01	96.84890898474808	Oxidation of M(M79)	Oxidation of M(1)		Single Protein		Q96HC4	1	2	2	1	2	1	5	100.0	0	Doubtful
20	Q15417				36.39078432195181	73.86	13.98	654.2283296233087				Single Protein		Q15417	4	5	5	4	5	8	10	100.0	0	Confident
21	Q86WQ0				15.865943035872984	78.42	8.63	560.1908116815645				Single Protein		Q86WQ0	1	1	1	1	1	2	2	100.0	0	Doubtful
22	Q00341				141.36814095528095	92.9	1.18	33.0503068012468				Single Protein		Q00341	1	1	1	1	1	1	1	100.0	0	Doubtful
23	Q13642				36.238647038189036	100.0	3.72	120.53641303984128				Single Protein		Q13642	1	3	3	1	3	1	3	100.0	0	Doubtful
24	O94760				31.101931800032595	85.61	3.86	319.12509353990765				Single Protein		O94760	1	1	1	1	1	2	2	100.0	0	Doubtful
25	P08107				70.00903707472403	90.33	34.17	484.1025144792195	Oxidation of M(M518, M549)	Oxidation of M(2)		Single Protein		P08107	20	25	9	6	19	41	48	100.0	0	Confident
26	P31942				36.90308163249408	91.04	15.03	360.49316122100686	Oxidation of M(M290)	Oxidation of M(1)		Single Protein		P31942	4	6	6	4	6	6	8	100.0	0	Confident
27	P31943				49.19840896001632	83.3	44.1	725.8240989075905	Oxidation of M(M271, M293, M345)	Oxidation of M(3)		Single Protein		P31943	17	18	11	11	11	34	41	100.0	0	Confident
28	P31948				62.5994056613524	94.11	3.13	152.38067088794023				Single Protein		P31948	1	3	3	1	3	2	4	100.0	0	Doubtful
