	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UL59				70.94595136118284	89.44	0.0	0.0					Single Protein		Q9UL59	0	1	1	0	1	0	0	1	0.0	Doubtful
2	NM_004693_3	Homo sapiens keratin 75 (KRT75), mRNA|KRT75|frame-3			4.731280494128611	100.0	0.0	0.0					Single Protein		NM_004693_3	0	1	1	0	1	0	0	1	0.0	Doubtful
3	NM_004440_3	Homo sapiens EPH receptor A7 (EPHA7), mRNA|EPHA7|frame-1			5.221695309308032	100.0	0.0	0.0					Single Protein		NM_004440_3	0	1	1	0	1	0	0	1	0.0	Doubtful
4	A6NKQ9				20.454389622801447	100.0	0.0	0.0					Related Proteins	P01233, Q6NT52	A6NKQ9, P01233, Q6NT52	0	1	1	0	1	0	0	1	0.0	Doubtful
5	NM_001018089_4	Homo sapiens NMDA receptor regulated 2 (NARG2), transcript variant 2, mRNA|NARG2|frame-2			5.415711804749211	100.0	0.0	0.0					Related Proteins	NM_024611_4	NM_001018089_4, NM_024611_4	0	1	1	0	1	0	0	1	0.0	Doubtful
6	NM_001033561_1	Homo sapiens PHD finger protein 12 (PHF12), transcript variant 1, mRNA|PHF12|frame-2			4.532130771504621	100.0	0.0	0.0					Related Proteins	NM_020889_1	NM_001033561_1, NM_020889_1	0	1	1	0	1	0	0	1	0.0	Doubtful
7	P48163				64.10906861395647	76.75	25.0	108.57184793661018	Oxidation of M(M229, M361)	Oxidation of M(2)			Single Protein		P48163	11	15	15	11	15	11	22	26	100.0	Confident
8	Q2TAC6				111.26410254745433	92.38	2.1	18.989809578804014					Single Protein		Q2TAC6	1	1	1	1	1	1	2	3	87.5	Doubtful
9	Q9UL68				132.95945472010249	83.64	0.0	0.0					Single Protein		Q9UL68	0	1	1	0	1	0	0	1	0.0	Doubtful
10	P30876				133.81068609894038	81.01	0.0	0.0					Single Protein		P30876	0	1	1	0	1	0	0	1	0.0	Doubtful
11	NM_001855_4	Homo sapiens collagen, type XV, alpha 1 (COL15A1), mRNA|COL15A1|frame-1			5.995999617253053	100.0	0.0	0.0					Single Protein		NM_001855_4	0	1	1	0	1	0	0	2	0.0	Doubtful
12	NM_004836_5	Homo sapiens eukaryotic translation initiation factor 2-alpha kinase 3 (EIF2AK3), mRNA|EIF2AK3|frame-3			5.652909870016103	100.0	0.0	0.0					Single Protein		NM_004836_5	0	1	1	0	1	0	0	1	29.629629629629626	Doubtful
13	Q8IWJ2				195.78871166783256	94.6	0.0	0.0					Single Protein		Q8IWJ2	0	2	2	0	2	0	0	2	0.0	Doubtful
14	P0CJ79				58.68914425996507	100.0	0.0	0.0					Single Protein		P0CJ79	0	1	1	0	1	0	0	1	0.0	Doubtful
15	Q8IWI9				331.63108220475993	75.35	0.0	0.0					Single Protein		Q8IWI9	0	1	1	0	1	0	0	1	0.0	Doubtful
16	P42858				347.38278202173234	68.59	0.0	0.0					Single Protein		P42858	0	2	2	0	2	0	0	2	0.0	Doubtful
17	Q96QZ7				164.48081035871195	70.42	0.0	0.0					Single Protein		Q96QZ7	0	1	1	0	1	0	0	2	0.0	Doubtful
18	NM_001040167_6	Homo sapiens LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase (LFNG), transcript variant 1, mRNA|LFNG|frame-2			21.614596312173337	73.98	0.0	0.0					Single Protein		NM_001040167_6	0	1	1	0	1	0	0	1	0.0	Doubtful
19	NM_001040661_2	Homo sapiens solute carrier family 29 (nucleoside transporters), member 4 (SLC29A4), transcript variant 1, mRNA|SLC29A4|frame-3			9.449811706553296	100.0	0.0	0.0					Related Proteins	NM_153247_2	NM_001040661_2, NM_153247_2	0	1	1	0	1	0	0	1	0.0	Doubtful
20	NM_003816_3	Homo sapiens ADAM metallopeptidase domain 9 (meltrin gamma) (ADAM9), transcript variant 1, mRNA|ADAM9|frame-2			5.67900731804456	100.0	0.0	0.0					Single Protein		NM_003816_3	0	1	1	0	1	0	0	1	0.0	Doubtful
21	P07602				58.073849462282354	81.3	0.0	0.0					Single Protein		P07602	0	1	1	0	1	0	1	1	16.000000000000004	Doubtful
22	NM_004573_1	Homo sapiens phospholipase C, beta 2 (PLCB2), mRNA|PLCB2|frame-3			7.738155735001981	100.0	0.0	0.0					Single Protein		NM_004573_1	0	1	1	0	1	0	0	1	0.0	Doubtful
23	NM_023073_1	Homo sapiens chromosome 5 open reading frame 42 (C5orf42), mRNA|C5orf42|frame-3			22.47983749492064	69.54	0.0	0.0					Single Protein		NM_023073_1	0	1	1	0	1	0	0	1	0.0	Doubtful
24	O60423				146.65832841117256	68.69	0.0	0.0					Single Protein		O60423	0	1	1	0	1	0	0	1	0.0	Doubtful
25	P48147				80.64802916912808	90.85	25.21	66.13032694156168					Single Protein		P48147	12	13	13	12	13	12	22	23	100.0	Confident
26	Q8N442				74.28118217344803	93.72	0.0	0.0					Single Protein		Q8N442	0	1	1	0	1	0	0	1	0.0	Doubtful
27	NM_052929_2	Homo sapiens forkhead-associated (FHA) phosphopeptide binding domain 1 (FHAD1), mRNA|FHAD1|frame-3			12.5870927876863	100.0	0.0	0.0					Single Protein		NM_052929_2	0	1	1	0	1	0	0	1	0.0	Doubtful
28	P54886				87.24754303746528	81.13	0.0	0.0					Single Protein		P54886	0	1	1	0	1	0	0	1	0.0	Doubtful
29	O95104				125.7902373456122	52.66	0.0	0.0					Single Protein		O95104	0	1	1	0	1	0	0	1	0.0	Doubtful
30	Q9NXE8				49.61699015371626	92.94	3.29	42.44780964673838	Oxidation of M(M80)	Oxidation of M(1)			Single Protein		Q9NXE8	1	1	1	1	1	1	2	2	84.0	Doubtful
31	NM_017637_4	Homo sapiens basonuclin 2 (BNC2), mRNA|BNC2|frame-2			14.06138815287999	100.0	0.0	0.0					Single Protein		NM_017637_4	0	1	1	0	1	0	0	1	0.0	Doubtful
32	NM_002836_1	Homo sapiens protein tyrosine phosphatase, receptor type, A (PTPRA), transcript variant 1, mRNA|PTPRA|frame-3			19.724196810511277	83.63	0.0	0.0					Related Proteins	Q9H269	NM_002836_1, Q9H269	0	1	1	0	1	0	0	1	0.0	Doubtful
33	NM_001001928_22	Homo sapiens peroxisome proliferator-activated receptor alpha (PPARA), transcript variant 3, mRNA|PPARA|frame-1			4.7514104710719725	100.0	0.0	0.0					Related Proteins	NM_005036_22	NM_001001928_22, NM_005036_22	0	1	1	0	1	0	0	1	0.0	Doubtful
34	NM_001099666_8	Homo sapiens protein prenyltransferase alpha subunit repeat containing 1 (PTAR1), mRNA|PTAR1|frame-2			6.008338503462373	100.0	0.0	0.0					Single Protein		NM_001099666_8	0	1	1	0	1	0	0	1	0.0	Doubtful
35	Q9NP56				51.80190178638912	85.11	0.0	0.0					Single Protein		Q9NP56	0	1	1	0	1	0	0	1	0.0	Doubtful
36	NM_000911_2	Homo sapiens opioid receptor, delta 1 (OPRD1), mRNA|OPRD1|frame-1			25.766435544521574	73.77	0.0	0.0					Single Protein		NM_000911_2	0	3	3	0	3	0	0	5	62.96296296296296	Doubtful
