	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9NXB0				64.48739845047574	66.91	0.0	0.0				Single Protein		Q9NXB0	0	1	1	0	1	0	1	0.0	0	Doubtful
2	Q9UL59				70.94595136118284	85.15	0.0	0.0				Single Protein		Q9UL59	0	1	1	0	1	0	1	0.0	0	Doubtful
3	NM_032554_1	Homo sapiens G protein-coupled receptor 81 (GPR81), mRNA|HCAR1|frame-3			5.176586263157461	100.0	0.0	0.0				Single Protein		NM_032554_1	0	1	1	0	1	0	1	0.0	0	Doubtful
4	Q96TC7_REVERSED				52.08603801847995	77.66	0.0	0.0				Single Protein		Q96TC7_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
5	Q9H4M7				85.34894077619076	80.62	0.0	0.0				Single Protein		Q9H4M7	0	1	1	0	1	0	1	0.0	0	Doubtful
6	NM_012104_2	Homo sapiens beta-site APP-cleaving enzyme 1 (BACE1), transcript variant a, mRNA|BACE1|frame-1			4.592422907845661	100.0	0.0	0.0				Related Proteins	NM_138971_1, NM_138972_2, NM_138973_1	NM_012104_2, NM_138971_1, NM_138972_2, NM_138973_1	0	1	1	0	1	0	1	0.0	0	Doubtful
7	NM_001031618_1_REVERSED	Homo sapiens speedy homolog E2 (Xenopus laevis) (SPDYE2), mRNA|SPDYE2|frame-2-REVERSED			9.141561922983374	61.54	0.0	0.0				Single Protein		NM_001031618_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
8	NM_001114172_3_REVERSED	Homo sapiens phosphoinositide-3-kinase, regulatory subunit 3 (gamma) (PIK3R3), transcript variant 2, mRNA|PIK3R3|frame-2-REVERSED			7.4707932323725545	52.24	0.0	0.0				Related Proteins	NM_003629_3_REVERSED	NM_001114172_3_REVERSED, NM_003629_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
9	NM_032301_1	Homo sapiens F-box and WD repeat domain containing 9 (FBXW9), mRNA|FBXW9|frame-2			7.537000420505537	100.0	0.0	0.0				Single Protein		NM_032301_1	0	1	1	0	1	0	1	0.0	0	Doubtful
10	NM_014393_1	Homo sapiens staufen, RNA binding protein, homolog 2 (Drosophila) (STAU2), mRNA|STAU2|frame-2			7.845357018091175	100.0	0.0	0.0				Single Protein		NM_014393_1	0	1	1	0	1	0	1	0.0	0	Doubtful
11	NM_006297_1_REVERSED	Homo sapiens X-ray repair complementing defective repair in Chinese hamster cells 1 (XRCC1), mRNA|XRCC1|frame-2-REVERSED			15.130719895884479	67.65	0.0	0.0				Single Protein		NM_006297_1_REVERSED	0	1	1	0	1	0	3	0.0	1	Doubtful
12	NM_003054_3_REVERSED	Homo sapiens solute carrier family 18 (vesicular monoamine), member 2 (SLC18A2), mRNA|SLC18A2|frame-1-REVERSED			10.39667316666876	63.95	0.0	0.0				Single Protein		NM_003054_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
13	O95182_REVERSED				12.543629210611218	100.0	0.0	0.0				Single Protein		O95182_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
14	Q9H4L5				101.1601397300788	84.55	0.0	0.0				Single Protein		Q9H4L5	0	1	1	0	1	0	1	0.0	0	Doubtful
15	Q9UKU9				57.06843892647828	72.01	0.0	0.0				Single Protein		Q9UKU9	0	1	1	0	1	0	1	0.0	0	Doubtful
16	Q9H4L7				117.32797618478314	70.57	0.0	0.0				Single Protein		Q9H4L7	0	1	1	0	1	0	1	0.0	0	Doubtful
17	NM_001130059_1	Homo sapiens activating transcription factor 7 (ATF7), transcript variant 1, mRNA|ATF7|frame-2			5.903198673027962	100.0	0.0	0.0				Related Proteins	NM_001130060_1	NM_001130059_1, NM_001130060_1	0	1	1	0	1	0	2	0.0	0	Doubtful
18	Q6ZNC4_REVERSED				45.24743934258452	59.95	0.0	0.0				Single Protein		Q6ZNC4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
19	Q96MC2_REVERSED				87.07996828582613	84.05	0.0	0.0				Single Protein		Q96MC2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
20	O95613_REVERSED				377.8055060829507	83.09	0.0	0.0				Single Protein		O95613_REVERSED	0	3	3	0	3	0	4	0.0	1	Doubtful
21	Q8N3Z3_REVERSED				32.12605147284781	100.0	0.0	0.0				Single Protein		Q8N3Z3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
22	NM_181787_5_REVERSED	Homo sapiens dpy-19-like 4 (C. elegans) (DPY19L4), mRNA|DPY19L4|frame-3-REVERSED			12.293170399235477	50.0	0.0	0.0				Single Protein		NM_181787_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
23	NM_183357_3_REVERSED	Homo sapiens adenylate cyclase 5 (ADCY5), mRNA|ADCY5|frame-2-REVERSED			6.980540906256771	100.0	0.0	0.0				Single Protein		NM_183357_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
