	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q5T749				64.09324036673164	55.61	1.9	1604.3084130136485					Single Protein		Q5T749	1	1	1	1	1	1	2	2	15.301902398676592	Doubtful
2	Q86Y46				58.88673839601346	81.85	3.89	1753.1243517773582					Single Protein		Q86Y46	2	2	1	1	1	1	4	4	15.301902398676592	Doubtful
3	K1C9_HUMAN				62.09190997979053	68.38	10.59	2374.765602753185					Related Proteins	P35527	K1C9_HUMAN, P35527	4	7	7	4	7	4	8	12	15.301902398676592	Doubtful
4	P19338				76.568358644663	83.24	3.1	437.0451006686928					Single Protein		P19338	1	1	1	1	1	1	1	1	15.301902398676592	Doubtful
5	K22E_HUMAN				65.82539290353346	87.6	11.32	1802.448571494359					Related Proteins	P35908	K22E_HUMAN, P35908	7	9	6	4	6	4	13	15	15.301902398676592	Doubtful
6	TRY1_BOVIN				25.408419297583514	82.3	64.2	41482.12312619362					Single Protein		TRY1_BOVIN	21	23	22	20	22	20	79	92	15.301902398676592	Doubtful
7	K1C10_HUMAN				59.48287701205572	66.27	11.8	1955.2763921710243					Related Proteins	P13645	K1C10_HUMAN, P13645	6	10	0	0	9	5	18	25	15.301902398676592	Doubtful
8	P02533				51.52938407421822	87.29	1.91	313.46317293106483					Related Proteins	P08727, P08779, P19012, Q04695	P02533, P08727, P08779, P19012, Q04695	1	1	0	0	1	1	1	1	15.301902398676592	Doubtful
9	O95678				59.52403085076316	71.69	2.18	435.9386573758606					Related Proteins	P02538, P12035, P19013, Q01546, Q5XKE5, Q8N1N4	O95678, P02538, P12035, P19013, Q01546, Q5XKE5, Q8N1N4	1	1	0	0	1	1	2	2	15.301902398676592	Doubtful
10	P35030				32.50802898407952	73.68	5.59	1921.8277864225997					Single Protein		P35030	2	3	2	1	2	1	4	5	15.301902398676592	Doubtful
11	K2C1_HUMAN				65.84694613410919	69.21	4.98	1882.1974938149992					Related Proteins	P04264	K2C1_HUMAN, P04264	6	8	5	3	5	3	10	18	15.301902398676592	Doubtful
12	Q86YZ3				282.2276283698903	55.93	6.88	338.5941826061762					Single Protein		Q86YZ3	5	6	6	5	6	5	11	12	15.301902398676592	Doubtful
