	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q8WXA9				59.34501049295324	88.39	7.09	93.78704731178934					Single Protein		Q8WXA9	2	5	5	2	5	2	3	7	100.0	Confident
2	Q92522				22.47353260066597	100.0	11.74	296.55200171122124					Single Protein		Q92522	2	4	4	2	4	2	4	7	100.0	Confident
3	P68104				50.10910826932214	60.61	18.61	320.2482092172807					Related Proteins	Q5VTE0	P68104, Q5VTE0	6	9	4	4	4	4	15	18	100.0	Confident
4	Q9Y5U2				34.30462719879434	42.86	12.16	734.1940515179111					Single Protein		Q9Y5U2	4	4	4	4	4	4	9	12	100.0	Confident
5	P17844				69.10473382539206	71.5	5.86	82.88393089097116					Single Protein		P17844	3	4	1	1	1	1	5	7	100.0	Confident
6	P35659				42.6479204774305	100.0	8.8	177.79940013708332					Single Protein		P35659	3	4	4	3	4	3	5	6	100.0	Confident
7	P61964				36.56545229372351	75.75	4.79	126.07899473950124					Single Protein		P61964	1	1	1	1	1	1	2	2	100.0	Doubtful
8	Q9BUL5				43.79081756922039	61.79	3.47	105.9825106786747					Single Protein		Q9BUL5	2	2	2	2	2	2	2	2	100.0	Confident
9	Q5JTH9				143.61109332804048	73.71	5.63	87.88747160229777					Single Protein		Q5JTH9	6	10	10	6	10	6	11	15	100.0	Confident
10	Q96RN5				86.69895947430872	43.4	1.52	57.21519598232801					Single Protein		Q96RN5	1	1	1	1	1	1	1	1	100.0	Doubtful
11	Q8WXI9				65.21999528964584	77.91	2.36	41.20389847651019					Single Protein		Q8WXI9	1	4	4	1	4	1	1	4	100.0	Doubtful
12	O95983				32.82332978686719	76.98	8.59	167.104699376958					Single Protein		O95983	2	4	4	2	4	2	3	5	100.0	Confident
13	Q07955				27.727814961380233	100.0	20.97	370.72986127904153					Single Protein		Q07955	5	7	7	5	7	5	9	12	100.0	Confident
14	Q9BUI4				60.5732367607421	85.02	4.87	118.28759618818376					Single Protein		Q9BUI4	2	2	2	2	2	2	4	4	100.0	Confident
15	P36915				68.61854268049119	71.5	4.45	74.53165352742198					Single Protein		P36915	2	2	2	2	2	2	3	3	100.0	Confident
16	P27348				27.746766754682028	89.39	8.98	200.52563925234958					Single Protein		P27348	2	3	2	1	2	1	4	6	100.0	Confident
17	IP_200833_1				6.32925465016726	100.0	16.67	779.821930425804					Single Protein		IP_200833_1	1	1	1	1	1	1	2	2	97.00854700854701	Doubtful
18	Q13601				43.63766285688655	86.61	6.04	110.52594289499584					Single Protein		Q13601	2	2	2	2	2	2	3	3	100.0	Confident
19	Q9NW82				73.15503997746953	76.91	3.52	69.03341679179249					Single Protein		Q9NW82	2	3	3	2	3	2	3	5	100.0	Confident
20	Q9UKD2				27.542911956382333	79.08	9.62	176.19407633051637					Single Protein		Q9UKD2	2	3	3	2	3	2	3	4	100.0	Confident
21	Q01130				25.461183837817952	100.0	3.62	95.2723625407091					Related Proteins	Q9BRL6	Q01130, Q9BRL6	1	1	0	0	1	1	2	2	100.0	Doubtful
22	Q01664				38.70179464864698	78.7	10.36	264.3916818909404					Single Protein		Q01664	3	5	5	3	5	3	6	8	100.0	Confident
23	P35790				52.215490308399666	67.18	5.03	164.49368844919303					Single Protein		P35790	2	3	3	2	3	2	4	5	100.0	Confident
24	Q14974				97.1080146943779	59.13	11.64	146.2026399900074					Single Protein		Q14974	7	9	9	7	9	7	11	16	100.0	Confident
25	P52292				57.82594715606122	57.47	6.62	137.79575995743917					Single Protein		P52292	2	2	2	2	2	2	3	3	100.0	Confident
26	Q14980				238.11522374594037	93.05	7.42	57.57612654882476					Single Protein		Q14980	11	13	13	11	13	11	24	26	100.0	Confident
27	O75643				244.35261769115783	76.03	17.98	96.39830986324174					Single Protein		O75643	32	36	36	32	36	32	68	78	100.0	Confident
28	P52294				60.18354973157298	53.35	4.09	187.4349447017511					Single Protein		P52294	2	2	2	2	2	2	4	4	100.0	Confident
29	O94776				74.97573718107209	83.08	8.38	151.96860429289637					Single Protein		O94776	5	6	6	5	6	5	9	11	100.0	Confident
30	Q9UJX6				93.76884007973463	74.09	1.82	30.55905968286895					Single Protein		Q9UJX6	1	1	1	1	1	1	1	1	100.0	Doubtful
31	Q9UJX5				92.05770792388299	68.69	1.98	61.1181193657379					Single Protein		Q9UJX5	1	1	1	1	1	1	2	2	100.0	Doubtful
32	Q9UJX3				66.81284269657043	74.62	16.69	145.30425871111348					Single Protein		Q9UJX3	8	9	9	8	9	8	13	14	100.0	Confident
33	P08107				70.00903707472403	70.2	11.7	114.23150261381691					Single Protein		P08107	6	6	0	0	0	0	11	11	97.00854700854701	Confident
34	Q96P70				115.88873760995565	50.34	5.57	124.57125248116131					Single Protein		Q96P70	4	4	4	4	4	4	7	8	100.0	Confident
35	P31943				49.19840896001632	71.71	8.91	127.60722497876793					Single Protein		P31943	3	4	2	1	2	1	6	7	100.0	Confident
36	P31946				28.064830628249755	100.0	9.76	114.1202825013372					Single Protein		P31946	2	2	1	1	1	1	3	3	100.0	Confident
37	P31947				27.75669340650096	79.44	13.71	113.19995764245543					Single Protein		P31947	2	2	1	1	1	1	3	3	100.0	Confident
38	P29692				31.10278320777167	73.67	36.65	479.0136489257641					Single Protein		P29692	10	10	8	8	8	8	24	27	100.0	Confident
39	Q9HCN4				41.7136925858977	56.68	4.28	159.5090312234599					Single Protein		Q9HCN4	1	1	1	1	1	1	2	2	100.0	Doubtful
40	Q07666				48.19718285574685	61.17	4.51	70.18397373832236					Single Protein		Q07666	1	2	2	1	2	1	1	2	100.0	Doubtful
41	Q13503				15.554686967926207	54.86	9.72	404.9075407980136					Single Protein		Q13503	1	1	1	1	1	1	2	2	100.0	Doubtful
42	Q14839				217.86707363306158	75.42	7.9	60.95617235893468					Single Protein		Q14839	11	14	12	9	14	11	18	24	100.0	Confident
43	Q9NV56				22.40298209015494	67.65	6.37	126.83850675600426					Single Protein		Q9NV56	1	1	1	1	1	1	1	1	100.0	Doubtful
44	O75376				270.04446617543147	69.92	0.57	20.95043992188727					Single Protein		O75376	1	2	2	1	2	1	2	3	100.0	Doubtful
45	Q9BSJ8				122.77994818037284	66.49	2.54	47.103338079410975					Single Protein		Q9BSJ8	2	2	2	2	2	2	3	3	100.0	Confident
46	P10155				60.63120382391405	85.87	6.51	100.26281962617482					Single Protein		P10155	3	4	4	3	4	3	4	5	100.0	Confident
47	Q9Y4C8				107.26545741200894	83.65	3.75	35.68676630762154					Single Protein		Q9Y4C8	2	3	3	2	3	2	2	3	100.0	Confident
48	Q9H2P0				123.48501172037291	75.32	16.15	114.70150125264234					Single Protein		Q9H2P0	12	14	14	12	14	12	19	22	100.0	Confident
49	Q13547				55.067726781189066	75.52	4.36	83.95212169655784					Single Protein		Q13547	2	3	2	1	2	1	3	4	100.0	Confident
50	O95785				178.56293001138133	70.02	1.09	17.47318848256988					Single Protein		O95785	1	1	1	1	1	1	1	1	97.82608695652173	Doubtful
51	P67870				24.926002234218686	69.3	18.14	887.2689861804956					Single Protein		P67870	4	4	4	4	4	4	12	12	100.0	Confident
52	Q9Y2X3				59.54051762733288	93.76	2.46	42.44998411592078					Single Protein		Q9Y2X3	1	2	2	1	2	1	1	2	100.0	Doubtful
53	P05787				53.671133015589	83.23	4.55	66.9250164171399					Single Protein		P05787	3	4	2	1	2	1	3	7	100.0	Confident
54	Q9H1E3				27.280032146451425	90.12	3.7	86.64688115842267					Single Protein		Q9H1E3	1	1	1	1	1	1	1	1	100.0	Doubtful
55	Q9Y383				46.485591345862105	100.0	9.44	152.18463693258673					Single Protein		Q9Y383	4	7	4	2	7	4	6	12	100.0	Confident
56	Q9Y2W2				69.95392019947289	68.95	13.1	253.74369637876944					Single Protein		Q9Y2W2	7	10	10	7	10	7	14	19	100.0	Confident
57	Q9Y312				43.44405899734335	70.57	7.03	142.26481163173452					Single Protein		Q9Y312	2	3	3	2	3	2	3	5	100.0	Confident
58	Q69YN4				201.89837561320923	68.32	4.42	52.74636324191008					Single Protein		Q69YN4	6	7	7	6	7	6	10	12	100.0	Confident
59	Q9UHB9				70.68556140896806	86.12	40.35	337.5571680317858					Single Protein		Q9UHB9	25	27	27	25	27	25	78	89	100.0	Confident
60	P35527				62.02681468242336	59.87	2.57	98.85066723707375					Single Protein		P35527	1	1	1	1	1	1	2	2	100.0	Doubtful
61	P35579				226.39159129111036	96.17	0.82	22.339726388855922					Single Protein		P35579	1	3	2	1	3	1	2	4	100.0	Doubtful
62	O75446				23.291858310350655	59.55	5.45	130.77759081674975					Single Protein		O75446	1	3	3	1	3	1	1	3	100.0	Doubtful
63	O95816				23.757210989279223	100.0	5.21	199.57528077248068					Single Protein		O95816	1	1	1	1	1	1	2	2	100.0	Doubtful
64	Q9UHX1				59.83762419975925	57.25	22.36	394.1809261430471					Single Protein		Q9UHX1	10	11	11	10	11	10	23	24	100.0	Confident
65	Q13428				152.0153228971003	65.93	0.67	17.67858280562276					Single Protein		Q13428	1	5	5	1	5	1	1	20	100.0	Doubtful
66	Q14764				99.26593385219739	71.56	3.25	70.65500711911648					Single Protein		Q14764	2	2	2	2	2	2	3	3	100.0	Confident
67	Q6VMQ6				136.31039340752463	53.07	3.62	65.13593850424348					Single Protein		Q6VMQ6	3	4	4	3	4	3	5	6	100.0	Confident
68	Q12830				338.0536307968669	69.44	0.92	22.304228942263464					Single Protein		Q12830	2	4	4	2	4	2	3	5	100.0	Confident
69	P26368				53.46719107479492	60.84	14.53	230.51627738100015					Single Protein		P26368	6	6	6	6	6	6	10	10	100.0	Confident
70	Q12888				213.4426880477534	65.01	5.88	58.088046416449					Single Protein		Q12888	8	11	11	8	11	8	13	17	100.0	Confident
71	P52655				41.488469616993264	24.2	2.93	231.37573759886496					Single Protein		P52655	1	1	1	1	1	1	1	1	100.0	Doubtful
72	P53999				14.386410160891673	100.0	27.56	1265.5220461477024					Single Protein		P53999	5	7	7	5	7	5	20	24	100.0	Confident
73	Q7L014				117.28950353817042	94.18	19.88	132.4754405086409					Single Protein		Q7L014	19	22	22	19	22	19	34	40	100.0	Confident
74	Q15020				109.86527795411239	83.07	10.49	153.12706713716207					Single Protein		Q15020	8	10	9	8	10	8	16	19	100.0	Confident
