	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q92530				29.798014149229743	62.36	9.96	76.92514525773596					Single Protein		Q92530	2	2	2	2	2	2	2	3	100.0	Confident
2	O14514				173.38993072379236	71.09	1.2	23.67842831599297					Single Protein		O14514	1	3	3	1	3	1	3	7	98.34437086092716	Doubtful
3	P68104				50.10910826932214	65.8	42.21	180.94017857594477					Related Proteins	Q5VTE0	P68104, Q5VTE0	14	16	16	14	16	14	31	33	100.0	Confident
4	O14531				61.838407684699284	82.34	3.67	57.98524206927824					Single Protein		O14531	2	2	2	2	2	2	4	4	100.0	Confident
5	NM_003915_1	Homo sapiens copine I (CPNE1), transcript variant 3, mRNA|CPNE1|frame-1			13.244771519934066	69.49	15.25	93.34209698956985					Related Proteins	Q9NTZ6	NM_003915_1, Q9NTZ6	2	2	0	0	2	2	2	2	100.0	Confident
6	P11940				70.62586938277288	78.3	2.52	55.06512196506999					Related Proteins	NM_016120_17, NM_183353_17, Q9H361	NM_016120_17, NM_183353_17, P11940, Q9H361	1	1	0	0	0	0	3	3	100.0	Doubtful
7	O14818				27.86961465429308	100.0	14.52	82.30163390478202					Related Proteins	Q8TAA3	O14818, Q8TAA3	2	2	2	2	2	2	3	3	100.0	Confident
8	Q9Y5Y2				28.806824673061808	59.78	5.54	94.93397771342299					Single Protein		Q9Y5Y2	1	2	2	1	2	1	2	3	100.0	Doubtful
9	P36969				22.160977529187832	100.0	17.26	164.04623475437097					Single Protein		P36969	3	4	4	3	4	3	5	6	100.0	Confident
10	P61970				14.469048408153427	59.06	21.26	80.35750082041709					Single Protein		P61970	1	1	1	1	1	1	1	1	100.0	Doubtful
11	P61978				50.94440274865072	82.51	15.33	144.71011546085145					Single Protein		P61978	4	4	4	4	4	4	12	15	100.0	Confident
12	Q9BUT1				26.70672276316219	85.31	8.98	122.07419383005947					Single Protein		Q9BUT1	2	2	2	2	2	2	3	3	100.0	Confident
13	P22392				17.286941062399507	100.0	59.87	498.38416059546336					Single Protein		P22392	11	12	5	5	5	5	31	33	100.0	Confident
14	P11940				70.62586938277288	78.3	4.87	36.71008131004666					Related Proteins	Q13310	P11940, Q13310	2	3	0	0	0	0	3	4	100.0	Confident
15	Q96AB6				34.655614893234365	100.0	3.23	65.84130712382563					Single Protein		Q96AB6	1	1	1	1	1	1	2	2	100.0	Doubtful
16	Q2TAL8				86.38187420825344	43.56	1.03	27.960007134775264					Single Protein		Q2TAL8	1	2	2	1	2	1	1	2	100.0	Doubtful
17	Q96AE4				67.5184714874304	65.37	15.22	115.28686865310817					Single Protein		Q96AE4	8	8	6	6	6	6	15	18	100.0	Confident
18	Q9BUH6				21.62597076536685	86.76	4.41	100.05296670777423					Single Protein		Q9BUH6	1	1	1	1	1	1	2	2	100.0	Doubtful
19	Q96RF0				68.8511707058974	56.53	6.37	65.86630382356891					Single Protein		Q96RF0	3	3	3	3	3	3	4	4	100.0	Confident
20	Q9H3K6				10.110178220832056	100.0	61.63	435.1140645198554					Single Protein		Q9H3K6	4	4	4	4	4	4	7	7	100.0	Confident
21	P28676				23.994475894444335	65.9	4.61	142.73290355514646					Single Protein		P28676	1	1	1	1	1	1	2	2	100.0	Doubtful
22	Q9H3H3				27.33766308417387	68.53	5.18	102.56686034364795					Single Protein		Q9H3H3	1	2	2	1	2	1	2	3	100.0	Doubtful
23	Q9UK76				16.004911273188526	72.73	37.01	1091.9173322045754					Single Protein		Q9UK76	5	5	5	5	5	5	16	16	100.0	Confident
24	P53602				43.377150876408756	66.75	4.75	86.78063438939601					Single Protein		P53602	2	2	2	2	2	2	3	3	100.0	Confident
25	O43175				56.61440433066414	60.41	23.64	233.98373181631547					Single Protein		O43175	11	11	10	10	10	10	25	25	100.0	Confident
26	Q9NVX2				53.28709333430016	87.84	29.48	118.79467161801601					Single Protein		Q9NVX2	11	13	13	11	13	11	24	29	100.0	Confident
27	Q9NVZ3				28.321301469769534	70.72	10.27	47.91268828259611					Single Protein		Q9NVZ3	1	2	2	1	2	1	1	2	100.0	Doubtful
28	P17931				26.136053217437922	48.8	8.8	250.95252305392552					Single Protein		P17931	2	2	2	2	2	2	4	4	100.0	Confident
29	Q96PU8				37.64672654867138	82.11	16.13	142.75414357055644					Single Protein		Q96PU8	4	5	5	4	5	4	8	8	100.0	Confident
30	Q9BT73				13.096062554947421	76.23	10.66	83.65084101797518					Single Protein		Q9BT73	1	1	1	1	1	1	1	1	100.0	Doubtful
31	P15311				69.36973778207663	87.2	7.34	53.846010015915745					Single Protein		P15311	4	4	4	4	4	4	6	6	100.0	Confident
32	Q3KQV9				56.99435390274498	84.62	11.24	55.50724027144584					Single Protein		Q3KQV9	4	5	3	2	3	2	6	7	100.0	Confident
33	P46459				82.54207591413305	82.8	1.75	15.87154370792064					Single Protein		P46459	1	1	1	1	1	1	1	1	100.0	Doubtful
34	Q9NX01				17.003804939196073	75.17	8.05	91.1196661088658					Single Protein		Q9NX01	1	1	1	1	1	1	1	1	100.0	Doubtful
35	Q13642				36.238647038189036	91.95	7.74	78.98918424297966					Single Protein		Q13642	2	2	2	2	2	2	3	4	100.0	Confident
36	P09417				25.773028376618438	88.93	21.72	216.0980059631025					Single Protein		P09417	4	4	4	4	4	4	10	10	100.0	Confident
37	O94760				31.101931800032595	85.61	63.86	377.0206033709185					Single Protein		O94760	16	16	16	16	16	16	47	47	100.0	Confident
38	Q9H488				43.9271916131959	73.45	4.12	65.62959874079081					Single Protein		Q9H488	1	2	2	1	2	1	2	3	100.0	Doubtful
39	Q9H479				35.14886454511349	72.17	7.77	121.9769235560913					Single Protein		Q9H479	2	2	2	2	2	2	4	4	100.0	Confident
40	Q9Y5B8				42.46430016430016	82.98	11.97	84.54768239341158					Single Protein		Q9Y5B8	4	5	5	4	5	4	6	8	100.0	Confident
