	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	O14562				33.36084905835145	59.87	33.98	729.037786722226	Oxidation of M(M124, M151, M203, M221, M253)	Oxidation of M(5)			Single Protein		O14562	12	13	13	12	13	12	23	26	100.0	Confident
2	Q9UKX7				50.11316358276398	80.77	1.92	51.29810682148823					Single Protein		Q9UKX7	1	1	1	1	1	1	1	1	100.0	Doubtful
3	Q9UL15				51.16770877839039	94.41	2.68	50.0357373023912					Single Protein		Q9UL15	1	2	2	1	2	1	1	3	100.0	Doubtful
4	P68104				50.10910826932214	60.61	14.94	190.92348638822085					Related Proteins	Q5VTE0	P68104, Q5VTE0	5	5	1	1	5	5	8	8	100.0	Confident
5	Q9H4M9				60.58866550092089	77.15	1.87	95.37729029496319					Single Protein		Q9H4M9	1	2	2	1	2	1	2	3	97.22222222222221	Doubtful
6	Q14195				61.9240951899085	75.61	3.33	46.020523815162285					Single Protein		Q14195	1	1	1	1	1	1	1	1	100.0	Doubtful
7	Q9Y696				28.75374442494168	90.51	7.91	353.61224623191885					Single Protein		Q9Y696	2	2	2	2	2	2	6	6	100.0	Confident
8	Q9H4A4				72.54946048134059	69.23	3.85	44.37693367890648					Single Protein		Q9H4A4	1	1	1	1	1	1	1	1	100.0	Doubtful
9	Q09666				628.6993855112892	92.46	3.14	5.395189345505764					Single Protein		Q09666	7	16	16	7	16	7	9	17	100.0	Confident
10	P61956				10.864363316841555	63.16	33.68	2659.065866040077					Single Protein		P61956	5	5	5	5	5	5	20	23	100.0	Confident
11	Q16881				70.86221675622504	84.13	7.4	126.3614382721405					Single Protein		Q16881	3	3	3	3	3	3	6	6	100.0	Confident
12	P61978				50.94440274865072	77.11	11.02	273.23180108059694					Single Protein		P61978	3	3	3	3	3	3	7	7	100.0	Confident
13	Q14247				61.548531657824725	80.18	4.55	126.79123908258995					Single Protein		Q14247	2	5	5	2	5	2	3	7	100.0	Confident
14	Q93052				65.7038329576853	44.44	11.44	248.82146713762876					Single Protein		Q93052	6	6	6	6	6	6	10	10	100.0	Confident
15	P14735				117.89327189980912	67.03	3.34	63.18071913607025					Single Protein		P14735	3	3	3	3	3	3	4	5	97.74011299435028	Doubtful
16	Q9BV20				39.12535086193247	66.12	2.71	75.30631169753828					Single Protein		Q9BV20	1	1	1	1	1	1	1	1	100.0	Doubtful
17	Q2TAL8				86.38187420825344	43.56	1.42	61.2766426689558					Single Protein		Q2TAL8	1	1	1	1	1	1	1	1	100.0	Doubtful
18	O43929				50.345076021916164	82.11	22.94	438.1928243109181	Oxidation of M(M75, M373, M388, M412)	Oxidation of M(4)			Single Protein		O43929	13	15	15	13	15	13	30	32	100.0	Confident
19	Q9UBE0				38.425564133767146	92.49	20.23	255.3341027975926	Oxidation of M(M105)	Oxidation of M(1)			Single Protein		Q9UBE0	6	6	6	6	6	6	11	13	100.0	Confident
20	P50570				98.00316598653673	79.31	37.59	309.08170111478216	Oxidation of M(M6, M159, M179, M272, M332, M564, M680, M683)	Oxidation of M(8)			Single Protein		P50570	35	38	31	28	31	28	73	78	100.0	Confident
21	P11802				33.70839754778071	80.86	30.36	342.3984527479734					Single Protein		P11802	7	7	6	6	7	7	13	14	100.0	Confident
22	Q9P2J5				134.37947572329307	78.83	5.61	49.67799151525835					Single Protein		Q9P2J5	5	5	5	5	5	5	5	5	100.0	Confident
23	P50552				39.805088814016415	60.53	39.47	776.6495211168234					Single Protein		P50552	15	17	17	15	17	15	32	35	100.0	Confident
