	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P68104				50.10910826932214	55.63	17.75	378.9402177049239					Related Proteins	Q5VTE0	P68104, Q5VTE0	6	6	6	6	6	6	14	15	100.0	Confident
2	Q9Y5U2				34.30462719879434	42.86	6.38	303.0275355888897					Single Protein		Q9Y5U2	2	2	2	2	2	2	3	3	100.0	Confident
3	P60660				16.91913314499716	82.12	13.91	282.9594868743937					Single Protein		P60660	2	3	3	2	3	2	3	4	100.0	Confident
4	P17844				69.10473382539206	71.5	3.91	94.9486278178521					Single Protein		P17844	2	6	3	1	3	1	3	8	100.0	Confident
5	Q9UKK3				192.47238391119436	64.15	3.31	52.70163006135293					Single Protein		Q9UKK3	4	4	4	4	4	4	6	6	100.0	Confident
6	Q5VWG9				103.51708529391692	65.34	3.23	46.10814660219437					Single Protein		Q5VWG9	2	3	3	2	3	2	2	3	100.0	Confident
7	P22314				117.77432920492443	66.92	1.42	23.34802323389806					Single Protein		P22314	1	2	2	1	2	1	1	3	100.0	Doubtful
8	P61978				50.94440274865072	72.14	4.75	111.85047779589907					Single Protein		P61978	2	2	2	2	2	2	3	3	100.0	Confident
9	Q8WXI9				65.21999528964584	77.91	2.36	41.807125751500436					Single Protein		Q8WXI9	1	2	2	1	2	1	1	2	100.0	Doubtful
10	O95983				32.82332978686719	76.98	5.15	84.77556055165367					Single Protein		O95983	1	2	2	1	2	1	1	2	100.0	Doubtful
11	Q07955				27.727814961380233	100.0	17.34	337.39305751807325					Single Protein		Q07955	4	4	4	4	4	4	7	7	100.0	Confident
12	Q8TAQ2				132.7967512662691	60.38	0.91	27.353958078126407					Related Proteins	Q92922	Q8TAQ2, Q92922	1	1	0	0	1	1	2	2	100.0	Doubtful
13	P27348				27.746766754682028	79.59	15.92	232.52725179882145					Single Protein		P27348	3	3	2	2	2	2	4	6	100.0	Confident
14	Q9Y4X5				64.07577472036868	63.2	14.18	238.00090776706617					Single Protein		Q9Y4X5	8	8	8	8	8	8	15	16	100.0	Confident
15	Q9NW82				73.15503997746953	76.91	1.99	35.022034850847085					Single Protein		Q9NW82	1	1	1	1	1	1	1	1	100.0	Doubtful
16	Q01130				25.461183837817952	100.0	3.62	193.33431003635044					Related Proteins	Q9BRL6	Q01130, Q9BRL6	1	1	1	1	1	1	2	2	100.0	Doubtful
17	Q9NX58				43.58786359600625	93.4	24.01	340.086443964998					Single Protein		Q9NX58	6	7	7	6	7	6	14	16	100.0	Confident
18	Q01664				38.70179464864698	78.7	2.37	73.16247006512576					Single Protein		Q01664	1	1	1	1	1	1	1	1	95.2191235059761	Doubtful
19	Q14974				97.1080146943779	59.13	11.53	181.09080442923485					Single Protein		Q14974	7	10	10	7	10	7	14	18	100.0	Confident
20	P52292				57.82594715606122	57.47	2.84	111.85047779589907					Single Protein		P52292	1	1	1	1	1	1	2	2	100.0	Doubtful
21	Q14980				238.11522374594037	90.87	6.81	63.81910805288883					Single Protein		Q14980	10	12	12	10	12	10	21	23	100.0	Confident
22	O75643				244.35261769115783	76.03	2.86	43.51194917549775					Single Protein		O75643	4	6	6	4	6	4	7	9	100.0	Confident
23	O94776				74.97573718107209	83.08	7.19	108.87704222914859					Single Protein		O94776	4	5	5	4	5	4	5	6	100.0	Confident
24	Q9UJX2				68.78999026641262	79.06	11.73	133.12341154247153					Single Protein		Q9UJX2	6	8	8	6	8	6	9	12	100.0	Confident
25	Q9UJX6				93.76884007973463	68.49	6.57	242.36705250311664					Single Protein		Q9UJX6	5	8	8	5	8	5	16	21	100.0	Confident
