	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9UKT9				57.98577931559534	85.85	0.0	0.0				Single Protein		Q9UKT9	0	1	1	0	1	0	1	0.0	0	Doubtful
2	Q6ZMS4_REVERSED				62.044019686905266	94.29	0.0	0.0				Single Protein		Q6ZMS4_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
3	P28562				39.27265807708235	56.95	0.0	0.0				Single Protein		P28562	0	1	1	0	1	0	1	0.0	0	Doubtful
4	NM_020175_2_REVERSED	Homo sapiens dihydrouridine synthase 3-like (S. cerevisiae) (DUS3L), mRNA|DUS3L|frame-2-REVERSED			5.672941363587703	100.0	0.0	0.0				Single Protein		NM_020175_2_REVERSED	0	1	1	0	1	0	3	0.0	1	Doubtful
5	NM_001098200_2_REVERSED	Homo sapiens G protein-coupled receptor 18 (GPR18), transcript variant 2, mRNA|GPR18|frame-2-REVERSED			7.542865820149192	52.31	0.0	0.0				Related Proteins	NM_005292_2_REVERSED	NM_001098200_2_REVERSED, NM_005292_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	A6NDB9				71.65224201192197	69.99	0.0	0.0				Single Protein		A6NDB9	0	2	2	0	2	0	2	0.0	0	Doubtful
7	NM_004693_3	Homo sapiens keratin 75 (KRT75), mRNA|KRT75|frame-3			4.731280494128611	100.0	0.0	0.0				Single Protein		NM_004693_3	0	1	1	0	1	0	1	0.0	0	Doubtful
8	P31689_REVERSED				44.839452486763186	75.57	0.0	0.0				Single Protein		P31689_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
9	O00192_REVERSED				104.57742379776047	77.55	0.0	0.0				Single Protein		O00192_REVERSED	0	2	2	0	2	0	3	0.0	1	Doubtful
10	NM_020697_2	Homo sapiens potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2 (KCNS2), mRNA|KCNS2|frame-1			10.742995403242226	50.94	0.0	0.0				Single Protein		NM_020697_2	0	1	1	0	1	0	1	0.0	0	Doubtful
11	NM_000923_4_REVERSED	Homo sapiens phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila) (PDE4C), transcript variant 1, mRNA|PDE4C|frame-1-REVERSED			4.556203725762861	100.0	0.0	0.0				Related Proteins	NM_001098818_4_REVERSED, NM_001098819_4_REVERSED	NM_000923_4_REVERSED, NM_001098818_4_REVERSED, NM_001098819_4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
12	Q76MJ5				102.41558678174688	58.75	0.0	0.0				Single Protein		Q76MJ5	0	1	1	0	1	0	1	0.0	0	Doubtful
13	NM_194460_2_REVERSED	Homo sapiens ring finger protein 126 (RNF126), mRNA|RNF126|frame-3-REVERSED			18.204241767207748	63.79	0.0	0.0				Single Protein		NM_194460_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
14	Q86XE0				46.36987176934028	77.92	0.0	0.0				Single Protein		Q86XE0	0	1	1	0	1	0	1	0.0	0	Doubtful
15	NM_003054_3_REVERSED	Homo sapiens solute carrier family 18 (vesicular monoamine), member 2 (SLC18A2), mRNA|SLC18A2|frame-1-REVERSED			10.39667316666876	63.95	0.0	0.0				Single Protein		NM_003054_3_REVERSED	0	1	1	0	1	0	3	0.0	1	Doubtful
16	NM_001112734_3_REVERSED	Homo sapiens zinc finger protein 397 opposite strand (ZNF397OS), mRNA|ZSCAN30|frame-2-REVERSED			21.448195049913423	100.0	0.0	0.0				Single Protein		NM_001112734_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
17	Q9UL68				132.95945472010249	77.4	0.0	0.0				Single Protein		Q9UL68	0	2	2	0	2	0	2	0.0	0	Doubtful
18	NM_032291_1	Homo sapiens SH3-domain GRB2-like (endophilin) interacting protein 1 (SGIP1), mRNA|SGIP1|frame-3			12.409715896569521	100.0	0.0	0.0				Single Protein		NM_032291_1	0	1	1	0	1	0	1	0.0	0	Doubtful
19	Q9UKU7				45.04047116324456	84.34	0.0	0.0				Single Protein		Q9UKU7	0	1	1	0	1	0	1	0.0	0	Doubtful
20	Q6ZNC4_REVERSED				45.24743934258452	59.95	0.0	0.0				Single Protein		Q6ZNC4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
21	XM_001717693_4_REVERSED	PREDICTED: Homo sapiens hypothetical LOC100131774 (LOC100131774), mRNA|LOC100131774|frame-2-REVERSED			5.1466432820548	100.0	0.0	0.0				Single Protein		XM_001717693_4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
22	NM_002135_1_REVERSED	Homo sapiens nuclear receptor subfamily 4, group A, member 1 (NR4A1), transcript variant 1, mRNA|NR4A1|frame-2-REVERSED			4.801825710109031	38.64	0.0	0.0				Related Proteins	NM_173157_1_REVERSED	NM_002135_1_REVERSED, NM_173157_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
23	O95613_REVERSED				377.8055060829507	83.09	0.0	0.0				Single Protein		O95613_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
24	B2MG_HUMAN				13.705910892344157	100.0	8.4	353.6171148590007				Related Proteins	P61769	B2MG_HUMAN, P61769	1	1	1	1	1	2	2	100.0	0	Doubtful
25	O60637_REVERSED				27.99915937657071	39.13	0.0	0.0				Single Protein		O60637_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
26	NM_005843_8	Homo sapiens signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 (STAM2), mRNA|STAM2|frame-3			5.9757812596761735	0.0	0.0	0.0				Single Protein		NM_005843_8	0	1	1	0	1	0	1	0.0	0	Doubtful
27	Q9H2G4_REVERSED				79.38681007340548	52.24	0.0	0.0				Single Protein		Q9H2G4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
28	Q567U6				73.15190051221317	90.81	0.0	0.0				Single Protein		Q567U6	0	1	1	0	1	0	1	0.0	0	Doubtful
29	Q86XD8				80.30719826815744	76.2	0.0	0.0				Single Protein		Q86XD8	0	1	1	0	1	0	1	0.0	0	Doubtful
30	NM_014856_5_REVERSED	Homo sapiens DENN/MADD domain containing 4B (DENND4B), mRNA|DENND4B|frame-1-REVERSED			5.306232266692601	100.0	0.0	0.0				Single Protein		NM_014856_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
31	NM_014746_5_REVERSED	Homo sapiens ring finger protein 144A (RNF144A), mRNA|RNF144A|frame-1-REVERSED			12.710210239250925	50.42	0.0	0.0				Single Protein		NM_014746_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
32	NM_014801_1_REVERSED	Homo sapiens pecanex-like 2 (Drosophila) (PCNXL2), transcript variant 1, mRNA|PCNXL2|frame-3-REVERSED			7.03667714656125	100.0	0.0	0.0				Single Protein		NM_014801_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
33	Q16630_REVERSED				59.17341918917895	51.91	0.0	0.0				Single Protein		Q16630_REVERSED	0	1	1	0	1	0	3	0.0	1	Doubtful
34	Q92800_REVERSED				85.21559196764815	78.18	0.0	0.0				Single Protein		Q92800_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
35	NM_001098623_2_REVERSED	Homo sapiens obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF (OBSCN), transcript variant 2, mRNA|OBSCN|frame-1-REVERSED			18.341784021398844	79.17	0.0	0.0				Related Proteins	NM_052843_2_REVERSED	NM_001098623_2_REVERSED, NM_052843_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
36	Q92620_REVERSED				140.4150848017291	76.04	0.0	0.0				Single Protein		Q92620_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
37	NM_012113_1	Homo sapiens carbonic anhydrase XIV (CA14), mRNA|CA14|frame-2			9.072604682228807	100.0	0.0	0.0				Single Protein		NM_012113_1	0	1	1	0	1	0	1	0.0	0	Doubtful
38	NM_000629_6_REVERSED	Homo sapiens interferon (alpha, beta and omega) receptor 1 (IFNAR1), mRNA|IFNAR1|frame-1-REVERSED			5.969166806249301	54.55	0.0	0.0				Single Protein		NM_000629_6_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
39	P49790_REVERSED				153.84317969003024	60.41	0.0	0.0				Single Protein		P49790_REVERSED	0	3	3	0	3	0	3	0.0	1	Doubtful
40	NM_003170_1	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			16.214753872110023	100.0	0.0	0.0				Single Protein		NM_003170_1	0	1	1	0	1	0	1	0.0	0	Doubtful
41	P33991_REVERSED				96.49763138816635	71.73	0.0	0.0				Single Protein		P33991_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
42	Q6YI46				39.638978562566365	44.47	0.0	0.0				Single Protein		Q6YI46	0	1	1	0	1	0	1	0.0	0	Doubtful
43	Q8WXA3				75.00788668336168	90.38	0.0	0.0				Single Protein		Q8WXA3	0	1	1	0	1	0	1	0.0	0	Doubtful
44	NM_002809_3	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase, 3 (PSMD3), mRNA|PSMD3|frame-3			9.219535633776156	100.0	0.0	0.0				Single Protein		NM_002809_3	0	1	1	0	1	0	1	0.0	0	Doubtful
45	P68400_REVERSED				45.11479898146644	71.36	0.0	0.0				Related Proteins	Q8NEV1_REVERSED	P68400_REVERSED, Q8NEV1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
46	Q8IWV2_REVERSED				113.38277593444992	73.39	0.0	0.0				Single Protein		Q8IWV2_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
47	NM_001001502_1_REVERSED	Homo sapiens synuclein, beta (SNCB), transcript variant 1, mRNA|SNCB|frame-1-REVERSED			4.654214405798081	40.48	0.0	0.0				Related Proteins	NM_003085_1_REVERSED	NM_001001502_1_REVERSED, NM_003085_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
48	Q06278_REVERSED				147.82182617668684	64.2	0.0	0.0				Single Protein		Q06278_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
49	NM_003923_3_REVERSED	Homo sapiens forkhead box H1 (FOXH1), mRNA|FOXH1|frame-1-REVERSED			9.972942273211766	67.02	0.0	0.0				Single Protein		NM_003923_3_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
50	Q9Y6A4				22.75999248526644	72.02	0.0	0.0				Single Protein		Q9Y6A4	0	1	1	0	1	0	1	0.0	0	Doubtful
51	Q15406_REVERSED				54.347633810148245	62.29	0.0	0.0				Single Protein		Q15406_REVERSED	0	1	1	0	1	0	3	0.0	1	Doubtful
52	Q9NXE4				93.29205858100417	66.51	0.0	0.0				Single Protein		Q9NXE4	0	1	1	0	1	0	1	0.0	0	Doubtful
53	O15381_REVERSED				94.99098712118025	82.36	0.0	0.0				Single Protein		O15381_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
54	NM_152527_4	Homo sapiens solute carrier family 16, member 14 (monocarboxylic acid transporter 14) (SLC16A14), mRNA|SLC16A14|frame-3			6.66821010221029	100.0	0.0	0.0				Single Protein		NM_152527_4	0	1	1	0	1	0	1	0.0	0	Doubtful
55	Q86XA9				221.86276015291375	68.38	0.0	0.0				Single Protein		Q86XA9	0	3	3	0	3	0	4	0.0	0	Doubtful
56	O00533_REVERSED				134.98698391585435	61.92	0.0	0.0				Single Protein		O00533_REVERSED	0	1	1	0	1	0	4	0.0	1	Doubtful
57	Q6ZSZ5_REVERSED				130.7002252724561	74.34	0.0	0.0				Single Protein		Q6ZSZ5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
58	O15018_REVERSED				301.4552793552942	67.95	0.0	0.0				Single Protein		O15018_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
59	P12110_REVERSED				108.511935008408	70.56	0.0	0.0				Single Protein		P12110_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
60	NM_018960_1	Homo sapiens glycine N-methyltransferase (GNMT), mRNA|GNMT|frame-3			4.35004691238348	100.0	0.0	0.0				Single Protein		NM_018960_1	0	1	1	0	1	0	2	0.0	0	Doubtful
61	NM_031427_5	Homo sapiens dynein, axonemal, light chain 1 (DNAL1), mRNA|DNAL1|frame-2			11.901865447987094	77.78	0.0	0.0				Single Protein		NM_031427_5	0	1	1	0	1	0	1	0.0	0	Doubtful
62	Q86V15_REVERSED				189.9479403410783	68.9	0.0	0.0				Single Protein		Q86V15_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
63	NM_018837_1	Homo sapiens sulfatase 2 (SULF2), transcript variant 1, mRNA|SULF2|frame-2			6.98752628684872	49.28	0.0	0.0				Related Proteins	NM_198596_1	NM_018837_1, NM_198596_1	0	1	1	0	1	0	1	0.0	0	Doubtful
64	Q9UKX5				133.3863875407906	61.36	0.0	0.0				Single Protein		Q9UKX5	0	1	1	0	1	0	1	0.0	0	Doubtful
65	NM_001130852_1	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence c (CBLC), transcript variant 2, mRNA|CBLC|frame-3			14.81585125914157	83.1	0.0	0.0				Related Proteins	NM_012116_1	NM_001130852_1, NM_012116_1	0	1	1	0	1	0	2	0.0	0	Doubtful
66	Q9UKX3				223.4650097490558	92.41	0.0	0.0				Single Protein		Q9UKX3	0	2	2	0	2	0	2	0.0	0	Doubtful
67	O14576				72.9096527972296	56.74	0.0	0.0				Single Protein		O14576	0	1	1	0	1	0	1	0.0	0	Doubtful
68	NM_002504_1_REVERSED	Homo sapiens nuclear transcription factor, X-box binding 1 (NFX1), transcript variant 1, mRNA|NFX1|frame-3-REVERSED			5.462142127044671	100.0	0.0	0.0				Related Proteins	NM_147133_1_REVERSED, NM_147134_1_REVERSED	NM_002504_1_REVERSED, NM_147133_1_REVERSED, NM_147134_1_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
69	O14578				231.28581307218153	88.31	0.0	0.0				Single Protein		O14578	0	1	1	0	1	0	1	0.0	0	Doubtful
