	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	NM_018036_1_REVERSED	Homo sapiens ATG2 autophagy related 2 homolog B (S. cerevisiae) (ATG2B), mRNA|ATG2B|frame-3-REVERSED			6.6443809429443705	100.0	0.0	0.0				Single Protein		NM_018036_1_REVERSED	0	1	1	0	1	0	1	29.959514170040492	1	Doubtful
2	NM_207307_1	Homo sapiens chromosome 3 open reading frame 25 (C3orf25), mRNA|C3orf25|frame-3			11.237919489678966	100.0	0.0	0.0				Single Protein		NM_207307_1	0	1	1	0	1	0	2	89.77272727272727	0	Doubtful
3	O60575_REVERSED				9.447758744729274	55.81	0.0	0.0				Single Protein		O60575_REVERSED	0	1	1	0	1	0	1	29.959514170040492	1	Doubtful
4	NM_000481_2_REVERSED	Homo sapiens aminomethyltransferase (AMT), mRNA|AMT|frame-1-REVERSED			7.805814472559623	100.0	0.0	0.0				Single Protein		NM_000481_2_REVERSED	0	1	1	0	1	0	1	29.959514170040492	1	Doubtful
5	O60447				92.89006679110256	66.05	0.0	0.0				Single Protein		O60447	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
6	NM_004543_33_REVERSED	Homo sapiens nebulin (NEB), mRNA|NEB|frame-1-REVERSED			5.1205014135283005	47.83	0.0	0.0				Single Protein		NM_004543_33_REVERSED	0	1	1	0	1	0	1	29.959514170040492	1	Doubtful
7	NM_001135999_2	Homo sapiens RUN and SH3 domain containing 2 (RUSC2), mRNA|RUSC2|frame-1			9.545477905879771	27.59	0.0	0.0				Related Proteins	NM_014806_1	NM_001135999_2, NM_014806_1	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
8	NM_006401_2	Homo sapiens acidic (leucine-rich) nuclear phosphoprotein 32 family, member B (ANP32B), mRNA|ANP32B|frame-3			8.795846156769956	100.0	0.0	0.0				Single Protein		NM_006401_2	0	1	1	0	1	0	2	89.77272727272727	0	Doubtful
9	P16581				66.6107961526438	40.82	0.0	0.0				Single Protein		P16581	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
10	P30876				133.81068609894038	70.44	0.0	0.0				Single Protein		P30876	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
11	Q7Z4N8				61.0881970249655	61.58	0.0	0.0				Single Protein		Q7Z4N8	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
12	Q9NXC5				98.52091917610424	85.26	0.0	0.0				Single Protein		Q9NXC5	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
13	NM_001012478_2	Homo sapiens U2 small nuclear RNA auxiliary factor 2 (U2AF2), transcript variant 2, mRNA|U2AF2|frame-1			9.67692257279976	100.0	0.0	0.0				Related Proteins	NM_007279_2	NM_001012478_2, NM_007279_2	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
14	Q6ZNC4_REVERSED				45.24743934258452	59.95	0.0	0.0				Single Protein		Q6ZNC4_REVERSED	0	1	1	0	1	0	1	29.959514170040492	1	Doubtful
15	NM_001855_4	Homo sapiens collagen, type XV, alpha 1 (COL15A1), mRNA|COL15A1|frame-1			5.995999617253053	100.0	0.0	0.0				Single Protein		NM_001855_4	0	2	2	0	2	1	4	89.77272727272727	0	Doubtful
16	Q6PXP3_REVERSED				55.69162346413513	35.16	0.0	0.0				Single Protein		Q6PXP3_REVERSED	0	1	1	0	1	0	1	29.959514170040492	1	Doubtful
17	Q8NE71				95.86647554074207	76.21	0.0	0.0				Single Protein		Q8NE71	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
18	Q99698_REVERSED				428.8662863442912	61.75	0.0	0.0				Single Protein		Q99698_REVERSED	0	1	1	0	1	0	1	29.959514170040492	1	Doubtful
19	NM_000381_3	Homo sapiens midline 1 (Opitz/BBB syndrome) (MID1), transcript variant 1, mRNA|MID1|frame-3			4.57533862646105	100.0	0.0	0.0				Related Proteins	NM_001098624_4, NM_033290_3	NM_000381_3, NM_001098624_4, NM_033290_3	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
20	O95613_REVERSED				377.8055060829507	82.43	0.0	0.0				Single Protein		O95613_REVERSED	0	1	1	0	1	0	2	30.294305822136913	1	Doubtful
21	NM_001145446_1	Homo sapiens zinc finger protein 200 (ZNF200), transcript variant 4, mRNA|ZNF200|frame-3			7.6392360615245956	100.0	0.0	0.0				Related Proteins	NM_001145447_2, NM_001145448_1, NM_003454_2, NM_198087_1, NM_198088_1	NM_001145446_1, NM_001145447_2, NM_001145448_1, NM_003454_2, NM_198087_1, NM_198088_1	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
22	Q8IWI9				331.63108220475993	68.18	0.0	0.0				Single Protein		Q8IWI9	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
23	NM_000254_14	Homo sapiens 5-methyltetrahydrofolate-homocysteine methyltransferase (MTR), mRNA|MTR|frame-1			4.42023211278718	100.0	0.0	0.0				Single Protein		NM_000254_14	0	1	1	0	1	0	1	29.959514170040492	0	Doubtful
