	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UKT9				57.98577931559534	90.96	0.0	0.0					Single Protein		Q9UKT9	0	1	1	0	1	0	0	1	13.75262054507338	Doubtful
2	Q9UL59				70.94595136118284	94.06	0.0	0.0					Single Protein		Q9UL59	0	1	1	0	1	0	0	1	13.75262054507338	Doubtful
3	XM_001717702_1	PREDICTED: Homo sapiens similar to hCG2040171 (LOC390937), mRNA|LOC390937|frame-3			8.598199237113143	100.0	0.0	0.0					Related Proteins	XM_372730_1, XM_940847_1	XM_001717702_1, XM_372730_1, XM_940847_1	0	1	1	0	1	0	0	1	13.75262054507338	Doubtful
4	Q8NDW4				67.04349272406715	100.0	0.0	0.0					Single Protein		Q8NDW4	0	2	2	0	2	0	0	3	13.75262054507338	Doubtful
5	Q9UKU6				116.9258329375981	78.22	0.0	0.0					Single Protein		Q9UKU6	0	1	1	0	1	0	0	1	13.75262054507338	Doubtful
6	NM_017519_9	Homo sapiens AT rich interactive domain 1B (SWI1-like) (ARID1B), transcript variant 1, mRNA|ARID1B|frame-1			5.763812766698691	100.0	0.0	0.0					Related Proteins	NM_020732_10, NM_175863_9	NM_017519_9, NM_020732_10, NM_175863_9	0	1	1	0	1	0	0	1	13.75262054507338	Doubtful
7	Q9NXC2				43.12996478188238	83.33	0.0	0.0					Single Protein		Q9NXC2	0	1	1	0	1	0	0	1	13.75262054507338	Doubtful
8	NM_004560_1	Homo sapiens receptor tyrosine kinase-like orphan receptor 2 (ROR2), mRNA|ROR2|frame-3			4.86523261752967	100.0	0.0	0.0					Single Protein		NM_004560_1	0	2	2	0	2	0	0	3	13.75262054507338	Doubtful
9	P0CJ73				2.7174356762618	100.0	0.0	0.0					Single Protein		P0CJ73	0	1	1	0	1	0	0	1	13.75262054507338	Doubtful
10	Q5JST6				87.34104189865977	100.0	0.0	0.0					Single Protein		Q5JST6	0	1	1	0	1	0	0	1	13.75262054507338	Doubtful
11	Q7Z4N2				182.0622402206764	90.14	0.0	0.0					Single Protein		Q7Z4N2	0	1	1	0	1	0	0	1	13.75262054507338	Doubtful
