	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P48163				64.10906861395647	76.75	25.0	112.54347586872255	Oxidation of M(M229, M361)	Oxidation of M(2)			Single Protein		P48163	11	15	15	11	15	11	22	26	100.0	Confident
2	P48147				80.64802916912808	90.85	25.21	68.54941677591887					Single Protein		P48147	12	13	13	12	13	12	22	23	100.0	Confident
3	O95104				125.7902373456122	52.66	0.0	0.0					Single Protein		O95104	0	1	1	0	1	0	0	1	96.34146341463415	Doubtful
4	NM_017637_4	Homo sapiens basonuclin 2 (BNC2), mRNA|BNC2|frame-2			14.06138815287999	100.0	0.0	0.0					Single Protein		NM_017637_4	0	1	1	0	1	0	0	1	88.9908256880734	Doubtful
5	P50454				46.411177198189904	93.06	3.11	44.7374295685404					Single Protein		P50454	1	1	1	1	1	1	2	2	100.0	Doubtful
6	P21964				30.017630824817328	59.78	5.54	69.0045961610697					Single Protein		P21964	1	2	2	1	2	1	2	4	100.0	Doubtful
7	P54819				26.460771885631072	100.0	15.9	58.68277895287623					Single Protein		P54819	2	2	2	2	2	2	2	2	100.0	Confident
8	Q6Y7W6				149.97826995419558	66.59	1.0	30.423392992922814					Single Protein		Q6Y7W6	2	2	2	2	2	2	4	6	100.0	Doubtful
9	Q92530				29.798014149229743	62.36	9.96	140.95662482148157					Single Protein		Q92530	2	2	2	2	2	2	4	4	100.0	Confident
10	P68104				50.10910826932214	65.8	25.32	138.6665901304679	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	9	10	10	9	10	9	21	22	100.0	Confident
11	P50479				35.37566127722048	80.91	11.82	99.22102825032714					Single Protein		P50479	3	3	3	3	3	3	6	6	100.0	Confident
12	NM_032434_3	Homo sapiens zinc finger protein 512 (ZNF512), mRNA|ZNF512|frame-2			5.915210707115123	100.0	0.0	0.0					Single Protein		NM_032434_3	0	1	1	0	1	0	0	1	96.34146341463415	Doubtful
13	O95149				41.11621204492619	61.67	7.5	67.50991176768913					Single Protein		O95149	1	1	1	1	1	1	2	2	100.0	Doubtful
14	Q9UL46				27.384315650885558	100.0	5.44	39.12185263525081					Single Protein		Q9UL46	1	1	1	1	1	1	1	1	100.0	Doubtful
15	P24941				33.90801967447553	100.0	8.39	52.29375156501647					Related Proteins	Q00526	P24941, Q00526	2	3	1	1	1	1	3	6	100.0	Confident
16	Q9BTV6				50.542956080732175	66.81	2.65	73.23855963309356					Single Protein		Q9BTV6	1	1	1	1	1	1	3	4	99.42857142857143	Doubtful
17	Q8IWB7				46.2933316223387	85.61	8.29	37.10366182470216					Single Protein		Q8IWB7	2	2	2	2	2	2	2	2	100.0	Confident
18	NM_001003395_3	Homo sapiens tumor protein D52-like 1 (TPD52L1), transcript variant 2, mRNA|TPD52L1|frame-3			6.030115305353753	100.0	0.0	0.0					Related Proteins	NM_001003396_3, NM_001003397_3, NM_003287_3	NM_001003395_3, NM_001003396_3, NM_001003397_3, NM_003287_3	0	1	1	0	1	0	0	1	96.34146341463415	Doubtful
19	P11940				70.62586938277288	78.3	2.52	16.81676758961321					Related Proteins	NM_016120_17, NM_183353_17, Q9H361	NM_016120_17, NM_183353_17, P11940, Q9H361	1	1	0	0	0	0	1	1	100.0	Doubtful
20	Q14195				61.9240951899085	75.61	1.75	19.23893576095668					Single Protein		Q14195	1	1	1	1	1	1	1	1	100.0	Doubtful
21	Q9Y5Y2				28.806824673061808	69.37	19.56	86.97788632395297					Single Protein		Q9Y5Y2	2	2	2	2	2	2	3	3	100.0	Confident
22	Q9H4A4				72.54946048134059	73.08	19.23	93.88551572429105					Single Protein		Q9H4A4	8	9	9	8	9	8	17	18	100.0	Confident
23	P58340				30.60799114791641	77.99	0.0	0.0					Single Protein		P58340	0	1	1	0	1	0	0	1	96.34146341463415	Doubtful
24	Q7Z4H3				23.375649791375086	100.0	32.84	188.68303322032367	Oxidation of M(M53, M56, M58)	Oxidation of M(3)			Single Protein		Q7Z4H3	5	5	5	5	5	5	8	8	100.0	Confident
25	Q9BUP0				26.91082347353748	87.87	0.0	0.0					Single Protein		Q9BUP0	0	1	1	0	1	0	0	1	96.34146341463415	Doubtful
26	P35658				213.4882520520574	45.31	0.62	8.79597627452958					Single Protein		P35658	1	1	1	1	1	1	1	1	100.0	Doubtful
27	Q8IWZ8				72.42547365191643	80.47	4.03	31.063530829983204					Single Protein		Q8IWZ8	1	1	1	1	1	1	2	2	100.0	Doubtful
28	Q16881				70.86221675622504	95.53	3.54	14.406968844106233					Single Protein		Q16881	1	1	1	1	1	1	1	1	100.0	Doubtful
29	P36969				22.160977529187832	100.0	29.44	256.2977817820036	Oxidation of M(M183)	Oxidation of M(1)			Single Protein		P36969	6	6	6	6	6	6	14	14	100.0	Confident
30	K1C9_HUMAN				62.09190997979053	63.72	24.24	125.62115363795289	Oxidation of M(M411)	Oxidation of M(1)			Related Proteins	P35527	K1C9_HUMAN, P35527	9	9	9	9	9	9	17	18	100.0	Confident
31	Q86XR5				16.677549289569626	51.63	0.0	0.0					Single Protein		Q86XR5	0	1	1	0	1	0	0	1	96.34146341463415	Doubtful
32	Q9H4Z3				80.618373477398	84.66	2.56	29.920392895439825					Single Protein		Q9H4Z3	2	3	3	2	3	2	4	4	100.0	Confident
33	P61970				14.469048408153427	78.74	51.18	762.58250468376	Oxidation of M(M84, M97, M102, M118)	Oxidation of M(4)			Single Protein		P61970	9	9	9	9	9	9	29	29	100.0	Confident
34	P61978				50.94440274865072	82.51	13.39	199.89354983046346					Single Protein		P61978	4	4	4	4	4	4	12	15	100.0	Confident
35	Q14244				84.00151652654613	74.5	0.0	0.0					Single Protein		Q14244	0	1	1	0	1	0	0	1	96.34146341463415	Doubtful
36	Q14247				61.548531657824725	80.18	17.64	69.89959692508515					Single Protein		Q14247	8	11	11	8	11	8	15	19	100.0	Confident
37	P61925				7.983817674592762	100.0	19.74	123.0279313134861					Single Protein		P61925	1	1	1	1	1	1	1	1	100.0	Doubtful
38	P11940				70.62586938277288	78.3	3.77	16.81676758961321	Oxidation of M(M584, M596)	Oxidation of M(2)			Related Proteins	Q13310	P11940, Q13310	1	1	0	0	0	0	2	2	100.0	Doubtful
39	NM_175709_5	Homo sapiens chromobox homolog 7 (CBX7), mRNA|CBX7|frame-1			6.357185671642142	100.0	0.0	0.0					Single Protein		NM_175709_5	0	1	1	0	1	0	0	1	88.9908256880734	Doubtful
40	NM_001039670_1	Homo sapiens intermediate filament family orphan 1 (IFFO1), transcript variant 4, mRNA|IFFO1|frame-3			16.887498614907496	82.05	0.0	0.0					Related Proteins	NM_080730_1	NM_001039670_1, NM_080730_1	0	1	1	0	1	0	0	1	96.34146341463415	Doubtful
41	A7E2Y1				221.25125260928914	93.66	0.0	0.0					Single Protein		A7E2Y1	0	2	2	0	2	0	0	4	99.42857142857143	Doubtful
42	P56545				48.914114397826346	68.09	30.79	145.9860439793736	Oxidation of M(M48)	Oxidation of M(1)			Single Protein		P56545	12	13	9	8	9	8	23	25	100.0	Confident
43	Q16836				34.271936180791954	78.66	18.15	126.01850196635306	Oxidation of M(M228, M256)	Oxidation of M(2)			Single Protein		Q16836	5	5	5	5	5	5	8	9	100.0	Confident
44	Q16831				33.91219903779577	79.35	6.13	67.75451289728221					Single Protein		Q16831	1	2	2	1	2	1	2	4	100.0	Doubtful
45	P10323				45.817403494908454	80.52	0.0	0.0					Single Protein		P10323	0	1	1	0	1	0	0	1	96.34146341463415	Doubtful
46	P61081				20.886648718015564	83.06	13.66	92.27094848511459					Single Protein		P61081	2	3	3	2	3	2	3	3	100.0	Confident
47	P12955				54.5129070696838	65.31	7.71	45.83393519522032					Single Protein		P12955	2	2	2	2	2	2	3	3	100.0	Confident
48	P61088				17.12697445361943	81.58	40.79	330.1249490245211					Single Protein		P61088	5	5	5	5	5	5	11	11	100.0	Confident
49	Q9BUH6				21.62597076536685	86.76	5.88	45.83393519522032					Single Protein		Q9BUH6	1	2	2	1	2	1	2	2	100.0	Doubtful
