	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9H0E3				110.2554446558843	32.35	0.95	200.88717774973864	Oxidation of M(M1006)	Oxidation of M(1)			Single Protein		Q9H0E3	1	1	1	1	1	1	1	1	100.0	Doubtful
2	NM_206921_4	Homo sapiens chromosome 6 open reading frame 204 (C6orf204), transcript variant 2, mRNA|C6orf204|frame-1			7.140813966440626	100.0	0.0	0.0					Single Protein		NM_206921_4	0	1	1	0	1	0	0	1	5.976095617529875	Doubtful
3	Q9H967				69.72515370668543	63.42	0.0	0.0					Single Protein		Q9H967	0	1	1	0	1	0	0	1	5.976095617529875	Doubtful
4	O95793				63.14275956081012	63.6	0.0	0.0					Single Protein		O95793	0	1	1	0	1	0	0	1	5.976095617529875	Doubtful
5	Q8NE79				41.424134238557116	66.11	0.0	0.0					Single Protein		Q8NE79	0	1	1	0	1	0	0	2	86.95652173913044	Doubtful
6	NM_006401_2	Homo sapiens acidic (leucine-rich) nuclear phosphoprotein 32 family, member B (ANP32B), mRNA|ANP32B|frame-3			8.795846156769956	100.0	0.0	0.0					Single Protein		NM_006401_2	0	1	1	0	1	0	0	1	5.976095617529875	Doubtful
7	NM_006040_3	Homo sapiens heparan sulfate (glucosamine) 3-O-sulfotransferase 4 (HS3ST4), mRNA|HS3ST4|frame-3			6.14038728704625	60.71	0.0	0.0					Single Protein		NM_006040_3	0	1	1	0	1	0	0	1	5.976095617529875	Doubtful
8	Q2TAC6				111.26410254745433	65.23	0.0	0.0					Single Protein		Q2TAC6	0	1	1	0	1	0	0	1	5.976095617529875	Doubtful
9	NM_001855_4	Homo sapiens collagen, type XV, alpha 1 (COL15A1), mRNA|COL15A1|frame-1			5.995999617253053	100.0	0.0	0.0					Single Protein		NM_001855_4	0	1	1	0	1	0	0	2	5.976095617529875	Doubtful
10	NM_001135554_2	Homo sapiens erythrocyte membrane protein band 4.1-like 2 (EPB41L2), transcript variant 3, mRNA|EPB41L2|frame-1			7.126692898681353	100.0	0.0	0.0					Related Proteins	NM_001135555_2, NM_001431_2	NM_001135554_2, NM_001135555_2, NM_001431_2	0	1	1	0	1	0	0	1	5.976095617529875	Doubtful
11	NM_001145336_7	Homo sapiens Mdm2 p53 binding protein homolog (mouse) (MDM2), transcript variant MDM2f, mRNA|MDM2|frame-2			5.8631861834100825	100.0	0.0	0.0					Related Proteins	NM_001145337_7, NM_001145339_7, NM_001145340_7, NM_002392_7, NM_006878_6, NM_006879_6, NM_006881_6, NM_006882_6	NM_001145336_7, NM_001145337_7, NM_001145339_7, NM_001145340_7, NM_002392_7, NM_006878_6, NM_006879_6, NM_006881_6, NM_006882_6	0	1	1	0	1	0	0	1	5.976095617529875	Doubtful
12	NM_005833_2	Homo sapiens Rab9 effector protein with kelch motifs (RABEPK), mRNA|RABEPK|frame-2			5.794740081470971	100.0	0.0	0.0					Unrelated Proteins	NM_020145_2, NM_138300_8, NM_145754_7	NM_005833_2, NM_020145_2, NM_138300_8, NM_145754_7	0	1	1	0	1	0	0	1	5.976095617529875	Doubtful
13	O95561				21.195024937455322	78.14	0.0	0.0					Single Protein		O95561	0	1	1	0	1	0	0	1	5.976095617529875	Doubtful
14	O00160				124.76583117940089	65.12	0.0	0.0					Single Protein		O00160	0	1	1	0	1	0	0	1	5.394990366088637	Doubtful
