	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_207307_2	Homo sapiens chromosome 3 open reading frame 25 (C3orf25), mRNA|C3orf25|frame-3			8.075013372534954	100.0	0.0	0.0					Single Protein		NM_207307_2	0	1	1	0	1	0	0	1	0.0	Doubtful
2	NM_003417_11	Homo sapiens zinc finger protein 264 (ZNF264), mRNA|ZNF264|frame-2			6.059107641222523	100.0	0.0	0.0					Single Protein		NM_003417_11	0	1	1	0	1	0	0	1	0.0	Doubtful
3	Q96IL0				24.137352901036092	100.0	0.0	0.0					Single Protein		Q96IL0	0	1	1	0	1	0	0	1	0.0	Doubtful
4	NM_001134673_10	Homo sapiens nuclear factor I/A (NFIA), transcript variant 1, mRNA|NFIA|frame-2			5.3195285397929295	100.0	0.0	0.0					Related Proteins	NM_001145511_10, NM_001145512_10, NM_005595_10	NM_001134673_10, NM_001145511_10, NM_001145512_10, NM_005595_10	0	2	2	0	2	0	0	5	0.0	Doubtful
5	P21926				25.398978264840945	33.33	0.0	0.0					Single Protein		P21926	0	1	1	0	1	0	0	1	0.0	Doubtful
6	NM_017519_9	Homo sapiens AT rich interactive domain 1B (SWI1-like) (ARID1B), transcript variant 1, mRNA|ARID1B|frame-1			5.763812766698691	100.0	0.0	0.0					Related Proteins	NM_020732_10, NM_175863_9	NM_017519_9, NM_020732_10, NM_175863_9	0	1	1	0	1	0	0	2	0.0	Doubtful
7	P30876				133.81068609894038	70.44	0.0	0.0					Single Protein		P30876	0	2	2	0	2	0	0	2	0.0	Doubtful
8	NM_001145206_8	Homo sapiens KIAA1671 protein (KIAA1671), mRNA|KIAA1671|frame-1			20.468482626403866	100.0	0.0	0.0					Related Proteins	XM_002343892_8	NM_001145206_8, XM_002343892_8	0	1	1	0	1	0	0	1	0.0	Doubtful
9	NM_001855_4	Homo sapiens collagen, type XV, alpha 1 (COL15A1), mRNA|COL15A1|frame-1			5.995999617253053	100.0	0.0	0.0					Single Protein		NM_001855_4	0	1	1	0	1	0	0	2	0.0	Doubtful
10	XM_002345578_5	PREDICTED: Homo sapiens similar to RIKEN cDNA C230030N03 (LOC100291878), mRNA|LOC100291878|frame-1			12.158388156584001	79.09	0.0	0.0					Single Protein		XM_002345578_5	0	1	1	0	1	0	0	1	0.0	Doubtful
11	Q8NDV7				210.1685204774121	47.45	0.0	0.0					Single Protein		Q8NDV7	0	1	1	0	1	0	0	1	0.0	Doubtful
12	NM_001007157_3	Homo sapiens PHD finger protein 14 (PHF14), transcript variant 1, mRNA|PHF14|frame-2			6.285369269512781	100.0	0.0	0.0					Related Proteins	NM_014660_3	NM_001007157_3, NM_014660_3	0	1	1	0	1	0	0	1	0.0	Doubtful
13	NM_007212_3	Homo sapiens ring finger protein 2 (RNF2), mRNA|RNF2|frame-2			5.480781264208021	37.5	0.0	0.0					Single Protein		NM_007212_3	0	1	1	0	1	0	0	1	0.0	Doubtful
14	NM_024786_4	Homo sapiens zinc finger, DHHC-type containing 11 (ZDHHC11), mRNA|ZDHHC11|frame-1			5.697854825109351	100.0	0.0	0.0					Related Proteins	XM_001716434_8	NM_024786_4, XM_001716434_8	0	1	1	0	1	0	0	1	0.0	Doubtful
15	Q9UKV3				151.77079068994243	73.75	5.15	240.64931798619537					Single Protein		Q9UKV3	6	10	10	6	10	6	10	15	100.0	Confident
16	Q8N3T1				73.01696739343686	61.66	0.0	0.0					Single Protein		Q8N3T1	0	1	1	0	1	0	0	1	0.0	Doubtful
17	NM_032291_4	Homo sapiens SH3-domain GRB2-like (endophilin) interacting protein 1 (SGIP1), mRNA|SGIP1|frame-3			15.402470337897041	83.46	0.0	0.0					Single Protein		NM_032291_4	0	1	1	0	1	0	0	1	0.0	Doubtful
18	Q8N456				29.71806421586095	100.0	0.0	0.0					Single Protein		Q8N456	0	1	1	0	1	0	0	2	0.0	Doubtful
19	Q8N3T6				121.71131603774408	64.08	0.0	0.0					Single Protein		Q8N3T6	0	1	1	0	1	0	0	1	0.0	Doubtful
20	NM_014207_1	Homo sapiens CD5 molecule (CD5), mRNA|CD5|frame-3			5.758943573818642	100.0	0.0	0.0					Single Protein		NM_014207_1	0	1	1	0	1	0	0	1	0.0	Doubtful
21	XM_001716258_1	PREDICTED: Homo sapiens hypothetical LOC100128304 (LOC100128304), mRNA|LOC100128304|frame-2			12.061216350744871	75.0	0.0	0.0					Related Proteins	XM_001718321_1, XM_001718543_1	XM_001716258_1, XM_001718321_1, XM_001718543_1	0	1	1	0	1	0	0	1	0.0	Doubtful
22	A4D1P6				83.29173545345338	61.45	0.0	0.0					Single Protein		A4D1P6	0	1	1	0	1	0	0	1	0.0	Doubtful
23	NM_000610_2	Homo sapiens CD44 molecule (Indian blood group) (CD44), transcript variant 1, mRNA|CD44|frame-1			14.743940359598096	100.0	0.0	0.0					Related Proteins	NM_001001389_2	NM_000610_2, NM_001001389_2	0	1	1	0	1	0	0	1	0.0	Doubtful
24	Q96A99				52.30720535107526	56.69	0.0	0.0					Single Protein		Q96A99	0	1	1	0	1	0	0	1	0.0	Doubtful
25	NM_003170_1	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			16.214753872110023	100.0	0.0	0.0					Single Protein		NM_003170_1	0	1	1	0	1	0	0	1	0.0	Doubtful
26	Q9HC10				226.60990954249095	69.35	0.0	0.0					Related Proteins	NM_005121_5	NM_005121_5, Q9HC10	0	1	1	0	1	0	0	1	0.0	Doubtful
27	NM_145007_2	Homo sapiens NLR family, pyrin domain containing 11 (NLRP11), mRNA|NLRP11|frame-2			5.3687682248677415	100.0	0.0	0.0					Single Protein		NM_145007_2	0	1	1	0	1	0	0	1	0.0	Doubtful
28	NM_020182_10	Homo sapiens prostate transmembrane protein, androgen induced 1 (PMEPA1), transcript variant 1, mRNA|PMEPA1|frame-2			6.996644692261094	51.67	0.0	0.0					Related Proteins	NM_199169_10, NM_199170_10, NM_199171_10	NM_020182_10, NM_199169_10, NM_199170_10, NM_199171_10	0	1	1	0	1	0	0	2	0.0	Doubtful
29	Q9Y6A1				84.82561552847191	41.23	0.0	0.0					Single Protein		Q9Y6A1	0	1	1	0	1	0	0	1	0.0	Doubtful
30	NM_032478_3	Homo sapiens mitochondrial ribosomal protein L38 (MRPL38), nuclear gene encoding mitochondrial protein, mRNA|MRPL38|frame-1			4.071062981773411	100.0	0.0	0.0					Single Protein		NM_032478_3	0	1	1	0	1	0	0	2	0.0	Doubtful
31	NM_015018_2	Homo sapiens dopey family member 1 (DOPEY1), mRNA|DOPEY1|frame-1			4.894630894492882	100.0	0.0	0.0					Single Protein		NM_015018_2	0	1	1	0	1	0	0	1	0.0	Doubtful
32	A6NM62				140.65396686508262	84.6	0.0	0.0					Single Protein		A6NM62	0	1	1	0	1	0	0	1	0.0	Doubtful
33	Q8N3S3				88.7012116459704	53.12	0.0	0.0					Single Protein		Q8N3S3	0	1	1	0	1	0	0	18	0.0	Doubtful
