	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	O60449				198.1835705879316	77.53	0.0	0.0					Single Protein		O60449	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
2	Q86XE3				60.673135583568005	87.17	0.0	0.0					Single Protein		Q86XE3	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
3	NM_006401_2	Homo sapiens acidic (leucine-rich) nuclear phosphoprotein 32 family, member B (ANP32B), mRNA|ANP32B|frame-3			8.795846156769956	100.0	0.0	0.0					Single Protein		NM_006401_2	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
4	NM_007345_7	Homo sapiens zinc finger protein 236 (ZNF236), mRNA|ZNF236|frame-3			4.752475988964338	100.0	0.0	0.0					Single Protein		NM_007345_7	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
5	P30876				133.81068609894038	83.39	0.0	0.0					Single Protein		P30876	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
6	Q5VVW2				112.78156224949764	87.46	0.0	0.0					Single Protein		Q5VVW2	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
7	Q9UKV3				151.77079068994243	90.6	0.0	0.0					Single Protein		Q9UKV3	0	1	1	0	1	0	0	2	18.362927674317888	Doubtful
8	NM_032291_4	Homo sapiens SH3-domain GRB2-like (endophilin) interacting protein 1 (SGIP1), mRNA|SGIP1|frame-3			15.402470337897041	100.0	0.0	0.0					Single Protein		NM_032291_4	0	1	1	0	1	0	0	5	19.77736549165121	Doubtful
9	NM_032118_1	Homo sapiens WD repeat domain 54 (WDR54), mRNA|WDR54|frame-2			6.362049470191551	100.0	0.0	0.0					Single Protein		NM_032118_1	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
10	NM_003170_1	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			16.214753872110023	100.0	0.0	0.0					Single Protein		NM_003170_1	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
11	NM_003170_2	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			4.913436760878631	100.0	0.0	0.0					Single Protein		NM_003170_2	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
12	Q1ED39				51.55721028096693	100.0	0.0	0.0					Single Protein		Q1ED39	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
13	Q5BKY9				28.367865857754666	100.0	0.0	0.0					Single Protein		Q5BKY9	0	1	1	0	1	0	0	1	18.362927674317888	Doubtful
