	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9H0E3				110.2554446558843	32.35	0.95	239.52356696799274	Oxidation of M(M1006)	Oxidation of M(1)		Single Protein		Q9H0E3	1	1	1	1	1	1	1	100.0	0	Doubtful
2	Q08170				56.64533079785475	100.0	1.82	370.4372574160859				Related Proteins	Q13243, Q13247	Q08170, Q13243, Q13247	1	1	1	1	1	2	2	100.0	0	Doubtful
3	P29692				31.10278320777167	73.67	16.73	1248.1933922780454	Oxidation of M(M29)	Oxidation of M(1)		Single Protein		P29692	4	4	4	4	4	7	7	100.0	0	Doubtful
4	O60888				19.10411244227116	46.93	7.82	658.2590113796635				Single Protein		O60888	1	1	1	1	1	1	1	100.0	0	Doubtful
5	Q9Y230				51.12455427949146	82.07	2.81	212.2923493776641	Oxidation of M(M46)	Oxidation of M(1)		Single Protein		Q9Y230	1	1	1	1	1	1	2	100.0	0	Doubtful
6	P07437				49.63897134453148	54.5	30.18	823.6409693124343	Oxidation of M(M73, M164, M257, M267, M330, M363, M388)	Oxidation of M(7)		Single Protein		P07437	11	12	3	2	3	19	21	100.0	0	Doubtful
7	P68104				50.10910826932214	55.63	14.07	666.4378936975771	Oxidation of M(M276, M404, M410)	Oxidation of M(3)		Related Proteins	Q5VTE0	P68104, Q5VTE0	4	4	4	4	4	6	6	100.0	0	Doubtful
8	P52657				12.449422022322878	67.89	8.26	0.0				Single Protein		P52657	1	1	1	1	1	0	1	97.46835443037975	0	Doubtful
9	O95373				119.43987033421797	44.99	6.07	442.9956840750735	Oxidation of M(M174, M543)	Oxidation of M(2)		Single Protein		O95373	5	5	5	5	5	7	7	100.0	0	Doubtful
10	P0DME0				34.861296231789474	49.67	3.31	459.7889576973528				Related Proteins	Q01105	P0DME0, Q01105	1	1	1	1	1	1	1	100.0	0	Doubtful
11	Q86V81				26.871620031156695	71.98	5.06	712.0467126986243				Single Protein		Q86V81	1	1	1	1	1	2	2	98.7012987012987	0	Doubtful
12	P14678				24.593686757502248	61.67	6.25	762.4833548481103	Oxidation of M(M80)	Oxidation of M(1)		Related Proteins	P63162	P14678, P63162	1	1	1	1	1	2	2	100.0	0	Doubtful
13	Q15029				109.36628102068903	58.02	4.53	405.1843914651794	Oxidation of M(M687, M822)	Oxidation of M(2)		Single Protein		Q15029	4	5	5	4	5	7	8	100.0	0	Doubtful
14	Q99733				42.79689085890892	56.0	12.27	1170.2161458091841	Oxidation of M(M32)	Oxidation of M(1)		Single Protein		Q99733	4	4	3	3	3	8	8	100.0	0	Doubtful
15	Q15061				74.84343669575311	59.08	1.33	153.26298589911764	Oxidation of M(M397)	Oxidation of M(1)		Single Protein		Q15061	1	1	1	1	1	1	1	100.0	0	Doubtful
16	Q5SNT6				136.886879855278	59.86	1.28	79.632726354894				Related Proteins	Q641Q2, Q9Y4E1	Q5SNT6, Q641Q2, Q9Y4E1	1	1	1	1	1	1	1	100.0	0	Doubtful
17	P49458				10.105110978329646	100.0	22.09	2127.860525157517	Oxidation of M(M23)	Oxidation of M(1)		Single Protein		P49458	2	2	2	2	2	3	3	100.0	0	Doubtful
18	P06748				32.55484168905772	57.14	27.21	2303.9540332639863	Oxidation of M(M65, M81)	Oxidation of M(2)		Single Protein		P06748	5	5	5	5	5	12	18	100.0	0	Doubtful
19	O43491				112.51925231692437	75.92	4.98	403.56664051645475	Oxidation of M(M163, M877)	Oxidation of M(2)		Single Protein		O43491	4	4	4	4	4	7	7	100.0	0	Doubtful
20	P62851				13.733698604447392	100.0	30.4	4806.695068962487				Single Protein		P62851	5	5	5	5	5	12	12	100.0	0	Doubtful
21	P35269				58.20506404990556	68.09	6.19	412.15316478276225				Single Protein		P35269	2	2	2	2	2	3	3	100.0	0	Doubtful
22	Q13885				49.87495649939632	54.38	10.56	548.282470827874	Oxidation of M(M164, M170, M257, M267)	Oxidation of M(4)		Related Proteins	Q9BUF5, Q9BVA1	Q13885, Q9BUF5, Q9BVA1	5	5	1	1	1	9	10	100.0	0	Doubtful
23	Q13144				80.32930944087201	49.1	1.66	156.67466195509112				Single Protein		Q13144	1	1	1	1	1	1	1	100.0	0	Doubtful
24	P43243				94.56479778685481	68.48	1.65	275.18196265194956				Single Protein		P43243	1	2	2	1	2	2	3	100.0	0	Doubtful
25	P49848				72.62288258154639	72.38	5.02	290.0095168994397				Single Protein		P49848	2	3	3	2	3	3	4	100.0	0	Doubtful
26	P24534				24.74826223641773	64.89	6.67	474.0829149314675				Single Protein		P24534	1	1	1	1	1	1	1	100.0	0	Doubtful
27	Q5JTH9				143.61109332804048	59.14	1.08	82.13465222780361	Oxidation of M(M601)	Oxidation of M(1)		Single Protein		Q5JTH9	1	1	1	1	1	1	1	100.0	0	Doubtful
28	P84103				19.317903403485968	100.0	8.54	557.9146498888612				Related Proteins	Q16629	P84103, Q16629	1	1	1	1	1	1	1	100.0	0	Doubtful
