	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UKT9				57.98577931559534	85.85	0.0	0.0					Single Protein		Q9UKT9	0	1	1	0	1	0	0	1	6.831683168316827	Doubtful
2	Q9UKT7				48.67567676299151	94.39	0.0	0.0					Single Protein		Q9UKT7	0	1	1	0	1	0	0	1	25.119617224880386	Doubtful
3	Q674R7				100.95506262768923	51.3	0.0	0.0					Single Protein		Q674R7	0	1	1	0	1	0	0	1	22.63556116015133	Doubtful
4	P16581				66.6107961526438	48.36	0.0	0.0					Single Protein		P16581	0	1	1	0	1	0	0	1	25.119617224880386	Doubtful
5	Q9UKU0				77.70195341816147	78.34	0.0	0.0					Single Protein		Q9UKU0	0	1	1	0	1	0	0	1	6.831683168316827	Doubtful
6	NM_004956_5	Homo sapiens ets variant 1 (ETV1), mRNA|ETV1|frame-2			6.924358465806413	100.0	0.0	0.0					Single Protein		NM_004956_5	0	1	1	0	1	0	0	1	25.119617224880386	Doubtful
7	Q9H4L7				117.32797618478314	70.57	0.0	0.0					Single Protein		Q9H4L7	0	2	2	0	2	0	0	5	50.896057347670244	Doubtful
8	Q9UL68				132.95945472010249	77.4	0.0	0.0					Single Protein		Q9UL68	0	1	1	0	1	0	0	1	6.831683168316827	Doubtful
9	NM_001142605_4	Homo sapiens elongation factor Tu GTP binding domain containing 2 (EFTUD2), transcript variant 2, mRNA|EFTUD2|frame-1			8.06128859964633	100.0	0.0	0.0					Related Proteins	NM_004247_4	NM_001142605_4, NM_004247_4	0	1	1	0	1	0	0	1	23.684210526315784	Doubtful
10	NM_004956_9	Homo sapiens ets variant 1 (ETV1), mRNA|ETV1|frame-3			5.105610870240951	100.0	0.0	0.0					Single Protein		NM_004956_9	0	1	1	0	1	0	0	1	6.831683168316827	Doubtful
11	NM_139032_1	Homo sapiens mitogen-activated protein kinase 7 (MAPK7), transcript variant 2, mRNA|MAPK7|frame-1			7.8410122690136514	100.0	0.0	0.0					Single Protein		NM_139032_1	0	1	1	0	1	0	0	1	6.831683168316827	Doubtful
12	B2MG_HUMAN				13.705910892344157	100.0	8.4	377.6999102501138					Related Proteins	P61769	B2MG_HUMAN, P61769	1	1	1	1	1	1	2	2	64.08977556109726	Doubtful
