	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q14974				97.1080146943779	54.11	4.0	242.5658332872355					Single Protein		Q14974	3	4	4	3	4	3	5	7	100.0	Confident
2	O94776				74.97573718107209	83.08	1.65	75.71345888078304					Single Protein		O94776	1	1	1	1	1	1	1	2	100.0	Doubtful
3	Q9UJX2				68.78999026641262	75.38	1.84	163.88780902638186					Single Protein		Q9UJX2	1	2	2	1	2	1	2	3	100.0	Doubtful
4	Q9UJX6				93.76884007973463	65.82	1.82	66.4827904540983					Single Protein		Q9UJX6	1	5	5	1	5	1	1	5	100.0	Doubtful
5	Q9UJX3				66.81284269657043	67.11	7.35	365.6341205529513					Single Protein		Q9UJX3	4	4	4	4	4	4	8	8	100.0	Confident
6	Q9Y5B9				119.83841950983168	77.84	4.11	153.98552898701365					Single Protein		Q9Y5B9	3	4	4	3	4	3	5	8	100.0	Confident
7	O75607				19.33140122125653	66.85	23.6	2849.474247667028					Single Protein		O75607	4	6	6	4	6	4	14	20	100.0	Confident
8	P08107				70.00903707472403	63.18	4.37	118.67005860848118					Single Protein		P08107	2	2	1	1	1	1	3	3	100.0	Confident
9	Q8WVC0				75.35929358700905	74.92	1.95	82.98304822984373					Single Protein		Q8WVC0	1	3	3	1	3	1	1	3	100.0	Doubtful
10	P29692				31.10278320777167	73.67	20.28	597.7141979259919					Single Protein		P29692	4	5	5	4	5	4	7	8	100.0	Confident
11	Q14839				217.86707363306158	70.76	1.46	35.25757591046316					Single Protein		Q14839	2	5	4	1	5	2	2	5	100.0	Confident
12	Q99733				42.79689085890892	60.8	12.0	553.554593629894					Single Protein		Q99733	3	4	3	2	3	2	10	12	100.0	Confident
13	Q7KZ85				198.94859833835187	68.66	6.72	165.0985329049752					Single Protein		Q7KZ85	9	13	13	9	13	9	17	25	100.0	Confident
14	P55884				92.42381998346609	68.8	10.69	386.16995965566485					Single Protein		P55884	8	9	9	8	9	8	15	15	100.0	Confident
15	P67870				24.926002234218686	58.6	19.53	1344.7025769972402					Single Protein		P67870	4	4	4	4	4	4	10	10	100.0	Confident
16	Q9Y383				46.485591345862105	94.13	13.52	510.26107003371254					Single Protein		Q9Y383	5	5	5	5	5	5	9	9	100.0	Confident
17	Q9H1A4				216.36140239937532	52.21	1.08	117.798125775208					Single Protein		Q9H1A4	2	6	6	2	6	2	5	10	100.0	Confident
18	Q9UHX1				59.83762419975925	49.37	22.36	710.0300489925853					Single Protein		Q9UHX1	11	11	11	11	11	11	21	24	100.0	Confident
19	Q13428				152.0153228971003	62.84	0.67	38.460657114083745					Single Protein		Q13428	1	5	5	1	5	1	1	52	100.0	Doubtful
20	Q14764				99.26593385219739	71.56	13.89	294.5200719616006					Single Protein		Q14764	10	12	12	10	12	10	16	17	100.0	Confident
21	Q96EB6				81.62996063239343	56.49	1.34	74.00103816296242					Single Protein		Q96EB6	1	1	1	1	1	1	1	2	100.0	Doubtful
22	P26368				53.46719107479492	56.21	11.16	783.5935932554157					Single Protein		P26368	4	5	5	4	5	4	10	16	100.0	Confident
23	Q12888				213.4426880477534	57.0	1.22	56.032590364371536					Single Protein		Q12888	2	4	4	2	4	2	3	5	100.0	Confident
24	P53999				14.386410160891673	100.0	19.69	1683.183718425806					Single Protein		P53999	3	7	7	3	7	3	8	13	100.0	Confident
25	Q7L014				117.28950353817042	94.18	9.31	206.95487280636422					Single Protein		Q7L014	9	14	14	9	14	9	14	20	100.0	Confident
26	O00303				37.54015144837793	48.74	13.17	756.8626295446091					Single Protein		O00303	4	5	5	4	5	4	7	8	100.0	Confident
27	Q15061				74.84343669575311	64.84	3.84	230.1841337832851					Single Protein		Q15061	2	2	2	2	2	2	4	4	100.0	Confident
28	Q6P1J9				60.539082875418735	91.15	2.26	172.52972739312142					Single Protein		Q6P1J9	1	2	2	1	2	1	2	3	100.0	Doubtful
29	P63272				13.184505988631264	76.92	21.37	1174.5292980224035					Single Protein		P63272	2	2	2	2	2	2	4	4	100.0	Confident
30	Q96DE5				11.659727680459028	71.82	13.64	579.8309192768827					Single Protein		Q96DE5	1	1	1	1	1	1	1	1	100.0	Doubtful
31	P08621				51.52583342220536	85.58	4.81	342.6930869541676					Single Protein		P08621	2	6	6	2	6	2	5	10	100.0	Confident
32	Q92769				55.32878850409551	66.39	3.69	216.0690689758195					Single Protein		Q92769	1	1	1	1	1	1	2	2	100.0	Doubtful
33	Q96ST3				145.08458909267398	68.34	0.79	44.864488367163304					Single Protein		Q96ST3	1	3	3	1	3	1	1	4	100.0	Doubtful
34	P68363				50.119604615111854	68.51	8.87	161.7938042020565					Related Proteins	P68366, Q9BQE3, Q9H853, Q9NY65	P68363, P68366, Q9BQE3, Q9H853, Q9NY65	4	4	0	0	0	0	7	7	100.0	Confident
35	Q09028				47.62607244173164	35.76	5.18	680.2966726169366					Single Protein		Q09028	2	3	3	2	3	2	4	5	100.0	Confident
36	Q05519				53.51017747060485	75.62	10.54	479.75991818128233					Single Protein		Q05519	4	5	5	4	5	4	7	13	100.0	Confident
37	O75821				35.58892028308548	67.5	7.81	357.86439549120104					Single Protein		O75821	2	2	2	2	2	2	3	3	100.0	Confident
38	O00267				120.92451292711081	72.03	12.42	282.65568604809005					Single Protein		O00267	11	14	14	11	14	11	19	30	100.0	Confident
39	Q8WXX5				29.891093536494292	100.0	15.38	690.0359625881622					Single Protein		Q8WXX5	4	5	5	4	5	4	8	8	100.0	Confident
40	P68363				50.119604615111854	68.51	17.74	553.9507019548872					Related Proteins	Q13748, Q6PEY2, Q71U36, Q9BQE3	P68363, Q13748, Q6PEY2, Q71U36, Q9BQE3	6	6	0	0	0	0	13	13	100.0	Confident
41	O43707				104.78847372042017	83.1	1.32	27.462015960955476					Related Proteins	P12814	O43707, P12814	1	1	0	0	1	1	1	1	100.0	Doubtful
42	P47914				17.741061105772797	100.0	14.47	1440.4604598387966					Single Protein		P47914	2	2	2	2	2	2	6	6	100.0	Confident
43	P68104				50.10910826932214	55.63	4.55	353.2645960632936					Related Proteins	Q05639, Q5VTE0	P68104, Q05639, Q5VTE0	2	4	4	2	4	2	4	7	100.0	Confident
44	P21333				280.56387321173065	61.73	3.78	93.1328207420654					Single Protein		P21333	8	16	15	8	16	8	11	31	100.0	Confident
45	O95197				112.54142600660994	58.62	1.07	64.60739439051302					Single Protein		O95197	1	1	1	1	1	1	1	1	100.0	Doubtful
46	P43243				94.56479778685481	75.56	3.19	103.32325403655732					Single Protein		P43243	2	5	5	2	5	2	2	5	100.0	Confident
47	P55209				45.345933698967606	50.13	16.11	502.331260033686					Single Protein		P55209	4	7	6	3	6	3	11	15	100.0	Confident
48	P61289				29.48755907553688	84.65	5.91	426.1083034685929					Single Protein		P61289	1	2	2	1	2	1	2	3	100.0	Doubtful
49	O95232				51.43513205959727	100.0	5.32	265.08473740088965					Single Protein		O95232	2	3	3	2	3	2	3	6	100.0	Confident
50	P19784				41.18712468290364	85.14	6.29	392.6283653389178					Single Protein		P19784	2	4	2	2	2	2	4	6	100.0	Confident
51	Q14152				166.46831430287327	95.8	14.54	199.60409892736087					Single Protein		Q14152	19	33	33	19	33	19	32	56	100.0	Confident
52	Q9UBQ5				25.04344000339325	71.56	11.47	767.7090942381074					Single Protein		Q9UBQ5	2	2	2	2	2	2	4	4	100.0	Confident
53	B5ME19				105.40676263426224	67.4	13.57	298.09468819395374					Related Proteins	Q99613	B5ME19, Q99613	12	13	13	12	13	12	21	23	100.0	Confident
54	P45973				22.21105414121603	100.0	6.81	239.82535404645935					Single Protein		P45973	1	1	1	1	1	1	1	1	100.0	Doubtful
55	P07437				49.63897134453148	54.5	9.91	763.4440437145623					Single Protein		P07437	4	5	5	4	5	4	9	9	100.0	Confident
56	P15880				31.304595167946374	92.83	7.85	469.00999272566963					Single Protein		P15880	2	3	3	2	3	2	4	6	100.0	Confident
57	P55081				51.92662720866848	83.6	2.96	104.34314948262809					Single Protein		P55081	1	4	4	1	4	1	1	4	100.0	Doubtful
58	P19338				76.568358644663	76.06	36.76	1577.5598202522838					Single Protein		P19338	34	43	43	34	43	34	148	185	100.0	Confident
59	Q9P267				159.7948084076276	44.31	0.6	106.65108876105643					Single Protein		Q9P267	1	2	2	1	2	1	2	7	94.44444444444444	Doubtful
60	Q6P2E9				151.56668281413428	51.03	1.14	97.35737008049678					Single Protein		Q6P2E9	1	3	3	1	3	1	2	7	100.0	Doubtful
61	Q12962				21.697857413361827	39.45	6.42	825.344912123851					Single Protein		Q12962	1	1	1	1	1	1	2	2	100.0	Doubtful
62	P62854				13.00708428950836	100.0	7.83	398.3186315032499					Related Proteins	Q5JNZ5	P62854, Q5JNZ5	1	1	1	1	1	1	1	1	100.0	Doubtful
63	P62316				13.518226785859794	100.0	15.25	388.1918866345232					Single Protein		P62316	1	1	1	1	1	1	1	1	100.0	Doubtful
