	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	A4UVK0	High Incidence of Males (Increased X chromosome loss) (A4UVK0_CAEEL)	him-4	X	23.48090519871753	62.74	4.25	83.71032753374799				Related Proteins	G5ED27, G5EDG4, G5EG33	A4UVK0, G5ED27, G5EDG4, G5EG33	1	1	1	1	1	1	1	55.55555555555556	0	Doubtful
2	Y71D11A.1_5	ref_frame-1|Y71D11A.1alt_frame-2			4.62362301295417	100.0	0.0	0.0				Single Protein		Y71D11A.1_5	0	1	1	0	1	0	1	0.0	0	Doubtful
3	R13A5.9_6	ref_frame-3|R13A5.9alt_frame-2			10.952759079000115	68.04	0.0	0.0				Single Protein		R13A5.9_6	0	1	1	0	1	0	2	0.0	0	Doubtful
4	T01B11.7.1_1	ref_frame-2|T01B11.7alt_frame-1			5.166507717182119	100.0	0.0	0.0				Single Protein		T01B11.7.1_1	0	1	1	0	1	0	1	44.99999999999999	0	Doubtful
5	Y46B2A.1_1	ref_frame-3|Y46B2A.1alt_frame-1			6.405305124793942	100.0	0.0	0.0				Single Protein		Y46B2A.1_1	0	1	1	0	1	0	1	0.0	0	Doubtful
6	Q09651	Coiled-coil domain-containing protein 130 homolog (CC130_CAEEL)	ZK1307.9	II	42.113897744546875	89.16	0.0	0.0				Single Protein		Q09651	0	1	1	0	1	0	1	0.0	0	Doubtful
7	Q22866	Tropomyosin isoforms a/b/d/f (TPM1_CAEEL)	lev-11	I	32.983654759429804	100.0	0.0	0.0				Related Proteins	A0A0K3AQT4, A0A0K3ARC0, A0A0K3ATS1, A0A0K3AUC2, A0A0K3AWP0, K8FDX2, Y105E8B.1b.3_4	A0A0K3AQT4, A0A0K3ARC0, A0A0K3ATS1, A0A0K3AUC2, A0A0K3AWP0, K8FDX2, Q22866, Y105E8B.1b.3_4	0	1	0	0	0	1	2	33.333333333333336	0	Doubtful
8	K06A1.4.1_2_REVERSED	ref_frame-2|K06A1.4alt_frame-3-REVERSED			5.499715026803371	100.0	0.0	0.0				Single Protein		K06A1.4.1_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
9	O62452_REVERSED	Uncharacterized protein (O62452_REVERSED_CAEEL)-REVERSED			36.70619098615791	91.69	0.0	0.0				Single Protein		O62452_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
10	ZK617.1e.1_22	ref_frame-1|ZK617.1alt_frame-2			37.42378376707574	76.0	0.0	0.0				Single Protein		ZK617.1e.1_22	0	1	1	0	1	0	1	0.0	0	Doubtful
11	O01686_REVERSED	Oxysterol-binding protein (O01686_REVERSED_CAEEL)-REVERSED			76.60922893678895	71.75	0.0	0.0				Related Proteins	Q8I7N6_REVERSED	O01686_REVERSED, Q8I7N6_REVERSED	0	1	1	0	1	0	1	34.78260869565217	1	Doubtful
12	C6KRI9_REVERSED	Uncharacterized protein (C6KRI9_REVERSED_CAEEL)-REVERSED			263.9990871533381	86.09	0.0	0.0				Related Proteins	Q22847_REVERSED, X5M5W2_REVERSED, X5M900_REVERSED	C6KRI9_REVERSED, Q22847_REVERSED, X5M5W2_REVERSED, X5M900_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
13	T10B11.5_1_REVERSED	ref_frame-2|T10B11.5alt_frame-3-REVERSED			6.823516163106004	100.0	0.0	0.0				Single Protein		T10B11.5_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
14	G5EF00	GLoBin related (G5EF00_CAEEL)	glb-30	III	31.04669743701194	90.07	0.0	0.0				Single Protein		G5EF00	0	1	1	0	1	1	2	17.647058823529417	0	Doubtful
15	P52554_REVERSED	Probable prefoldin subunit 6 (PFD6_CAEEL)-REVERSED			14.727427076102735	100.0	0.0	0.0				Single Protein		P52554_REVERSED	0	1	1	0	1	2	2	34.78260869565217	1	Doubtful
16	Q17474	Uncharacterized protein (Q17474_CAEEL)	B0334.3	II	69.10873969082684	78.23	40.54	270.5175998269702	Oxidation of M(M72, M466)	Oxidation of M(2)		Related Proteins	Q17475	Q17474, Q17475	22	23	23	22	23	73	73	100.0	0	Confident
