	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_001042632_2	Homo sapiens sorting nexin family member 21 (SNX21), transcript variant 3, mRNA|SNX21|frame-2			20.59898450772477	75.0	0.0	0.0					Related Proteins	NM_001042633_2, Q969T3	NM_001042632_2, NM_001042633_2, Q969T3	0	1	1	0	1	0	0	1	0.0	Doubtful
2	NM_018448_1	Homo sapiens cullin-associated and neddylation-dissociated 1 (CAND1), mRNA|CAND1|frame-1			5.588149109918073	100.0	0.0	0.0					Single Protein		NM_018448_1	0	1	1	0	1	0	0	1	0.0	Doubtful
3	NM_002283_4	Homo sapiens keratin 85 (KRT85), mRNA|KRT85|frame-2			6.283897888773131	100.0	0.0	0.0					Single Protein		NM_002283_4	0	1	1	0	1	0	0	1	0.0	Doubtful
4	Q6YHU6				219.46505332386198	78.29	0.0	0.0					Single Protein		Q6YHU6	0	1	1	0	1	0	0	1	0.0	Doubtful
5	NM_004956_8	Homo sapiens ets variant 1 (ETV1), mRNA|ETV1|frame-2			10.903526821971546	67.37	0.0	0.0					Single Protein		NM_004956_8	0	1	1	0	1	0	0	1	0.0	Doubtful
6	O14544				59.49063106909095	83.74	0.0	0.0					Single Protein		O14544	0	1	1	0	1	0	0	2	0.0	Doubtful
7	Q9NXC2				43.12996478188238	75.64	0.0	0.0					Single Protein		Q9NXC2	0	1	1	0	1	0	0	2	0.0	Doubtful
8	P30876				133.81068609894038	81.01	0.0	0.0					Single Protein		P30876	0	1	1	0	1	0	0	1	0.0	Doubtful
9	NM_139032_1	Homo sapiens mitogen-activated protein kinase 7 (MAPK7), transcript variant 2, mRNA|MAPK7|frame-1			7.8410122690136514	100.0	0.0	0.0					Single Protein		NM_139032_1	0	1	1	0	1	0	0	2	0.0	Doubtful
10	Q7Z4N2				182.0622402206764	86.53	0.0	0.0					Single Protein		Q7Z4N2	0	2	2	0	2	0	0	3	0.0	Doubtful
11	NM_001143944_1	Homo sapiens LEM domain containing 2 (LEMD2), transcript variant 2, mRNA|LEMD2|frame-2			8.956297965178242	100.0	0.0	0.0					Related Proteins	NM_181336_2	NM_001143944_1, NM_181336_2	0	1	1	0	1	0	0	5	0.0	Doubtful
12	NM_000924_6	Homo sapiens phosphodiesterase 1B, calmodulin-dependent (PDE1B), mRNA|PDE1B|frame-1			7.282727295154393	100.0	0.0	0.0					Single Protein		NM_000924_6	0	1	1	0	1	0	0	1	0.0	Doubtful
13	P42858				347.38278202173234	70.31	0.0	0.0					Single Protein		P42858	0	1	1	0	1	0	0	1	0.0	Doubtful
14	Q96QZ7				164.48081035871195	72.23	0.0	0.0					Single Protein		Q96QZ7	0	1	1	0	1	0	0	1	0.0	Doubtful
15	NM_001003794_6	Homo sapiens monoglyceride lipase (MGLL), transcript variant 2, mRNA|MGLL|frame-3			18.42328241449043	78.7	0.0	0.0					Related Proteins	NM_007283_7	NM_001003794_6, NM_007283_7	0	1	1	0	1	0	0	1	0.0	Doubtful
16	Q9UKV3				151.77079068994243	88.44	0.0	0.0					Single Protein		Q9UKV3	0	2	2	0	2	0	0	3	0.0	Doubtful
17	NM_031271_1	Homo sapiens testis expressed 15 (TEX15), mRNA|TEX15|frame-2			6.43556064113544	100.0	0.0	0.0					Single Protein		NM_031271_1	0	1	1	0	1	0	0	1	0.0	Doubtful
18	NM_003170_1	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			16.214753872110023	100.0	0.0	0.0					Single Protein		NM_003170_1	0	1	1	0	1	0	0	1	0.0	Doubtful
19	NM_003170_2	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			4.913436760878631	100.0	0.0	0.0					Single Protein		NM_003170_2	0	1	1	0	1	0	0	1	0.0	Doubtful
20	Q96QZ0				44.65449798327014	64.03	0.0	0.0					Single Protein		Q96QZ0	0	1	1	0	1	0	0	1	0.0	Doubtful
21	NM_023073_3	Homo sapiens chromosome 5 open reading frame 42 (C5orf42), mRNA|C5orf42|frame-1			5.19064793321972	100.0	0.0	0.0					Single Protein		NM_023073_3	0	1	1	0	1	0	0	1	0.0	Doubtful
22	NM_001263_2	Homo sapiens CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1 (CDS1), mRNA|CDS1|frame-3			13.387232537752967	100.0	0.0	0.0					Single Protein		NM_001263_2	0	1	1	0	1	0	0	1	0.0	Doubtful
23	NM_001263_1	Homo sapiens CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1 (CDS1), mRNA|CDS1|frame-2			5.9951725261694	100.0	0.0	0.0					Single Protein		NM_001263_1	0	1	1	0	1	0	0	1	0.0	Doubtful
24	O14569				23.958059641430484	44.14	0.0	0.0					Single Protein		O14569	0	1	1	0	1	0	0	4	0.0	Doubtful
25	NM_182642_1	Homo sapiens CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 (CTDSP1), transcript variant 2, mRNA|CTDSP1|frame-2			6.770339570323388	100.0	0.0	0.0					Single Protein		NM_182642_1	0	1	1	0	1	0	0	1	0.0	Doubtful
26	NM_001931_2	Homo sapiens dihydrolipoamide S-acetyltransferase (DLAT), mRNA|DLAT|frame-1			11.69885935954714	66.67	0.0	0.0					Single Protein		NM_001931_2	0	1	1	0	1	0	0	1	0.0	Doubtful
27	Q496H8				17.773978872931224	44.85	0.0	0.0					Single Protein		Q496H8	0	1	1	0	1	0	0	1	0.0	Doubtful
28	Q13702				46.298093681967984	100.0	0.0	0.0					Single Protein		Q13702	0	1	1	0	1	0	0	1	0.0	Doubtful
29	NM_000188_2	Homo sapiens hexokinase 1 (HK1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA|HK1|frame-1			4.48812488792066	100.0	0.0	0.0					Related Proteins	NM_033496_2, NM_033497_2, NM_033498_3, NM_033500_3	NM_000188_2, NM_033496_2, NM_033497_2, NM_033498_3, NM_033500_3	0	1	1	0	1	0	0	2	0.0	Doubtful
30	Q86XA9				221.86276015291375	75.74	0.0	0.0					Single Protein		Q86XA9	0	3	3	0	3	0	0	3	0.0	Doubtful
31	NM_002836_1	Homo sapiens protein tyrosine phosphatase, receptor type, A (PTPRA), transcript variant 1, mRNA|PTPRA|frame-3			19.724196810511277	83.63	0.0	0.0					Related Proteins	Q9H269	NM_002836_1, Q9H269	0	1	0	0	0	0	0	4	0.0	Doubtful
32	Q13705				57.68670823410009	77.54	0.0	0.0					Single Protein		Q13705	0	1	1	0	1	0	0	1	0.0	Doubtful
33	NM_000911_2	Homo sapiens opioid receptor, delta 1 (OPRD1), mRNA|OPRD1|frame-1			25.766435544521574	73.77	0.0	0.0					Single Protein		NM_000911_2	0	1	1	0	1	0	0	4	0.0	Doubtful
34	P82094				122.76667867998316	86.28	0.0	0.0					Single Protein		P82094	0	1	1	0	1	0	0	1	0.0	Doubtful
35	NM_001099666_1	Homo sapiens protein prenyltransferase alpha subunit repeat containing 1 (PTAR1), mRNA|PTAR1|frame-1			4.957399482530631	100.0	0.0	0.0					Single Protein		NM_001099666_1	0	1	1	0	1	0	0	1	0.0	Doubtful
36	NM_001130852_1	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence c (CBLC), transcript variant 2, mRNA|CBLC|frame-3			14.81585125914157	100.0	0.0	0.0					Related Proteins	NM_012116_1	NM_001130852_1, NM_012116_1	0	1	1	0	1	0	0	2	0.0	Doubtful
37	Q9UKX2				222.90603896443594	93.66	0.0	0.0					Single Protein		Q9UKX2	0	1	1	0	1	0	0	1	0.0	Doubtful
38	O14578				231.28581307218153	90.73	0.0	0.0					Single Protein		O14578	0	1	1	0	1	0	0	1	0.0	Doubtful
39	Q9NXF1				105.60761109247318	74.7	0.0	0.0					Single Protein		Q9NXF1	0	1	1	0	1	0	0	1	0.0	Doubtful
40	Q8WXG6				183.18815811741567	69.95	0.0	0.0					Single Protein		Q8WXG6	0	1	1	0	1	0	0	1	0.0	Doubtful
41	Q92538				206.3146113362693	71.17	0.0	0.0					Single Protein		Q92538	0	1	1	0	1	0	0	1	0.0	Doubtful
42	Q9UL12				100.97254130285013	77.12	0.0	0.0					Single Protein		Q9UL12	0	1	1	0	1	0	0	1	0.0	Doubtful
43	NM_012139_2	Homo sapiens secretion regulating guanine nucleotide exchange factor (SERGEF), mRNA|SERGEF|frame-1			13.75207694250234	100.0	0.0	0.0					Single Protein		NM_012139_2	0	1	1	0	1	0	0	1	0.0	Doubtful
44	NM_001042549_3	Homo sapiens NSL1, MIND kinetochore complex component, homolog (S. cerevisiae) (NSL1), transcript variant 2, mRNA|NSL1|frame-3			12.968732632327546	100.0	0.0	0.0					Related Proteins	Q96IY1	NM_001042549_3, Q96IY1	0	1	1	0	1	0	0	1	0.0	Doubtful
