	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	F56D12.4a.2_4	ref_frame-3|F56D12.4alt_frame-1			22.06252437947449	77.3	0.0	0.0				Single Protein		F56D12.4a.2_4	0	4	4	0	4	0	6	11.949685534591193	0	Doubtful
2	O62514_REVERSED	Uncharacterized protein (O62514_REVERSED_CAEEL)-REVERSED			37.37287226714859	89.94	0.0	0.0				Single Protein		O62514_REVERSED	0	1	1	0	1	0	3	12.990790111488126	1	Doubtful
3	O45431_REVERSED	Uncharacterized protein (O45431_REVERSED_CAEEL)-REVERSED			40.580540326003735	100.0	0.0	0.0				Single Protein		O45431_REVERSED	0	1	1	0	1	0	1	14.806866952789699	1	Doubtful
4	G5EF07	BTAF (TBP-associated factor) homolog (G5EF07_CAEEL)	btf-1	II	185.71621146980925	91.57	0.0	0.0				Single Protein		G5EF07	0	2	2	0	2	0	3	11.949685534591193	0	Doubtful
5	F43G6.5_3	ref_frame-1|F43G6.5alt_frame-3			4.81633996606734	100.0	0.0	0.0				Single Protein		F43G6.5_3	0	1	1	0	1	0	1	14.806866952789699	0	Doubtful
6	Q9TYS1	Uncharacterized protein (Q9TYS1_CAEEL)	CELE_D1037.1		89.6548989764535	94.91	0.0	0.0				Single Protein		Q9TYS1	0	2	2	0	2	0	2	11.949685534591193	0	Doubtful
7	O17013_REVERSED	Nuclear Hormone Receptor family (O17013_REVERSED_CAEEL)-REVERSED			45.0488801479841	91.73	0.0	0.0				Single Protein		O17013_REVERSED	0	1	1	0	1	0	2	12.990790111488126	1	Doubtful
8	T01B11.7.1_2	ref_frame-2|T01B11.7alt_frame-1			6.777090182869901	100.0	0.0	0.0				Single Protein		T01B11.7.1_2	0	1	1	0	1	0	1	14.806866952789699	0	Doubtful
9	R155.2_5_REVERSED	ref_frame-2|R155.2alt_frame-3-REVERSED			6.421325340606305	100.0	0.0	0.0				Single Protein		R155.2_5_REVERSED	0	1	1	0	1	0	2	12.990790111488126	1	Doubtful
10	Q9TYS4	SeMaPhorin related (Q9TYS4_CAEEL)	smp-2	I	71.81613121239266	89.52	0.0	0.0				Single Protein		Q9TYS4	0	1	1	0	1	0	1	14.806866952789699	0	Doubtful
11	F30H5.3_2	ref_frame-1|F30H5.3alt_frame-2			24.81163204416632	78.41	0.0	0.0				Single Protein		F30H5.3_2	0	1	1	0	1	0	1	14.806866952789699	0	Doubtful
12	T23G11.6c_1	ref_frame-3|T23G11.6alt_frame-2			6.832527696682532	100.0	0.0	0.0				Single Protein		T23G11.6c_1	0	1	1	0	1	0	1	14.806866952789699	0	Doubtful
13	Q9U2C5	MIB (MIndBomb) ubiquitin ligase homolog (Q9U2C5_CAEEL)	mib-1	III	85.0630146153722	91.37	0.0	0.0				Single Protein		Q9U2C5	0	2	2	0	2	0	2	11.949685534591193	0	Doubtful
14	Q6BES0	Uncharacterized protein (Q6BES0_CAEEL)	CELE_F16C3.3		45.210565103684324	100.0	0.0	0.0				Single Protein		Q6BES0	0	1	1	0	1	0	1	14.806866952789699	0	Doubtful
15	Q93575_REVERSED	Regulator of telomere elongation helicase 1 homolog (RTEL1_CAEEL)-REVERSED			112.87338902006272	92.86	0.0	0.0				Single Protein		Q93575_REVERSED	0	2	2	0	2	0	14	11.949685534591193	1	Doubtful
16	Q6BES3	TWiK family of potassium channels (Q6BES3_CAEEL)	twk-24	V	67.61582164845007	81.87	0.0	0.0				Single Protein		Q6BES3	0	1	1	0	1	0	2	12.990790111488126	0	Doubtful
17	O01450_REVERSED	Serpentine Receptor, class H (O01450_REVERSED_CAEEL)-REVERSED			38.72386524313435	56.51	0.0	0.0				Single Protein		O01450_REVERSED	0	1	1	0	1	0	1	14.806866952789699	1	Doubtful
18	D3NQ95_REVERSED	Uncharacterized protein (D3NQ95_REVERSED_CAEEL)-REVERSED			40.20735626005093	100.0	0.0	0.0				Related Proteins	D3NQ96_REVERSED, O62456_REVERSED, Q08I44_REVERSED	D3NQ95_REVERSED, D3NQ96_REVERSED, O62456_REVERSED, Q08I44_REVERSED	0	2	2	0	2	0	2	11.949685534591193	1	Doubtful
