	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_002836_1	Homo sapiens protein tyrosine phosphatase, receptor type, A (PTPRA), transcript variant 1, mRNA|PTPRA|frame-3			19.724196810511277	83.63	7.6	71.8008117495266					Related Proteins	Q9H269	NM_002836_1, Q9H269	1	1	1	1	1	1	1	1	100.0	Doubtful
2	O14578				231.28581307218153	88.31	1.48	14.859192887998503					Single Protein		O14578	3	3	3	3	3	3	4	5	100.0	Confident
3	Q06587				42.402766636496466	52.22	2.71	51.15807837153771					Single Protein		Q06587	1	1	1	1	1	1	1	1	100.0	Doubtful
4	P41567				12.724564269882467	78.76	77.88	792.187170270979					Single Protein		P41567	12	12	5	5	5	5	40	41	100.0	Confident
5	P68104				50.10910826932214	60.61	29.0	227.1521384125861					Related Proteins	Q5VTE0	P68104, Q5VTE0	10	11	11	10	11	10	25	26	100.0	Confident
6	P40227				57.987597263605494	77.02	23.54	179.39222449378195					Single Protein		P40227	12	12	12	12	12	12	27	27	100.0	Confident
7	Q9UKS6				48.45682824485858	93.4	8.49	62.74103951226323					Single Protein		Q9UKS6	3	3	3	3	3	3	4	4	100.0	Confident
8	NM_001049_1	Homo sapiens somatostatin receptor 1 (SSTR1), mRNA|SSTR1|frame-2			11.483074759340136	100.0	9.17	112.64164045109221					Single Protein		NM_001049_1	1	1	1	1	1	1	1	2	84.61538461538461	Doubtful
9	Q9Y5V0				8.492447118958246	100.0	14.47	323.10365287286976					Single Protein		Q9Y5V0	1	1	1	1	1	1	2	2	100.0	Doubtful
10	Q8WX92				65.6554114594879	76.21	7.76	83.48377115658906					Single Protein		Q8WX92	4	4	4	4	4	4	6	6	100.0	Confident
11	P46379				119.3339775156768	42.14	1.15	24.312750117166438					Single Protein		P46379	1	2	2	1	2	1	1	2	100.0	Doubtful
12	Q99986				45.44743567821295	85.35	9.34	124.01958393100053					Single Protein		Q99986	3	4	4	3	4	3	7	8	100.0	Confident
13	O14818				27.86961465429308	100.0	11.29	123.76954444726864					Related Proteins	Q8TAA3	O14818, Q8TAA3	2	2	0	0	0	0	6	6	100.0	Confident
14	P17812				66.64798976976122	73.77	2.71	28.160410112773054					Single Protein		P17812	1	1	1	1	1	1	1	1	100.0	Doubtful
