	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q14160				174.77818983141674	62.7	0.8	11.534220690974413					Related Proteins	Q9BTT6	Q14160, Q9BTT6	1	1	1	1	1	1	1	1	100.0	Doubtful
2	P51531				181.16629630031673	66.73	3.46	28.006715731139685					Related Proteins	P51532	P51531, P51532	5	5	0	0	4	4	10	10	100.0	Confident
3	Q9H4L7				117.32797618478314	68.32	1.07	33.71541432746367					Single Protein		Q9H4L7	1	1	1	1	1	1	2	2	100.0	Doubtful
4	P30876				133.81068609894038	70.44	0.94	14.774170323270596					Single Protein		P30876	1	3	3	1	3	1	1	3	100.0	Doubtful
5	P68104				50.10910826932214	55.63	16.67	1029.5069245246539					Related Proteins	Q5VTE0	P68104, Q5VTE0	7	8	8	7	8	7	75	79	100.0	Confident
6	Q9UKS6				48.45682824485858	82.78	2.83	68.2260035211411					Single Protein		Q9UKS6	1	2	2	1	2	1	2	4	100.0	Doubtful
7	Q9Y678				97.65546641266018	85.13	4.12	57.468494810363104					Single Protein		Q9Y678	3	3	3	3	3	3	5	5	100.0	Confident
8	P22090				29.437038446430613	100.0	7.98	164.98759786861498					Related Proteins	P62701, Q8TD47	P22090, P62701, Q8TD47	2	3	3	2	3	2	4	5	100.0	Confident
9	P17844				69.10473382539206	71.5	1.79	27.55030999329888					Single Protein		P17844	1	2	2	1	2	1	1	2	100.0	Doubtful
10	P35659				42.6479204774305	100.0	3.47	77.14086798123687					Single Protein		P35659	1	1	1	1	1	1	2	2	100.0	Doubtful
11	Q9ULG1				176.6431868741989	69.28	4.18	41.28333913368946					Single Protein		Q9ULG1	5	5	5	5	5	5	8	8	100.0	Confident
12	P22314				117.77432920492443	66.92	1.42	15.807554914187884					Single Protein		P22314	1	2	2	1	2	1	1	2	100.0	Doubtful
13	P61964				36.56545229372351	75.75	4.79	86.61025596695757					Single Protein		P61964	1	1	1	1	1	1	2	2	100.0	Doubtful
14	P61978				50.94440274865072	72.14	5.83	75.72729186639745					Single Protein		P61978	2	3	3	2	3	2	3	4	100.0	Confident
15	Q9BUQ8				95.52389390005519	96.22	1.46	18.331955318734995					Single Protein		Q9BUQ8	1	1	1	1	1	1	1	1	100.0	Doubtful
16	Q9NXR7				43.52382822824044	51.17	3.66	97.40008583489504					Single Protein		Q9NXR7	1	1	1	1	1	1	2	2	100.0	Doubtful
17	O75533				145.73809334204142	71.86	11.12	88.38053136171942					Single Protein		O75533	12	16	16	12	16	12	26	34	100.0	Confident
18	Q8WXI9				65.21999528964584	77.91	22.6	148.39966390715298					Single Protein		Q8WXI9	9	9	8	8	8	8	16	18	100.0	Confident
19	O95983				32.82332978686719	76.98	17.87	673.4520220584171					Single Protein		O95983	5	6	6	5	6	5	16	18	100.0	Confident
20	P27348				27.746766754682028	79.59	12.65	206.6273249497416					Single Protein		P27348	2	2	2	2	2	2	4	4	100.0	Confident
21	Q9UK59				61.51626222462637	61.21	2.39	37.27812563526266					Single Protein		Q9UK59	1	1	1	1	1	1	1	1	100.0	Doubtful
22	Q9UJU6				48.177565994735474	76.51	7.21	124.56257177821303					Single Protein		Q9UJU6	3	3	3	3	3	3	4	7	100.0	Confident
23	P53621				138.25788661556308	81.62	3.68	34.936987310342786					Single Protein		P53621	3	5	5	3	5	3	5	7	100.0	Confident
24	Q99873				41.48853521712523	81.99	10.8	164.7029401773303					Single Protein		Q99873	3	4	4	3	4	3	6	7	100.0	Confident
25	O43172				58.412397328058475	77.78	35.25	240.9430442361756					Single Protein		O43172	16	16	16	16	16	16	40	43	100.0	Confident
26	Q9BT78				46.239670820759585	100.0	4.68	71.25080170680745					Single Protein		Q9BT78	1	1	1	1	1	1	2	2	100.0	Doubtful
27	Q9NVU0				79.84740888087364	88.84	5.93	49.851004049913044					Single Protein		Q9NVU0	3	4	4	3	4	3	4	7	100.0	Confident
28	P17980				49.172456381985356	92.48	2.28	71.25080170680745					Single Protein		P17980	1	1	1	1	1	1	2	2	100.0	Doubtful
29	O75691				318.18211801451196	79.96	1.76	31.25642948996632					Single Protein		O75691	4	9	9	4	9	4	10	17	100.0	Confident
30	Q9Y5L0				104.13607397040995	66.85	5.96	51.911755034479725					Single Protein		Q9Y5L0	4	4	4	4	4	4	6	7	100.0	Confident
31	Q14974				97.1080146943779	59.13	14.38	277.134772417263					Single Protein		Q14974	9	10	10	9	10	9	24	29	100.0	Confident
32	P52292				57.82594715606122	57.47	14.18	675.8660799075972					Single Protein		P52292	6	6	6	6	6	6	25	26	100.0	Confident
33	Q14980				238.11522374594037	90.87	3.64	43.915435680989084					Single Protein		Q14980	5	8	8	5	8	5	12	18	100.0	Confident
34	Q9BTC8				67.46099282112604	88.89	3.54	61.13972779309989					Single Protein		Q9BTC8	2	3	2	1	2	1	3	4	100.0	Confident
35	Q9BTC0				243.72319347500863	71.29	0.67	7.132106876963468					Single Protein		Q9BTC0	1	4	4	1	4	1	1	4	100.0	Doubtful
36	O94776				74.97573718107209	83.08	19.61	178.54746667395196					Single Protein		O94776	12	12	12	12	12	12	29	30	100.0	Confident
37	Q9Y5B6				104.7387257924682	75.79	1.74	52.468849140805006					Single Protein		Q9Y5B6	1	1	1	1	1	1	3	3	100.0	Doubtful
38	P08107				70.00903707472403	66.61	8.74	70.77907791888097					Single Protein		P08107	4	6	5	3	5	3	6	9	100.0	Confident
39	P31947				27.75669340650096	79.44	9.68	116.64445763291864					Single Protein		P31947	1	1	1	1	1	1	2	2	100.0	Doubtful
40	P39019				16.050535042458467	100.0	32.41	854.5346151369772					Single Protein		P39019	5	5	5	5	5	5	18	19	100.0	Confident
41	Q07666				48.19718285574685	61.17	5.42	241.06521244136525					Single Protein		Q07666	2	3	3	2	3	2	6	7	100.0	Confident
42	Q9H2J4				27.597078906355936	90.38	5.02	60.5184633744013					Single Protein		Q9H2J4	1	1	1	1	1	1	1	1	100.0	Doubtful
43	Q14839				217.86707363306158	74.22	16.68	87.34292093013904					Single Protein		Q14839	27	31	20	17	20	17	55	68	100.0	Confident
44	Q9BRP1				39.391192868316466	63.13	3.35	50.92927023409124					Single Protein		Q9BRP1	1	1	1	1	1	1	1	1	100.0	Doubtful
45	Q9Y3S2				36.1773072053345	73.13	2.81	100.4438385172355					Single Protein		Q9Y3S2	1	3	3	1	3	1	3	4	100.0	Doubtful
46	Q9UIG0				170.79564570178906	88.6	8.9	42.62326773233949					Single Protein		Q9UIG0	10	10	10	10	10	10	16	16	100.0	Confident
47	Q9NW08				127.70232940852766	71.4	1.24	29.014870103273648					Single Protein		Q9NW08	1	3	3	1	3	1	2	5	100.0	Doubtful
48	O75369				277.9900580055979	69.72	1.81	21.11682358868575					Single Protein		O75369	4	4	4	4	4	4	7	7	100.0	Confident
49	O75340				21.85478539004197	55.5	5.76	91.54375156001211					Single Protein		O75340	1	1	1	1	1	1	1	1	100.0	Doubtful
50	Q02880				183.15245090734805	83.83	5.6	38.46061207980793					Single Protein		Q02880	7	9	7	5	7	5	11	13	100.0	Confident
51	Q13547				55.067726781189066	65.98	6.22	86.5066551823081					Single Protein		Q13547	3	4	3	2	3	2	5	6	100.0	Confident
52	Q13561				44.203856013920735	69.83	4.74	80.57890109460676					Single Protein		Q13561	1	1	1	1	1	1	2	2	100.0	Doubtful
53	P55884				92.42381998346609	68.8	2.83	47.190579923268885					Single Protein		P55884	2	2	2	2	2	2	3	3	100.0	Confident
54	P67870				24.926002234218686	58.6	10.7	164.3626448463854					Single Protein		P67870	2	2	2	2	2	2	3	3	100.0	Confident
55	Q9H1E3				27.280032146451425	90.12	5.35	119.04454935376062					Single Protein		Q9H1E3	1	2	2	1	2	1	2	3	100.0	Doubtful
56	TRY1_BOVIN				25.408419297583514	71.6	22.22	2308.1994091260717					Single Protein		TRY1_BOVIN	4	5	5	4	5	4	36	38	100.0	Confident
57	Q9Y2W2				69.95392019947289	65.37	2.18	61.41788852009305					Single Protein		Q9Y2W2	1	2	2	1	2	1	2	3	100.0	Doubtful
58	Q86U86				192.82522975788433	71.7	0.77	9.934006007199118					Single Protein		Q86U86	1	2	2	1	2	1	1	2	100.0	Doubtful
59	Q9H269				94.63357300099884	74.73	5.01	44.40674966025149					Single Protein		Q9H269	3	3	3	3	3	3	4	4	100.0	Confident
60	P09234				17.381237670978834	37.74	11.32	482.1304248827305					Single Protein		P09234	1	1	1	1	1	1	2	2	100.0	Doubtful
61	P35579				226.39159129111036	95.0	0.82	7.67316326073311					Single Protein		P35579	1	3	3	1	3	1	1	3	100.0	Doubtful
62	O95819				142.01319396481603	72.88	2.1	33.85747365749512					Single Protein		O95819	2	2	2	2	2	2	3	3	100.0	Confident
63	P12814				102.99263258935731	86.66	3.7	74.5213303097429					Single Protein		P12814	3	4	2	1	4	3	10	11	100.0	Confident
64	Q9UHX1				59.83762419975925	57.25	10.91	83.1259353246087					Single Protein		Q9UHX1	3	3	3	3	3	3	4	4	100.0	Confident
65	O75400				108.73657562141065	72.83	4.7	87.848728780641					Single Protein		O75400	5	6	6	5	6	5	11	13	100.0	Confident
66	Q13435				100.16497705202153	66.82	8.83	97.06943012748854					Single Protein		Q13435	8	14	14	8	14	8	18	23	100.0	Confident
67	P54652				69.97786578851715	71.21	9.23	60.58727026349788					Single Protein		P54652	6	6	1	1	1	1	9	10	100.0	Confident
68	Q5H9R7				97.60763515100524	70.79	3.09	43.435173412858596					Single Protein		Q5H9R7	2	3	3	2	3	2	3	4	100.0	Confident
69	Q9HC35				108.84830154620663	67.69	1.33	16.663493947559807					Single Protein		Q9HC35	1	2	2	1	2	1	1	2	100.0	Doubtful
70	Q8WUF8				47.94227539959727	70.91	2.4	77.76297175527911					Single Protein		Q8WUF8	1	1	1	1	1	1	2	2	100.0	Doubtful
71	Q92973				102.28878151877566	52.78	13.7	114.02300553629033					Single Protein		Q92973	10	11	11	10	11	10	20	21	100.0	Confident
72	Q00839				90.52800472977579	66.79	16.73	433.31432531371644					Single Protein		Q00839	13	15	14	13	15	13	52	57	100.0	Confident
73	P49005				51.25698192265667	55.01	8.53	154.0138857264278					Single Protein		P49005	3	3	3	3	3	3	6	6	100.0	Confident
74	O75909				64.19867772065948	42.76	6.21	89.28341201532044					Single Protein		O75909	2	2	2	2	2	2	3	3	100.0	Confident
75	Q12874				58.812256685381016	83.83	4.39	92.32284731796966					Single Protein		Q12874	2	2	2	2	2	2	4	5	100.0	Confident
76	Q9H981				70.4386395660788	74.52	12.02	126.13311115618909					Single Protein		Q9H981	6	7	7	6	7	6	10	11	100.0	Confident
77	P53999				14.386410160891673	100.0	26.77	493.5193325571256					Single Protein		P53999	3	6	6	3	6	3	7	14	100.0	Confident
78	P14314				59.38782109131966	49.62	4.55	90.96800469485481					Single Protein		P14314	2	2	2	2	2	2	3	3	100.0	Confident
79	Q15022				83.00257724716828	63.6	1.35	45.412598890053104					Single Protein		Q15022	1	2	2	1	2	1	2	3	100.0	Doubtful
80	Q15021				157.08244495778328	75.8	1.86	33.48127950574517					Single Protein		Q15021	2	3	3	2	3	2	4	6	100.0	Confident
81	O96019				47.430342193076825	58.74	10.26	132.29188487635895					Single Protein		O96019	2	3	3	2	3	2	4	5	100.0	Confident
82	P31943				49.19840896001632	71.71	3.79	77.34712698653429					Related Proteins	P52597	P31943, P52597	1	1	1	1	1	1	2	2	100.0	Doubtful
83	Q15042				110.45375094207249	72.38	2.96	53.570047209192275					Single Protein		Q15042	2	3	3	2	3	2	5	6	100.0	Confident
84	Q15054				51.36830286036067	79.83	5.36	84.6833298974351					Single Protein		Q15054	2	3	3	2	3	2	3	4	100.0	Confident
85	Q92922				122.79014615865992	62.17	9.14	102.2673330002244					Single Protein		Q92922	7	9	7	5	7	5	16	18	100.0	Confident
86	P46782				22.86205237024959	86.27	11.76	425.4091984259386					Single Protein		P46782	2	3	3	2	3	2	8	8	100.0	Confident
87	Q96F63				38.922670200995725	66.76	3.21	46.808779114828205					Single Protein		Q96F63	1	1	1	1	1	1	1	1	100.0	Doubtful
88	Q9H9B1				141.37665836764882	58.78	1.23	13.722877368578665					Single Protein		Q9H9B1	1	1	1	1	1	1	1	1	100.0	Doubtful
89	P46736				36.049079618583704	82.91	3.8	50.5731214911955					Single Protein		P46736	1	1	1	1	1	1	1	1	100.0	Doubtful
90	A6NMY6				38.63482708398095	92.63	4.72	42.666409281657565					Related Proteins	P07355	A6NMY6, P07355	1	2	2	1	2	1	1	2	100.0	Doubtful
91	Q9BXB4				83.59062600709876	74.7	1.47	23.63384435699659					Single Protein		Q9BXB4	1	1	1	1	1	1	1	1	100.0	Doubtful
