	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9NXB0				64.48739845047574	66.91	0.0	0.0					Single Protein		Q9NXB0	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Q9UL59				70.94595136118284	85.15	0.0	0.0					Single Protein		Q9UL59	0	1	1	0	1	0	0	1	0.0	Doubtful
3	NM_032554_1	Homo sapiens G protein-coupled receptor 81 (GPR81), mRNA|HCAR1|frame-3			5.176586263157461	100.0	0.0	0.0					Single Protein		NM_032554_1	0	1	1	0	1	0	0	1	0.0	Doubtful
4	Q9H4M7				85.34894077619076	80.62	0.0	0.0					Single Protein		Q9H4M7	0	1	1	0	1	0	0	1	0.0	Doubtful
5	NM_012104_2	Homo sapiens beta-site APP-cleaving enzyme 1 (BACE1), transcript variant a, mRNA|BACE1|frame-1			4.592422907845661	100.0	0.0	0.0					Related Proteins	NM_138971_1, NM_138972_2, NM_138973_1	NM_012104_2, NM_138971_1, NM_138972_2, NM_138973_1	0	1	1	0	1	0	0	1	0.0	Doubtful
6	NM_032301_1	Homo sapiens F-box and WD repeat domain containing 9 (FBXW9), mRNA|FBXW9|frame-2			7.537000420505537	100.0	0.0	0.0					Single Protein		NM_032301_1	0	1	1	0	1	0	0	1	0.0	Doubtful
7	NM_014393_1	Homo sapiens staufen, RNA binding protein, homolog 2 (Drosophila) (STAU2), mRNA|STAU2|frame-2			7.845357018091175	100.0	0.0	0.0					Single Protein		NM_014393_1	0	1	1	0	1	0	0	1	0.0	Doubtful
8	Q9H4L5				101.1601397300788	84.55	0.0	0.0					Single Protein		Q9H4L5	0	1	1	0	1	0	0	1	0.0	Doubtful
9	Q9UKU9				57.06843892647828	72.01	0.0	0.0					Single Protein		Q9UKU9	0	1	1	0	1	0	0	1	0.0	Doubtful
10	Q9H4L7				117.32797618478314	70.57	0.0	0.0					Single Protein		Q9H4L7	0	1	1	0	1	0	0	1	0.0	Doubtful
11	NM_001130059_1	Homo sapiens activating transcription factor 7 (ATF7), transcript variant 1, mRNA|ATF7|frame-2			5.903198673027962	100.0	0.0	0.0					Related Proteins	NM_001130060_1	NM_001130059_1, NM_001130060_1	0	1	1	0	1	0	0	2	0.0	Doubtful
12	Q9UKV5				72.94883997627815	48.83	0.0	0.0					Single Protein		Q9UKV5	0	1	1	0	1	0	0	1	0.0	Doubtful
13	NM_001139456_2	Homo sapiens SVOP-like (SVOPL), transcript variant 1, mRNA|SVOPL|frame-3			4.746389967924602	100.0	0.0	0.0					Related Proteins	NM_174959_2	NM_001139456_2, NM_174959_2	0	1	1	0	1	0	0	1	0.0	Doubtful
14	Q96A98				11.195339971334855	100.0	0.0	0.0					Single Protein		Q96A98	0	1	1	0	1	0	0	1	0.0	Doubtful
15	Q96QZ0				44.65449798327014	64.03	0.0	0.0					Single Protein		Q96QZ0	0	1	1	0	1	0	0	1	0.0	Doubtful
16	NM_003313_2	Homo sapiens tissue specific transplantation antigen P35B (TSTA3), mRNA|TSTA3|frame-3			6.432348341908335	100.0	0.0	0.0					Single Protein		NM_003313_2	0	1	1	0	1	0	0	1	0.0	Doubtful
17	Q5BKY9				28.367865857754666	89.88	0.0	0.0					Single Protein		Q5BKY9	0	1	1	0	1	0	0	2	0.0	Doubtful
18	NM_023073_4	Homo sapiens chromosome 5 open reading frame 42 (C5orf42), mRNA|C5orf42|frame-1			7.269849716592583	100.0	0.0	0.0					Single Protein		NM_023073_4	0	1	1	0	1	0	0	2	0.0	Doubtful
19	Q9UKW4				97.71348141546703	78.87	0.0	0.0					Single Protein		Q9UKW4	0	1	1	0	1	0	0	2	0.0	Doubtful
20	NM_004573_2	Homo sapiens phospholipase C, beta 2 (PLCB2), mRNA|PLCB2|frame-3			4.284931867741511	100.0	0.0	0.0					Single Protein		NM_004573_2	0	1	1	0	1	0	0	1	0.0	Doubtful
21	Q9UKW6				31.242876904126916	61.51	0.0	0.0					Single Protein		Q9UKW6	0	2	2	0	2	0	0	2	0.0	Doubtful
22	NM_199039_1	Homo sapiens kelch-like 5 (Drosophila) (KLHL5), transcript variant 2, mRNA|KLHL5|frame-2			4.867566720738652	30.95	0.0	0.0					Single Protein		NM_199039_1	0	1	1	0	1	0	0	2	0.0	Doubtful
23	Q9NXE8				49.61699015371626	92.94	0.0	0.0					Single Protein		Q9NXE8	0	1	1	0	1	0	0	1	0.0	Doubtful
24	Q86XA9				221.86276015291375	68.38	0.0	0.0					Single Protein		Q86XA9	0	1	1	0	1	0	0	1	0.0	Doubtful
25	P82094				122.76667867998316	84.08	0.0	0.0					Single Protein		P82094	0	1	1	0	1	0	0	1	0.0	Doubtful
