	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q93827	Uncharacterized protein (Q93827_CAEEL)	CELE_F58H10.1		13.928316795328772	100.0	0.0	0.0					Single Protein		Q93827	0	1	1	0	1	0	0	1	18.38687628161313	Doubtful
2	F26F12.7_1	ref_frame-2|F26F12.7alt_frame-3			7.494089787425944	100.0	0.0	0.0					Single Protein		F26F12.7_1	0	1	1	0	1	0	0	1	18.38687628161313	Doubtful
3	Q9U2C5	MIB (MIndBomb) ubiquitin ligase homolog (Q9U2C5_CAEEL)	mib-1	III	85.0630146153722	91.37	0.0	0.0					Single Protein		Q9U2C5	0	1	1	0	1	0	0	1	18.38687628161313	Doubtful
4	Q22621	Uncharacterized protein (Q22621_CAEEL)	CELE_T20H4.2		28.002253497311692	100.0	0.0	0.0					Single Protein		Q22621	0	1	1	0	1	0	0	1	18.38687628161313	Doubtful
5	Q09649	FiZzy Related family (Q09649_CAEEL)	fzr-1	II	76.3556796218484	77.07	0.0	0.0					Single Protein		Q09649	0	1	1	0	1	0	0	1	18.38687628161313	Doubtful
6	Q22624	Uncharacterized protein (Q22624_CAEEL)	CELE_T21B10.3		135.44809076651882	84.87	0.0	0.0					Single Protein		Q22624	0	2	2	0	2	0	0	2	17.317487266553478	Doubtful
7	T22B11.4b_3	ref_frame-2|T22B11.4alt_frame-3			9.169346002470368	100.0	0.0	0.0					Single Protein		T22B11.4b_3	0	1	1	0	1	0	0	1	18.38687628161313	Doubtful
8	T22B11.4b_2	ref_frame-2|T22B11.4alt_frame-3			7.977125516779816	100.0	0.0	0.0					Single Protein		T22B11.4b_2	0	1	1	0	1	0	0	1	18.38687628161313	Doubtful
9	G5EEN3	CED-5 (G5EEN3_CAEEL)	ced-5	IV	203.67301790841435	94.05	0.0	0.0					Single Protein		G5EEN3	0	2	2	0	2	0	0	4	17.317487266553478	Doubtful
10	P48166	Ribosomal protein rpl-41 (RL44_CAEEL)	rpl-41	II	12.358713545584092	100.0	0.0	0.0					Single Protein		P48166	0	1	1	0	1	0	0	1	18.38687628161313	Doubtful
