	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	T23B12.4_2	ref_frame-2|T23B12.4alt_frame-3			12.132484188663911	52.94	0.0	0.0					Single Protein		T23B12.4_2	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
2	T28B8.1.2_3	ref_frame-2|T28B8.1alt_frame-3			4.6854181671762705	100.0	0.0	0.0					Single Protein		T28B8.1.2_3	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
3	Q09653	Putative cytochrome P450 CYP13A10 (C13AA_CAEEL)	cyp-13A10	II	59.978821481856976	92.1	0.0	0.0					Single Protein		Q09653	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
4	G4S5K3	Uncharacterized protein (G4S5K3_CAEEL)	C46A5.5	IV	38.478124144076816	89.85	0.0	0.0					Related Proteins	Q18649	G4S5K3, Q18649	0	2	2	0	2	0	0	2	11.042600896860987	Doubtful
5	F30H5.3_9	ref_frame-1|F30H5.3alt_frame-3			6.372358237885696	100.0	0.0	0.0					Single Protein		F30H5.3_9	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
6	Q9U2C4	Probable N-acetylgalactosaminyltransferase 9 (GALT9_CAEEL)	gly-9	III	66.38740306859073	92.06	0.0	0.0					Single Protein		Q9U2C4	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
7	Q22624	Uncharacterized protein (Q22624_CAEEL)	CELE_T21B10.3		135.44809076651882	84.87	0.0	0.0					Single Protein		Q22624	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
8	Q9U2C2	Yeast MCM (Licensing factor) related (Q9U2C2_CAEEL)	mcm-10	III	76.00488773533279	94.79	0.0	0.0					Single Protein		Q9U2C2	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
9	F40H6.4_1	ref_frame-1|F40H6.4alt_frame-2			9.549743105023014	100.0	0.0	0.0					Single Protein		F40H6.4_1	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
10	Q10655	Transcription factor elt-2 (ELT2_CAEEL)	elt-2	X	47.08649762558481	60.97	0.0	0.0					Single Protein		Q10655	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
11	ZK673.3_3	ref_frame-2|ZK673.3alt_frame-3			5.115869231797131	100.0	0.0	0.0					Single Protein		ZK673.3_3	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
12	Q9U2D2	Caenorhabditis KU (Q9U2D2_CAEEL)	cku-70	III	77.83496218554711	94.99	0.0	0.0					Single Protein		Q9U2D2	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
13	F36H12.5_2	ref_frame-1|F36H12.5alt_frame-2			7.017990312251984	100.0	0.0	0.0					Single Protein		F36H12.5_2	0	2	2	0	2	0	0	2	11.042600896860987	Doubtful
14	T09A5.3_2	ref_frame-2|T09A5.3alt_frame-3			7.884219700267805	100.0	0.0	0.0					Single Protein		T09A5.3_2	0	1	1	0	1	0	0	4	10.684580934101085	Doubtful
15	Q6BET0	Ligand-Gated ion Channel (Q6BET0_CAEEL)	lgc-36	V	62.348016689574756	93.84	0.0	0.0					Single Protein		Q6BET0	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
16	Q6BET5	RNA interference defective protein 11 (RDE11_CAEEL)	rde-11	IV	36.39199175235579	66.77	0.0	0.0					Single Protein		Q6BET5	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
17	G5EEQ5	REF-1 (G5EEQ5_CAEEL)	ref-1	II	41.69407793652308	76.29	0.0	0.0					Single Protein		G5EEQ5	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
18	G5EEQ9	Probable ergosterol biosynthetic protein 28 homolog (ERG28_CAEEL)	erg-28	V	18.529532214854967	63.58	0.0	0.0					Single Protein		G5EEQ9	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
19	O01253	C-type LECtin (O01253_CAEEL)	clec-183	IV	23.644960030666315	84.72	0.0	0.0					Single Protein		O01253	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
20	Q9TZ74	Uncharacterized protein (Q9TZ74_CAEEL)	CELE_F40G9.14		29.82709852050059	100.0	0.0	0.0					Single Protein		Q9TZ74	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
21	Q09622	Pumilio domain-containing protein 12 (PUF12_CAEEL)	puf-12	II	86.90065073781237	95.82	0.0	0.0					Single Protein		Q09622	0	3	3	0	3	0	0	4	11.042600896860987	Doubtful
22	P54889	Probable delta-1-pyrroline-5-carboxylate synthase (ALH13_CAEEL)	alh-13	X	86.63976651188938	81.05	0.0	0.0					Single Protein		P54889	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
23	C7IVS4	DNA polymerase (C7IVS4_CAEEL)	pola-1		164.62238697946276	90.73	0.0	0.0					Related Proteins	Q9NAH1	C7IVS4, Q9NAH1	0	1	1	0	1	0	0	1	10.684580934101085	Doubtful
24	Q9TYV5	NucleOLar protein (Q9TYV5_CAEEL)	nol-1	II	73.85921008030454	82.23	0.0	0.0					Single Protein		Q9TYV5	0	1	1	0	1	0	0	2	10.684580934101085	Doubtful
