	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_005188_1	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA|CBL|frame-2			14.877910529472706	66.42	0.0	0.0					Single Protein		NM_005188_1	0	1	1	0	1	0	0	1	0.0	Doubtful
2	NM_018052_1	Homo sapiens Vac14 homolog (S. cerevisiae) (VAC14), mRNA|VAC14|frame-2			6.335976991040972	100.0	0.0	0.0					Single Protein		NM_018052_1	0	1	1	0	1	0	0	1	100.0	Doubtful
3	Q8WXC6				6.206754765612963	36.84	35.09	957.010469741106					Single Protein		Q8WXC6	1	1	1	1	1	1	2	2	100.0	Doubtful
4	NM_001136154_7	Homo sapiens v-ets erythroblastosis virus E26 oncogene homolog (avian) (ERG), transcript variant 3, mRNA|ERG|frame-3			5.184714926341581	100.0	0.0	0.0					Related Proteins	NM_001136155_6, NM_004449_7, NM_182918_6	NM_001136154_7, NM_001136155_6, NM_004449_7, NM_182918_6	0	1	1	0	1	0	0	1	0.0	Doubtful
5	A6NKQ9				20.454389622801447	100.0	0.0	0.0					Related Proteins	P01233, Q6NT52	A6NKQ9, P01233, Q6NT52	0	1	1	0	1	0	0	1	0.0	Doubtful
6	NM_000136_1	Homo sapiens Fanconi anemia, complementation group C (FANCC), mRNA|FANCC|frame-3			7.352739950929731	100.0	0.0	0.0					Single Protein		NM_000136_1	0	1	1	0	1	0	0	1	0.0	Doubtful
7	NM_004956_4	Homo sapiens ets variant 1 (ETV1), mRNA|ETV1|frame-2			5.641883120590952	100.0	0.0	0.0					Single Protein		NM_004956_4	0	1	1	0	1	0	0	1	0.0	Doubtful
8	NM_018102_4	Homo sapiens zinc finger protein 334 (ZNF334), transcript variant 1, mRNA|ZNF334|frame-2			6.820530416187815	100.0	0.0	0.0					Related Proteins	NM_199441_8	NM_018102_4, NM_199441_8	0	1	1	0	1	0	0	1	0.0	Doubtful
9	NM_004956_1	Homo sapiens ets variant 1 (ETV1), mRNA|ETV1|frame-2			5.547773672197931	100.0	0.0	0.0					Single Protein		NM_004956_1	0	1	1	0	1	0	0	1	0.0	Doubtful
10	Q9H4L4				64.96868842987423	69.69	0.0	0.0					Single Protein		Q9H4L4	0	1	1	0	1	0	0	1	0.0	Doubtful
11	Q567U6				73.15190051221317	90.81	4.44	55.82561073489785					Single Protein		Q567U6	3	4	4	3	4	3	5	6	100.0	Confident
12	Q9H4K7				43.92805314753311	89.66	0.0	0.0					Single Protein		Q9H4K7	0	1	1	0	1	0	0	1	0.0	Doubtful
13	Q9UKV5				72.94883997627815	52.72	0.0	0.0					Single Protein		Q9UKV5	0	1	1	0	1	0	0	1	0.0	Doubtful
14	NM_004560_4	Homo sapiens receptor tyrosine kinase-like orphan receptor 2 (ROR2), mRNA|ROR2|frame-3			17.999970708133986	76.1	0.0	0.0					Single Protein		NM_004560_4	0	1	1	0	1	0	0	1	0.0	Doubtful
15	Q9UKV8				97.14587985523316	84.52	0.0	0.0					Single Protein		Q9UKV8	0	1	1	0	1	0	0	1	0.0	Doubtful
16	NM_001112717_5	Homo sapiens LIM and calponin homology domains 1 (LIMCH1), transcript variant 2, mRNA|LIMCH1|frame-3			4.97853297135676	100.0	0.0	0.0					Related Proteins	NM_001112718_5, NM_001112719_5, NM_001112720_5, NM_014988_5	NM_001112717_5, NM_001112718_5, NM_001112719_5, NM_001112720_5, NM_014988_5	0	1	1	0	1	0	0	1	0.0	Doubtful
17	NM_003170_1	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			16.214753872110023	100.0	0.0	0.0					Single Protein		NM_003170_1	0	2	2	0	2	0	0	2	0.0	Doubtful
18	Q8WXA2				14.260932591154981	100.0	0.0	0.0					Single Protein		Q8WXA2	0	1	1	0	1	0	0	1	0.0	Doubtful
19	NM_198853_1	Homo sapiens tripartite motif-containing 74 (TRIM74), mRNA|TRIM74|frame-1			5.185355920549831	37.25	0.0	0.0					Related Proteins	NM_198924_1	NM_198853_1, NM_198924_1	0	1	1	0	1	0	0	2	0.0	Doubtful
20	NM_007225_7	Homo sapiens neurexophilin 3 (NXPH3), mRNA|NXPH3|frame-3			6.922401953172472	100.0	0.0	0.0					Single Protein		NM_007225_7	0	1	1	0	1	0	0	1	0.0	Doubtful
21	Q9UKW4				97.71348141546703	87.84	0.0	0.0					Single Protein		Q9UKW4	0	1	1	0	1	0	0	1	0.0	Doubtful
22	NM_138933_2	Homo sapiens APOBEC1 complementation factor (A1CF), transcript variant 3, mRNA|A1CF|frame-3			7.718032181007103	100.0	0.0	0.0					Single Protein		NM_138933_2	0	1	1	0	1	0	0	1	0.0	Doubtful
23	NM_007050_11	Homo sapiens protein tyrosine phosphatase, receptor type, T (PTPRT), transcript variant 2, mRNA|PTPRT|frame-3			10.744529362767873	100.0	0.0	0.0					Related Proteins	NM_133170_11	NM_007050_11, NM_133170_11	0	1	1	0	1	0	0	1	0.0	Doubtful
24	Q9H0U4				22.157228841037565	100.0	0.0	0.0					Related Proteins	Q92928	Q92928, Q9H0U4	0	2	2	0	2	0	0	2	0.0	Doubtful
25	NM_153271_1	Homo sapiens sorting nexin 33 (SNX33), mRNA|SNX33|frame-2			8.140238270006002	100.0	0.0	0.0					Single Protein		NM_153271_1	0	2	2	0	2	0	0	3	0.0	Doubtful
26	NM_004168_3	Homo sapiens succinate dehydrogenase complex, subunit A, flavoprotein (Fp) (SDHA), nuclear gene encoding mitochondrial protein, mRNA|SDHA|frame-3			5.357871944576952	100.0	0.0	0.0					Single Protein		NM_004168_3	0	1	1	0	1	0	0	1	0.0	Doubtful
27	NM_005963_4	Homo sapiens myosin, heavy chain 1, skeletal muscle, adult (MYH1), mRNA|MYH1|frame-3			8.501160347912455	100.0	0.0	0.0					Single Protein		NM_005963_4	0	1	1	0	1	0	0	1	0.0	Doubtful
28	NM_001136494_4	Homo sapiens chromosome 1 open reading frame 198 (C1orf198), transcript variant 2, mRNA|C1orf198|frame-3			7.3645825238818095	60.87	0.0	0.0					Related Proteins	NM_001136495_3, NM_032800_3	NM_001136494_4, NM_001136495_3, NM_032800_3	0	1	1	0	1	0	0	1	0.0	Doubtful
29	P82094				122.76667867998316	86.28	0.0	0.0					Single Protein		P82094	0	1	1	0	1	0	0	1	0.0	Doubtful
30	Q9UKX7				50.11316358276398	80.77	7.69	49.93575272158294					Single Protein		Q9UKX7	3	4	4	3	4	3	4	5	100.0	Confident
31	NM_030647_1	Homo sapiens jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae) (JHDM1D), mRNA|JHDM1D|frame-1			5.350581789107323	100.0	0.0	0.0					Single Protein		NM_030647_1	0	1	1	0	1	0	0	1	0.0	Doubtful
32	Q9UKP6				42.10353171329137	55.78	0.0	0.0					Single Protein		Q9UKP6	0	1	1	0	1	0	0	1	0.0	Doubtful
33	Q8WXG9				692.6371808529565	51.86	0.0	0.0					Single Protein		Q8WXG9	0	1	1	0	1	0	0	1	0.0	Doubtful
