	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9UL59				70.94595136118284	89.44	0.0	0.0				Single Protein		Q9UL59	0	1	1	0	1	0	1	0.0	0	Doubtful
2	Q96TC7_REVERSED				52.08603801847995	83.19	0.0	0.0				Single Protein		Q96TC7_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
3	Q6NZ36_REVERSED				19.856043578942174	54.44	0.0	0.0				Single Protein		Q6NZ36_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
4	Q9BYK8_REVERSED				294.46521055315026	81.69	0.0	0.0				Single Protein		Q9BYK8_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
5	Q8TEB1_REVERSED				61.63126025689516	79.49	0.0	0.0				Single Protein		Q8TEB1_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
6	NM_004140_6_REVERSED	Homo sapiens lethal giant larvae homolog 1 (Drosophila) (LLGL1), mRNA|LLGL1|frame-3-REVERSED			8.20322151482639	100.0	0.0	0.0				Single Protein		NM_004140_6_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
7	NM_004693_3	Homo sapiens keratin 75 (KRT75), mRNA|KRT75|frame-3			4.731280494128611	100.0	0.0	0.0				Single Protein		NM_004693_3	0	1	1	0	1	0	1	0.0	0	Doubtful
8	O75164_REVERSED				120.58509107845673	62.97	0.0	0.0				Related Proteins	O94953_REVERSED	O75164_REVERSED, O94953_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
9	NM_004440_3	Homo sapiens EPH receptor A7 (EPHA7), mRNA|EPHA7|frame-1			5.221695309308032	100.0	0.0	0.0				Single Protein		NM_004440_3	0	1	1	0	1	0	1	0.0	0	Doubtful
10	A6NKQ9				20.454389622801447	100.0	0.0	0.0				Related Proteins	P01233, Q6NT52	A6NKQ9, P01233, Q6NT52	0	1	1	0	1	0	1	0.0	0	Doubtful
11	NM_001018089_4	Homo sapiens NMDA receptor regulated 2 (NARG2), transcript variant 2, mRNA|NARG2|frame-2			5.415711804749211	100.0	0.0	0.0				Related Proteins	NM_024611_4	NM_001018089_4, NM_024611_4	0	1	1	0	1	0	1	0.0	0	Doubtful
12	NM_001033561_1	Homo sapiens PHD finger protein 12 (PHF12), transcript variant 1, mRNA|PHF12|frame-2			4.532130771504621	100.0	0.0	0.0				Related Proteins	NM_020889_1	NM_001033561_1, NM_020889_1	0	1	1	0	1	0	1	0.0	0	Doubtful
13	P48163				64.10906861395647	76.75	25.0	108.57184793661018	Oxidation of M(M229, M361)	Oxidation of M(2)		Single Protein		P48163	11	15	15	11	15	22	26	100.0	0	Confident
14	Q2TAC6				111.26410254745433	92.38	2.1	18.989809578804014				Single Protein		Q2TAC6	1	1	1	1	1	2	3	87.5	0	Doubtful
15	Q9UL68				132.95945472010249	83.64	0.0	0.0				Single Protein		Q9UL68	0	1	1	0	1	0	1	0.0	0	Doubtful
16	P30876				133.81068609894038	81.01	0.0	0.0				Single Protein		P30876	0	1	1	0	1	0	1	0.0	0	Doubtful
17	NM_001855_4	Homo sapiens collagen, type XV, alpha 1 (COL15A1), mRNA|COL15A1|frame-1			5.995999617253053	100.0	0.0	0.0				Single Protein		NM_001855_4	0	1	1	0	1	0	2	0.0	0	Doubtful
18	Q96RN1_REVERSED				108.9354120468599	55.57	0.0	0.0				Single Protein		Q96RN1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
19	Q96MC2_REVERSED				87.07996828582613	91.08	0.0	0.0				Single Protein		Q96MC2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
20	NM_004836_5	Homo sapiens eukaryotic translation initiation factor 2-alpha kinase 3 (EIF2AK3), mRNA|EIF2AK3|frame-3			5.652909870016103	100.0	0.0	0.0				Single Protein		NM_004836_5	0	1	1	0	1	0	1	29.629629629629626	0	Doubtful
21	O95613_REVERSED				377.8055060829507	88.37	0.0	0.0				Single Protein		O95613_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
22	Q8IWJ2				195.78871166783256	94.6	0.0	0.0				Single Protein		Q8IWJ2	0	2	2	0	2	0	2	0.0	0	Doubtful
23	NM_001145412_4_REVERSED	Homo sapiens nuclear factor (erythroid-derived 2)-like 2 (NFE2L2), transcript variant 2, mRNA|NFE2L2|frame-3-REVERSED			4.970660378313041	100.0	0.0	0.0				Related Proteins	NM_001145413_3_REVERSED, NM_006164_4_REVERSED	NM_001145412_4_REVERSED, NM_001145413_3_REVERSED, NM_006164_4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
24	P0CJ79				58.68914425996507	100.0	0.0	0.0				Single Protein		P0CJ79	0	1	1	0	1	0	1	0.0	0	Doubtful
25	NM_031300_2_REVERSED	Homo sapiens MAX dimerization protein 3 (MXD3), transcript variant 1, mRNA|MXD3|frame-1-REVERSED			18.042189706531918	100.0	0.0	0.0				Single Protein		NM_031300_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
26	P01266_REVERSED				304.5944126013773	67.2	0.0	0.0				Single Protein		P01266_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
