	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	F56D12.4a.2_4	ref_frame-3|F56D12.4alt_frame-1			22.06252437947449	77.3	0.0	0.0				Single Protein		F56D12.4a.2_4	0	1	1	0	1	0	1	8.179104477611943	0	Doubtful
2	F26F12.7_7	ref_frame-2|F26F12.7alt_frame-3			16.335812804240167	100.0	0.0	0.0				Single Protein		F26F12.7_7	0	1	1	0	1	0	1	8.179104477611943	0	Doubtful
3	F43G6.5_2	ref_frame-1|F43G6.5alt_frame-2			5.20940941267467	100.0	0.0	0.0				Single Protein		F43G6.5_2	0	1	1	0	1	0	1	8.179104477611943	0	Doubtful
4	Q9TYS1	Uncharacterized protein (Q9TYS1_CAEEL)	CELE_D1037.1		89.6548989764535	94.91	0.0	0.0				Single Protein		Q9TYS1	0	2	2	0	2	0	3	9.960356788899905	0	Doubtful
5	Q9TXU7_REVERSED	Eukaryotic Initiation Factor (Q9TXU7_REVERSED_CAEEL)-REVERSED			24.380674380175797	100.0	0.0	0.0				Single Protein		Q9TXU7_REVERSED	0	2	2	0	2	0	2	9.960356788899905	1	Doubtful
6	T01B11.7.1_2	ref_frame-2|T01B11.7alt_frame-1			6.777090182869901	100.0	0.0	0.0				Single Protein		T01B11.7.1_2	0	1	1	0	1	0	2	8.179104477611943	0	Doubtful
7	R155.2_5_REVERSED	ref_frame-2|R155.2alt_frame-3-REVERSED			6.421325340606305	100.0	0.0	0.0				Single Protein		R155.2_5_REVERSED	0	1	1	0	1	0	3	8.179104477611943	1	Doubtful
8	T05A10.1j_1_REVERSED	ref_frame-1|T05A10.1alt_frame-2-REVERSED			5.5899134599906715	100.0	0.0	0.0				Single Protein		T05A10.1j_1_REVERSED	0	2	2	0	2	0	2	9.960356788899905	1	Doubtful
9	Q9TYS3	Ferritin (Q9TYS3_CAEEL)	ftn-2	I	19.58070075291597	100.0	0.0	0.0				Single Protein		Q9TYS3	0	1	1	0	1	0	1	8.179104477611943	0	Doubtful
10	F35C11.4_1	ref_frame-3|F35C11.4alt_frame-2			7.231595676380005	100.0	0.0	0.0				Single Protein		F35C11.4_1	0	1	1	0	1	0	2	8.179104477611943	0	Doubtful
11	H2L0D2_REVERSED	Uncharacterized protein (H2L0D2_REVERSED_CAEEL)-REVERSED			59.79996656315624	65.15	0.0	0.0				Related Proteins	H2L0D3_REVERSED, Q8MXF4_REVERSED	H2L0D2_REVERSED, H2L0D3_REVERSED, Q8MXF4_REVERSED	0	1	1	0	1	0	1	8.179104477611943	1	Doubtful
12	ZC262.1_1_REVERSED	ref_frame-1|ZC262.1alt_frame-2-REVERSED			5.250866113837182	100.0	0.0	0.0				Single Protein		ZC262.1_1_REVERSED	0	1	1	0	1	0	1	8.179104477611943	1	Doubtful
