	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A6NDG6				33.984507764597794	77.26	11.84	169.7723920934888					Single Protein		A6NDG6	3	6	6	3	6	3	8	10	100.0	Confident
2	Q5VW32				46.44665015773616	84.18	14.6	145.58744454320708					Single Protein		Q5VW32	4	6	6	4	6	4	9	9	100.0	Confident
3	P35658				213.4882520520574	45.31	0.62	27.739213443011984					Single Protein		P35658	1	1	1	1	1	1	2	2	100.0	Doubtful
4	P22392				17.286941062399507	100.0	72.37	839.524843388918	Oxidation of M(M68, M76, M90)	Oxidation of M(3)			Single Protein		P22392	16	18	9	8	9	8	63	67	100.0	Confident
5	Q7Z4W1				25.89655504855236	88.52	16.39	120.84747495869567					Single Protein		Q7Z4W1	2	3	3	2	3	2	3	5	100.0	Confident
6	Q9ULA0				52.3949225070169	68.63	4.63	107.61599959825452					Single Protein		Q9ULA0	2	4	4	2	4	2	5	6	100.0	Confident
7	Q96AE4				67.5184714874304	65.37	50.0	468.38993835254206	Oxidation of M(M101, M111, M149, M219, M221, M250, M424)	Oxidation of M(7)			Single Protein		Q96AE4	37	38	35	34	35	34	143	154	100.0	Confident
8	Q14914				35.84672895068976	81.16	13.07	159.34268882494683	Oxidation of M(M63, M64)	Oxidation of M(2)			Single Protein		Q14914	4	7	7	4	7	4	9	10	100.0	Confident
9	Q9Y617				40.39681092152717	82.7	11.08	125.06869414387965					Single Protein		Q9Y617	3	4	4	3	4	3	5	5	100.0	Confident
10	Q13642				36.238647038189036	91.95	15.48	190.18823458411856					Single Protein		Q13642	4	6	6	4	6	4	9	10	100.0	Confident
11	Q9BTD8				50.381996994924855	46.04	4.17	106.83617351420921					Single Protein		Q9BTD8	2	3	3	2	3	2	4	4	100.0	Confident
