	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P28562				39.27265807708235	56.95	0.0	0.0					Single Protein		P28562	0	1	1	0	1	0	0	2	0.0	Doubtful
2	NM_001134647_2	Homo sapiens actin filament associated protein 1 (AFAP1), transcript variant a, mRNA|AFAP1|frame-2			10.415283003614505	100.0	0.0	0.0					Related Proteins	NM_198595_2	NM_001134647_2, NM_198595_2	0	1	1	0	1	0	0	1	0.0	Doubtful
3	O60449				198.1835705879316	77.53	0.87	6.87856642287233					Single Protein		O60449	1	1	1	1	1	1	1	2	5.555555555555558	Doubtful
4	O60443				54.5203513021725	70.97	0.0	0.0					Single Protein		O60443	0	1	1	0	1	0	0	1	0.0	Doubtful
5	NM_006401_2	Homo sapiens acidic (leucine-rich) nuclear phosphoprotein 32 family, member B (ANP32B), mRNA|ANP32B|frame-3			8.795846156769956	100.0	0.0	0.0					Single Protein		NM_006401_2	0	1	1	0	1	0	0	1	0.0	Doubtful
6	P48169				61.583438110126345	88.27	0.0	0.0					Single Protein		P48169	0	1	1	0	1	0	0	1	0.0	Doubtful
7	P30876				133.81068609894038	81.01	0.0	0.0					Single Protein		P30876	0	1	1	0	1	0	0	1	0.0	Doubtful
8	NM_001080530_1	Homo sapiens sorting nexin 29 (SNX29), mRNA|SNX29|frame-1			6.047982612692892	100.0	0.0	0.0					Single Protein		NM_001080530_1	0	1	1	0	1	0	0	1	0.0	Doubtful
9	O14561				17.405984277331008	80.13	0.0	0.0					Single Protein		O14561	0	1	1	0	1	0	0	1	0.0	Doubtful
10	P52209				53.10595320852181	85.51	42.44	144.56704646041786					Single Protein		P52209	15	17	17	15	17	15	28	30	100.0	Confident
