	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P42858				347.38278202173234	68.59	0.48	2.957814927326105					Single Protein		P42858	1	1	1	1	1	1	1	1	100.0	Doubtful
2	Q86XA9				221.86276015291375	74.41	1.32	13.101579207952737					Single Protein		Q86XA9	2	4	4	2	4	2	5	6	100.0	Confident
3	Q92538				206.3146113362693	69.71	0.59	4.882075206751328					Single Protein		Q92538	1	1	1	1	1	1	1	1	100.0	Doubtful
4	P68104				50.10910826932214	65.8	27.92	526.0374578539693	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	10	10	10	10	10	10	153	156	100.0	Confident
5	P40227				57.987597263605494	86.44	11.11	192.1913818500915					Single Protein		P40227	3	3	3	3	3	3	15	15	100.0	Confident
6	O14530				26.51748657432562	100.0	4.87	60.83152116022893					Single Protein		O14530	1	1	1	1	1	1	2	2	100.0	Doubtful
7	Q8WX92				65.6554114594879	80.86	9.83	51.08731955755469					Single Protein		Q8WX92	4	4	4	4	4	4	7	7	100.0	Confident
8	P46379				119.3339775156768	42.14	2.65	34.02951431240529					Single Protein		P46379	2	3	3	2	3	2	3	5	100.0	Confident
9	Q9UKN8				91.92346247902863	89.42	2.31	16.72496810488046					Single Protein		Q9UKN8	1	1	1	1	1	1	2	2	100.0	Doubtful
10	P61981				28.28491273516427	100.0	53.85	841.3902266092675	Oxidation of M(M27, M223)	Oxidation of M(2)			Single Protein		P61981	14	17	12	10	12	10	126	134	100.0	Confident
11	P60660				16.91913314499716	82.12	41.72	363.4246960087981					Single Protein		P60660	5	5	5	5	5	5	14	14	100.0	Confident
12	Q149N8				192.9566791154843	85.92	2.61	16.462787024203042					Single Protein		Q149N8	4	5	5	4	5	4	7	8	100.0	Confident
13	P22314				117.77432920492443	78.26	4.91	20.033404418523485					Single Protein		P22314	3	3	3	3	3	3	5	5	100.0	Confident
14	P61978				50.94440274865072	82.51	19.44	130.20425197625744					Single Protein		P61978	7	8	8	7	8	7	14	22	100.0	Confident
15	Q6I9Y2				23.728003530739187	100.0	31.86	436.92339471244816					Single Protein		Q6I9Y2	5	5	5	5	5	5	28	29	100.0	Confident
16	Q9Y6G9				56.54400024323288	78.97	3.63	14.625450832140148					Single Protein		Q9Y6G9	1	1	1	1	1	1	1	1	100.0	Doubtful
17	Q3B726				37.40882846161325	55.03	3.25	31.823897644008653					Single Protein		Q3B726	1	1	1	1	1	1	1	1	100.0	Doubtful
18	Q13769				78.4579344771098	95.17	14.06	47.99183649980876					Single Protein		Q13769	7	8	8	7	8	7	17	17	100.0	Confident
19	O75534				88.82887199839485	92.36	2.88	22.46392774871199					Single Protein		O75534	2	3	3	2	3	2	3	5	100.0	Confident
20	Q86XP3				102.91186957670797	78.78	6.4	27.34616330213809					Single Protein		Q86XP3	3	5	5	3	5	3	5	7	100.0	Confident
21	Q92598				96.80365728513797	88.58	9.44	47.046127011370984					Single Protein		Q92598	6	6	6	6	6	6	13	15	100.0	Confident
22	Q96PZ0				74.98815494416583	81.39	9.08	52.84695729974771					Single Protein		Q96PZ0	5	5	5	5	5	5	10	10	100.0	Confident
23	P27348				27.746766754682028	100.0	47.35	312.7046616666911	Oxidation of M(M160, M218)	Oxidation of M(2)			Single Protein		P27348	15	17	11	10	11	10	87	94	100.0	Confident
24	P26038				67.77778967478379	94.63	43.85	1004.3282057731906	Oxidation of M(M305, M451)	Oxidation of M(2)			Single Protein		P26038	32	34	34	32	34	32	235	247	100.0	Confident
25	O43156				121.99169425218997	66.85	1.74	15.820395606687846					Single Protein		O43156	1	1	1	1	1	1	2	2	100.0	Doubtful
26	P41236				23.000854799999733	64.39	5.37	416.6037509761133					Related Proteins	Q6NXS1	P41236, Q6NXS1	1	1	1	1	1	1	8	8	100.0	Doubtful
27	O43143				90.87516566013836	74.34	7.42	35.485054010133545					Single Protein		O43143	5	6	5	4	5	4	9	10	100.0	Confident
28	P17987				60.30558222683833	89.03	30.76	75.03894324510121					Single Protein		P17987	15	16	16	15	16	15	30	30	100.0	Confident
29	P17980				49.172456381985356	92.48	9.57	45.149174982632964					Single Protein		P17980	3	3	3	3	3	3	5	5	100.0	Confident
30	Q9Y4R8				91.68914823057254	79.33	1.55	19.838273856005394					Single Protein		Q9Y4R8	1	1	1	1	1	1	2	2	100.0	Doubtful
31	P47756				31.330769221309122	90.25	9.03	49.63149379859833					Single Protein		P47756	1	1	1	1	1	1	2	2	100.0	Doubtful
32	Q14974				97.1080146943779	65.07	13.81	68.9603943500415					Single Protein		Q14974	9	9	9	9	9	9	21	21	100.0	Confident
33	Q9BTC0				243.72319347500863	84.2	20.13	54.579234928355035					Single Protein		Q9BTC0	34	40	40	34	40	34	99	108	100.0	Confident
34	P08107				70.00903707472403	77.69	25.59	51.60547283303818					Single Protein		P08107	12	12	10	10	10	10	21	21	100.0	Confident
35	Q13547				55.067726781189066	80.5	2.49	8.222442453475919					Related Proteins	Q92769	Q13547, Q92769	1	1	0	0	1	1	1	1	100.0	Doubtful
36	Q9H2G2				142.6072328572373	86.4	0.89	6.121070250316891					Single Protein		Q9H2G2	1	1	1	1	1	1	1	1	100.0	Doubtful
37	Q9BRX5				24.51919252816707	84.26	4.17	75.53804275940516					Single Protein		Q9BRX5	1	1	1	1	1	1	2	2	100.0	Doubtful
38	P31946				28.064830628249755	100.0	54.47	443.91969595909626	Oxidation of M(M28, M162, M220)	Oxidation of M(3)			Single Protein		P31946	17	18	10	10	10	10	118	125	100.0	Confident
39	P31947				27.75669340650096	100.0	31.85	456.3602917278672	Oxidation of M(M220)	Oxidation of M(1)			Single Protein		P31947	6	7	4	4	4	4	65	71	100.0	Confident
40	Q9UIL1				18.034141141805062	81.76	11.32	86.46492944787258					Single Protein		Q9UIL1	1	1	1	1	1	1	2	2	100.0	Doubtful
41	Q14814				55.90336896153279	49.33	9.79	124.81902266599502					Single Protein		Q14814	4	4	4	4	4	4	9	9	100.0	Confident
42	Q8WVB6				107.31653010806794	76.0	18.05	51.38796562329823					Single Protein		Q8WVB6	12	14	14	12	14	12	23	24	100.0	Confident
43	Q86V81				26.871620031156695	100.0	4.28	53.493866856855014					Single Protein		Q86V81	1	1	1	1	1	1	2	2	100.0	Doubtful
44	Q86UV5				118.95615292533437	88.7	4.73	14.863856384626795					Single Protein		Q86UV5	3	3	3	3	3	3	4	4	100.0	Confident
45	Q9BRP4				42.1630440217386	59.69	3.06	29.375905517546453					Single Protein		Q9BRP4	1	1	1	1	1	1	1	1	100.0	Doubtful
46	Q9Y450				75.42559898705929	90.5	13.74	45.79105272110135					Single Protein		Q9Y450	6	7	7	6	7	6	10	11	100.0	Confident
47	Q9UID3				85.98823201638136	75.45	1.79	11.122915681401084					Single Protein		Q9UID3	1	2	2	1	2	1	2	2	100.0	Doubtful
48	P58107				555.2789744304341	90.47	1.96	0.36657219982433176					Single Protein		P58107	1	1	1	1	1	1	1	1	100.0	Doubtful
49	Q9NV56				22.40298209015494	67.65	6.37	82.81881796513095					Single Protein		Q9NV56	1	1	1	1	1	1	2	2	100.0	Doubtful
50	Q96P11				46.662314064559	87.41	5.36	40.05805297847243					Single Protein		Q96P11	2	3	3	2	3	2	3	4	100.0	Confident
51	P48729				38.88988833705565	100.0	16.62	88.0492645794471					Single Protein		P48729	5	7	7	5	7	5	10	14	100.0	Confident
52	Q86VP6				136.28865971404403	73.82	28.13	88.61587014801171					Single Protein		Q86VP6	25	27	27	25	27	25	78	85	100.0	Confident
53	Q29RF7				150.73429669179265	89.9	33.43	54.27961913466795					Single Protein		Q29RF7	33	34	30	29	30	29	80	88	100.0	Confident
54	O75369				277.9900580055979	78.9	0.46	9.507554482857357					Single Protein		O75369	1	4	3	1	3	1	4	6	100.0	Doubtful
55	Q86W42				37.51102666997288	100.0	29.91	111.81427095130786					Single Protein		Q86W42	9	9	9	9	9	9	17	17	100.0	Confident
56	O75312				50.893004818902824	75.16	16.34	51.39679108220345					Single Protein		O75312	6	6	6	6	6	6	8	8	100.0	Confident
57	P11474				45.48062291073807	92.43	17.02	134.78356649227194					Single Protein		P11474	4	5	5	4	5	4	11	12	100.0	Confident
58	Q9Y4C2				102.06053750045697	67.75	3.8	21.0212901868681					Single Protein		Q9Y4C2	2	3	3	2	3	2	3	4	100.0	Confident
59	Q63HN8				591.0302454108999	83.25	0.19	2.976385317647053					Single Protein		Q63HN8	1	3	3	1	3	1	2	4	100.0	Doubtful
60	P78527				468.78791077657064	82.05	0.34	1.9617471150416292					Single Protein		P78527	1	2	2	1	2	1	1	2	100.0	Doubtful
61	TRY1_BOVIN				25.408419297583514	82.3	56.38	1334.2987416047208					Single Protein		TRY1_BOVIN	9	9	9	9	9	9	67	69	100.0	Confident
62	Q9UI30				14.190259661679358	100.0	53.6	535.2524992541101					Single Protein		Q9UI30	5	5	5	5	5	5	35	35	100.0	Confident
63	Q8WUA2				57.18948766245533	84.96	12.2	84.76858834323379					Single Protein		Q8WUA2	4	4	4	4	4	4	11	11	100.0	Confident
64	Q8WUA4				100.61576375954256	53.57	3.84	41.93764880874352					Single Protein		Q8WUA4	3	6	6	3	6	3	7	10	100.0	Confident
65	Q8WU90				48.57258844685426	84.74	13.85	92.71580901233862					Single Protein		Q8WU90	5	5	5	5	5	5	12	12	100.0	Confident
66	O75475				60.066679667013574	100.0	14.15	74.35983932517041					Single Protein		O75475	5	6	6	5	6	5	14	18	100.0	Confident
67	P35579				226.39159129111036	96.17	4.95	19.923520550028552					Single Protein		P35579	7	12	10	5	12	7	18	20	100.0	Confident
68	Q9Y3F4				38.41397417578701	82.0	8.86	65.05326710825743					Single Protein		Q9Y3F4	2	2	2	2	2	2	4	4	100.0	Confident
69	P12814				102.99263258935731	92.38	12.11	45.35304676954956					Single Protein		P12814	9	9	4	4	4	4	20	20	100.0	Confident
70	Q13409				71.41210775806452	62.07	2.35	16.25050092460016					Single Protein		Q13409	1	1	1	1	1	1	1	1	100.0	Doubtful
