	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9NSD7_REVERSED				51.09045346810425	64.18	0.0	0.0				Single Protein		Q9NSD7_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
2	XM_001716411_3_REVERSED	PREDICTED: Homo sapiens similar to nuclear transport factor 2 (LOC128322), mRNA|LOC128322|frame-2-REVERSED			7.957210732735213	100.0	0.0	0.0				Related Proteins	XM_060943_1_REVERSED, XM_938802_1_REVERSED	XM_001716411_3_REVERSED, XM_060943_1_REVERSED, XM_938802_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
3	NM_001042632_2	Homo sapiens sorting nexin family member 21 (SNX21), transcript variant 3, mRNA|SNX21|frame-2			20.59898450772477	75.0	0.0	0.0				Related Proteins	NM_001042633_2, Q969T3	NM_001042632_2, NM_001042633_2, Q969T3	0	1	1	0	1	0	1	0.0	0	Doubtful
4	Q70EL2_REVERSED				91.67509354658067	92.14	0.0	0.0				Single Protein		Q70EL2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
5	NM_001031618_1_REVERSED	Homo sapiens speedy homolog E2 (Xenopus laevis) (SPDYE2), mRNA|SPDYE2|frame-2-REVERSED			9.141561922983374	61.54	0.0	0.0				Single Protein		NM_001031618_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	Q8IYT2_REVERSED				88.06203261301803	70.0	0.0	0.0				Single Protein		Q8IYT2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
7	Q5JSS6				10.788334657371955	100.0	0.0	0.0				Single Protein		Q5JSS6	0	1	1	0	1	0	1	0.0	0	Doubtful
8	XM_001130238_1_REVERSED	PREDICTED: Homo sapiens hypothetical protein LOC728283 (FLJ33544), mRNA|FLJ33544|frame-1-REVERSED			17.57198766523191	70.63	0.0	0.0				Related Proteins	XM_001132687_1_REVERSED, XM_001725197_1_REVERSED	XM_001130238_1_REVERSED, XM_001132687_1_REVERSED, XM_001725197_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
9	O14544				59.49063106909095	83.74	0.0	0.0				Single Protein		O14544	0	1	1	0	1	0	1	0.0	0	Doubtful
10	NM_001136472_3	Homo sapiens lipopolysaccharide-induced TNF factor (LITAF), transcript variant 2, mRNA|LITAF|frame-1			9.550061764462658	100.0	0.0	0.0				Related Proteins	NM_001136473_3, NM_004862_3	NM_001136472_3, NM_001136473_3, NM_004862_3	0	1	1	0	1	0	1	0.0	0	Doubtful
11	Q9UL68				132.95945472010249	88.2	0.0	0.0				Single Protein		Q9UL68	0	1	1	0	1	0	1	0.0	0	Doubtful
12	Q9H4L7				117.32797618478314	80.8	0.0	0.0				Single Protein		Q9H4L7	0	1	1	0	1	0	1	0.0	0	Doubtful
13	P30876				133.81068609894038	81.01	0.0	0.0				Single Protein		P30876	0	1	1	0	1	0	1	0.0	0	Doubtful
14	P52209				53.10595320852181	85.51	43.69	318.352006820125				Single Protein		P52209	16	18	18	16	18	57	63	100.0	0	Confident
15	NM_144613_3_REVERSED	Homo sapiens cytochrome c oxidase subunit VIb polypeptide 2 (testis) (COX6B2), mRNA|COX6B2|frame-1-REVERSED			5.14950414792331	100.0	0.0	0.0				Single Protein		NM_144613_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
16	NM_000339_10	Homo sapiens solute carrier family 12 (sodium/chloride transporters), member 3 (SLC12A3), transcript variant 1, mRNA|SLC12A3|frame-1			6.092141319777451	100.0	0.0	0.0				Related Proteins	NM_001126107_10, NM_001126108_10	NM_000339_10, NM_001126107_10, NM_001126108_10	0	1	1	0	1	0	1	0.0	0	Doubtful
17	NM_031284_2	Homo sapiens ADP-dependent glucokinase (ADPGK), transcript variant 1, mRNA|ADPGK|frame-3			6.154088689957633	31.48	0.0	0.0				Single Protein		NM_031284_2	0	1	1	0	1	0	1	0.0	0	Doubtful
