	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	O14562				33.36084905835145	59.87	18.77	395.9855663674176					Single Protein		O14562	5	6	6	5	6	5	14	15	100.0	Confident
2	Q8WXF1				58.70619460813852	71.89	2.29	26.930861619723647					Single Protein		Q8WXF1	1	2	2	1	2	1	3	5	100.0	Doubtful
3	P68104				50.10910826932214	65.8	40.91	994.8519618880013	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	18	20	13	12	13	12	314	330	100.0	Confident
4	Q9UL46				27.384315650885558	100.0	6.69	45.74866032471882					Single Protein		Q9UL46	1	1	1	1	1	1	1	1	100.0	Doubtful
5	Q9H4M9				60.58866550092089	77.15	20.04	107.2040974772728					Single Protein		Q9H4M9	9	10	10	9	10	9	15	15	100.0	Confident
6	Q9NWY4				39.411033409964226	78.9	4.05	80.10204994584468					Single Protein		Q9NWY4	1	2	2	1	2	1	3	3	100.0	Doubtful
7	Q9Y696				28.75374442494168	100.0	67.19	508.3477184181443					Single Protein		Q9Y696	14	15	15	14	15	14	66	75	100.0	Confident
8	Q9H4A4				72.54946048134059	73.08	11.85	88.2235077875762					Single Protein		Q9H4A4	5	7	7	5	7	5	9	11	100.0	Confident
9	Q9BUP3				27.03198738294821	100.0	13.64	112.95382042983265					Single Protein		Q9BUP3	2	3	3	2	3	2	3	4	100.0	Confident
10	P09382				14.706199322903753	100.0	13.33	323.96829089208296					Single Protein		P09382	1	1	1	1	1	1	4	4	100.0	Doubtful
11	NM_017762_4	Homo sapiens myotubularin related protein 10 (MTMR10), mRNA|MTMR10|frame-2			11.736879077042474	100.0	19.27	0.0					Single Protein		NM_017762_4	1	1	1	1	1	1	0	52	96.92307692307692	Doubtful
12	Q52LJ0				37.16702584577766	90.3	6.97	110.07311896920605					Single Protein		Q52LJ0	2	2	2	2	2	2	4	4	100.0	Confident
13	Q9UK76				16.004911273188526	72.73	9.74	195.24874674299642					Single Protein		Q9UK76	1	1	1	1	1	1	2	2	100.0	Doubtful
14	P11802				33.70839754778071	80.86	13.86	84.19967956353642					Single Protein		P11802	3	4	4	3	4	3	4	5	100.0	Confident
15	Q9Y508				25.677276445863136	85.09	10.96	197.26162042075927					Single Protein		Q9Y508	2	2	2	2	2	2	5	5	100.0	Confident
16	Q9NVS9				29.96879727405185	89.27	24.9	139.64150469486336					Single Protein		Q9NVS9	4	5	5	4	5	4	7	7	100.0	Confident
17	Q9NW64				46.865363665705736	83.1	2.38	62.6586235966063					Single Protein		Q9NW64	1	2	2	1	2	1	2	3	100.0	Doubtful
18	P15311				69.36973778207663	91.64	36.69	430.56518591582125					Single Protein		P15311	25	29	29	25	29	25	133	145	100.0	Confident
19	P17980				49.172456381985356	92.48	23.92	122.34305707245886					Single Protein		P17980	7	8	8	7	8	7	12	12	100.0	Confident
20	P52272				77.46431371933258	84.66	3.01	44.23110767640695					Single Protein		P52272	2	3	3	2	3	2	4	4	100.0	Confident
21	Q92499				82.37975541011615	88.51	14.05	90.14232216043077					Single Protein		Q92499	6	7	7	6	7	6	15	16	100.0	Confident
22	Q96QD5				58.27328819950191	76.52	2.94	111.85605951516933					Single Protein		Q96QD5	1	1	1	1	1	1	4	4	100.0	Doubtful
23	P08107				70.00903707472403	77.69	29.8	191.59688278046218					Single Protein		P08107	17	18	15	14	15	14	53	54	100.0	Confident
24	Q9Y3Z3				72.15477485624112	93.77	9.11	77.6116540148197					Single Protein		Q9Y3Z3	4	4	4	4	4	4	8	8	100.0	Confident
25	P31943				49.19840896001632	83.3	14.03	126.68546134483195					Single Protein		P31943	4	4	2	2	2	2	11	11	100.0	Confident
26	P61764				67.52586152204347	84.01	19.53	117.80540850534167					Single Protein		P61764	9	11	11	9	11	9	18	21	100.0	Confident
27	Q9BSJ2				102.46890372710051	93.02	5.43	38.01028442752017					Single Protein		Q9BSJ2	4	6	6	4	6	4	7	8	100.0	Confident
28	Q9NVQ4				20.20215019029552	100.0	9.5	488.66725441822575					Single Protein		Q9NVQ4	1	1	1	1	1	1	8	8	100.0	Doubtful
29	P46109				33.75592279810639	84.16	4.95	42.87815614748157					Single Protein		P46109	1	1	1	1	1	1	1	1	100.0	Doubtful
30	Q99829				59.02154369385524	50.09	3.72	40.64657924761264					Single Protein		Q99829	1	1	1	1	1	1	1	1	100.0	Doubtful
31	Q8WW12				18.913399832438486	100.0	23.6	286.65733604215205					Single Protein		Q8WW12	3	3	3	3	3	3	7	8	100.0	Confident
32	P41240				50.67173180767132	93.56	10.67	101.24009090377595					Single Protein		P41240	4	6	6	4	6	4	10	12	100.0	Confident
33	P11413				59.218992654677656	83.88	18.06	112.37228841674593					Single Protein		P11413	8	9	9	8	9	8	16	19	100.0	Confident
34	TRY1_BOVIN				25.408419297583514	82.3	28.81	365.3754880717273					Single Protein		TRY1_BOVIN	5	5	5	5	5	5	15	17	100.0	Confident
35	Q9UI30				14.190259661679358	100.0	20.0	218.678596352156					Single Protein		Q9UI30	2	2	2	2	2	2	3	3	100.0	Confident
36	P04406				36.03039786921083	80.3	7.16	73.62915702092795					Single Protein		P04406	1	3	3	1	3	1	2	4	100.0	Doubtful
37	Q86U44				64.4334938288832	71.9	4.14	46.330211091558475					Single Protein		Q86U44	2	2	2	2	2	2	3	5	100.0	Confident
38	Q68EM7				95.3773223984494	61.07	9.76	87.7288668760973					Single Protein		Q68EM7	5	5	5	5	5	5	10	11	100.0	Confident
39	Q9H1B7				82.60697858154948	62.06	4.77	83.46511311150992					Single Protein		Q9H1B7	3	4	3	2	3	2	9	9	100.0	Confident
