	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A0A0K3ARF3	Uncharacterized protein (A0A0K3ARF3_CAEEL)	ncl-1	III	104.11408198841983	41.57	0.0	0.0					Related Proteins	A0A0K3ARS2, A0A0K3AS01, A0A0K3AUA6, A0A0K3AUY6, A0A0K3AX41, A0A0K3AXB1, P34611	A0A0K3ARF3, A0A0K3ARS2, A0A0K3AS01, A0A0K3AUA6, A0A0K3AUY6, A0A0K3AX41, A0A0K3AXB1, P34611	0	2	2	0	2	0	0	2	23.350253807106604	Doubtful
2	G8JY38	VITellogenin structural genes (Yolk protein genes) (G8JY38_CAEEL)	vit-2	X	180.8091940486562	84.6	0.0	0.0					Related Proteins	P05690, P55155	G8JY38, P05690, P55155	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
3	G5EF07	BTAF (TBP-associated factor) homolog (G5EF07_CAEEL)	btf-1	II	185.71621146980925	78.47	0.0	0.0					Single Protein		G5EF07	0	1	1	0	1	0	0	1	23.350253807106604	Doubtful
4	R09E10.1.3_3	ref_frame-2|R09E10.1alt_frame-3			5.010666308915161	100.0	0.0	0.0					Single Protein		R09E10.1.3_3	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
5	T08A9.1_3	ref_frame-3|T08A9.1alt_frame-1			9.123084931922147	100.0	0.0	0.0					Single Protein		T08A9.1_3	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
6	Y66D12A.15_1	ref_frame-3|Y66D12A.15alt_frame-1			9.403805976275319	100.0	0.0	0.0					Single Protein		Y66D12A.15_1	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
7	T01B11.7.1_2	ref_frame-2|T01B11.7alt_frame-1			6.777090182869901	100.0	0.0	0.0					Single Protein		T01B11.7.1_2	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
8	M04G7.3a_1	ref_frame-3|M04G7.3alt_frame-1			7.099744874684564	100.0	0.0	0.0					Single Protein		M04G7.3a_1	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
9	Q6BES0	Uncharacterized protein (Q6BES0_CAEEL)	CELE_F16C3.3		45.210565103684324	89.2	0.0	0.0					Single Protein		Q6BES0	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
10	Q09649	FiZzy Related family (Q09649_CAEEL)	fzr-1	II	76.3556796218484	50.85	0.0	0.0					Single Protein		Q09649	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
11	Q18136	CALmodulin related genes (Q18136_CAEEL)	cal-5	X	17.762517324222788	100.0	0.0	0.0					Single Protein		Q18136	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
12	ZK1248.1_1	ref_frame-1|ZK1248.1alt_frame-2			6.272194811902291	100.0	0.0	0.0					Single Protein		ZK1248.1_1	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
13	T22B11.4b_1	ref_frame-2|T22B11.4alt_frame-3			10.782996882071139	100.0	0.0	0.0					Single Protein		T22B11.4b_1	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
14	C17E7.4_3	ref_frame-1|C17E7.4alt_frame-2			15.37017175038923	79.41	0.0	0.0					Single Protein		C17E7.4_3	0	1	1	0	1	0	0	1	14.615384615384619	Doubtful
