	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P68104				50.10910826932214	84.2	5.19	1254.8798519003426	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	1	1	1	1	1	1	2	2	3.316866619618908	Doubtful
2	Q5T750				26.21926892884959	58.4	3.6	1671.740624620662					Single Protein		Q5T750	1	1	1	1	1	1	1	1	3.316866619618908	Doubtful
3	Q5T749				64.09324036673164	55.61	3.97	1515.988392513147					Single Protein		Q5T749	2	3	3	2	3	2	3	4	3.316866619618908	Doubtful
4	Q9ULI3				147.36896301276528	63.43	1.01	278.623437436777	Oxidation of M(M1292)	Oxidation of M(1)			Single Protein		Q9ULI3	1	1	1	1	1	1	1	2	3.316866619618908	Doubtful
5	P02538				60.00827426891604	76.95	14.89	1160.2634665854737					Related Proteins	P48668	P02538, P48668	9	9	4	4	4	4	14	16	3.316866619618908	Doubtful
6	P04264				65.99900087210398	69.25	36.96	5823.344133093762	Oxidation of M(M259, M262, M493)	Oxidation of M(3)			Single Protein		P04264	22	25	21	18	21	18	52	58	3.316866619618908	Doubtful
7	P52272				77.46431371933258	84.66	6.16	855.7075797006516	Oxidation of M(M457, M465, M592, M596, M607, M611)	Oxidation of M(6)			Single Protein		P52272	3	3	3	3	3	3	4	4	3.316866619618908	Doubtful
8	Q5D862				247.9278151013042	53.79	2.09	94.89662954689607					Single Protein		Q5D862	1	1	1	1	1	1	1	1	3.316866619618908	Doubtful
9	P11142				70.8542234932565	89.32	2.48	211.5027133402224					Related Proteins	P54652	P11142, P54652	1	1	0	0	1	1	1	1	3.316866619618908	Doubtful
10	O15294				116.84990708655802	77.72	1.53	300.2141835112136					Single Protein		O15294	1	1	1	1	1	1	1	1	3.316866619618908	Doubtful
11	P13647				62.33997694347283	73.56	9.66	2056.6455392408307					Single Protein		P13647	7	7	2	2	2	2	11	13	3.316866619618908	Doubtful
12	P13645				58.79169361540863	71.92	43.66	3188.7412009406976	Oxidation of M(M150, M306, M321)	Oxidation of M(3)			Single Protein		P13645	20	22	20	18	20	18	31	37	3.316866619618908	Doubtful
13	P02533				51.52938407421822	87.29	26.06	1831.3082543593619	Oxidation of M(M119, M272)	Oxidation of M(2)			Single Protein		P02533	8	8	6	6	6	6	11	12	3.316866619618908	Doubtful
14	P19338				76.568358644663	83.24	3.1	825.9699871222222					Single Protein		P19338	1	2	2	1	2	1	2	3	3.316866619618908	Doubtful
15	P0C7U9				31.71848117338207	69.58	8.74	1226.5031718322443					Single Protein		P0C7U9	1	1	1	1	1	1	1	1	3.316866619618908	Doubtful
16	P35527				62.02681468242336	68.38	23.76	5053.508589789823	Oxidation of M(M245, M326)	Oxidation of M(2)			Single Protein		P35527	15	19	19	15	19	15	28	39	3.316866619618908	Doubtful
17	Q86YZ3				282.2276283698903	55.93	9.58	299.7450453437557					Single Protein		Q86YZ3	5	5	5	5	5	5	9	10	3.316866619618908	Doubtful
18	P07477				26.54108894082115	69.64	4.05	1419.0356464803292					Single Protein		P07477	1	2	1	1	2	1	1	8	3.316866619618908	Doubtful
19	P35908				65.39321717101762	93.11	26.29	1991.214335707666	Oxidation of M(M337)	Oxidation of M(1)			Single Protein		P35908	15	17	12	10	12	10	22	27	3.316866619618908	Doubtful
20	Q70E73				135.17127777747893	63.52	0.96	614.7963002383291					Single Protein		Q70E73	1	1	1	1	1	1	2	2	3.316866619618908	Doubtful
