	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_080723_4	Homo sapiens neurensin 1 (NRSN1), mRNA|NRSN1|frame-2			9.586766685982264	65.0	0.0	0.0					Single Protein		NM_080723_4	0	1	1	0	1	0	0	1	0.0	Doubtful
2	NM_004649_2	Homo sapiens chromosome 21 open reading frame 33 (C21orf33), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA|C21orf33|frame-3			6.678178544381832	100.0	0.0	0.0					Related Proteins	NM_198155_2	NM_004649_2, NM_198155_2	0	1	1	0	1	0	0	1	0.0	Doubtful
3	Q9UL62				111.3405030812205	60.12	0.0	0.0					Single Protein		Q9UL62	0	1	1	0	1	0	0	1	0.0	Doubtful
4	NM_001018089_4	Homo sapiens NMDA receptor regulated 2 (NARG2), transcript variant 2, mRNA|NARG2|frame-2			5.415711804749211	100.0	0.0	0.0					Related Proteins	NM_024611_4	NM_001018089_4, NM_024611_4	0	1	1	0	1	0	0	1	0.0	Doubtful
5	NM_004956_1	Homo sapiens ets variant 1 (ETV1), mRNA|ETV1|frame-2			5.547773672197931	100.0	0.0	0.0					Single Protein		NM_004956_1	0	1	1	0	1	0	0	1	0.0	Doubtful
6	Q9NXC2				43.12996478188238	55.9	0.0	0.0					Single Protein		Q9NXC2	0	1	1	0	1	0	0	1	0.0	Doubtful
7	P52209				53.10595320852181	80.12	31.47	94.85386168458616					Single Protein		P52209	10	11	11	10	11	10	15	20	100.0	Confident
8	Q5JST6				87.34104189865977	92.26	0.0	0.0					Single Protein		Q5JST6	0	1	1	0	1	0	0	1	0.0	Doubtful
9	Q7Z4N2				182.0622402206764	76.92	0.0	0.0					Single Protein		Q7Z4N2	0	1	1	0	1	0	0	1	0.0	Doubtful
10	P30872				42.6578822327327	44.25	0.0	0.0					Single Protein		P30872	0	1	1	0	1	0	0	1	0.0	Doubtful
11	Q9UKV3				151.77079068994243	77.11	1.12	13.35378671999652					Single Protein		Q9UKV3	1	2	2	1	2	1	2	3	76.19047619047619	Doubtful
12	O14559				137.12763257171864	57.73	0.0	0.0					Single Protein		O14559	0	1	1	0	1	0	0	1	0.0	Doubtful
13	NM_001122824_10	Homo sapiens transforming, acidic coiled-coil containing protein 1 (TACC1), transcript variant 2, mRNA|TACC1|frame-2			6.126226495595511	50.0	0.0	0.0					Related Proteins	NM_006283_11	NM_001122824_10, NM_006283_11	0	1	1	0	1	0	0	1	0.0	Doubtful
14	NM_031271_1	Homo sapiens testis expressed 15 (TEX15), mRNA|TEX15|frame-2			6.43556064113544	100.0	0.0	0.0					Single Protein		NM_031271_1	0	1	1	0	1	0	0	2	0.0	Doubtful
15	NM_003170_2	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			4.913436760878631	100.0	0.0	0.0					Single Protein		NM_003170_2	0	1	1	0	1	0	0	1	0.0	Doubtful
16	NM_015018_4	Homo sapiens dopey family member 1 (DOPEY1), mRNA|DOPEY1|frame-1			6.560343073442451	100.0	0.0	0.0					Single Protein		NM_015018_4	0	1	1	0	1	0	0	1	0.0	Doubtful
17	Q5BKZ1				65.61304970951385	78.35	0.0	0.0					Single Protein		Q5BKZ1	0	1	1	0	1	0	0	1	0.0	Doubtful
18	NM_002836_1	Homo sapiens protein tyrosine phosphatase, receptor type, A (PTPRA), transcript variant 1, mRNA|PTPRA|frame-3			19.724196810511277	83.63	0.0	0.0					Related Proteins	Q9H269	NM_002836_1, Q9H269	0	1	1	0	1	0	0	1	0.0	Doubtful
