	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	P48163				64.10906861395647	72.2	40.03	184.42103648792528	Oxidation of M(M76, M167, M229, M238, M361, M394)	Oxidation of M(6)		Single Protein		P48163	18	18	18	18	18	32	35	100.0	0	Confident
2	P48147				80.64802916912808	87.18	49.86	184.08061075280784	Oxidation of M(M185, M633)	Oxidation of M(2)		Single Protein		P48147	27	30	30	27	30	45	53	100.0	0	Confident
3	Q9H0U4				22.157228841037565	100.0	15.42	119.16989478045976	Oxidation of M(M173)	Oxidation of M(1)		Related Proteins	Q92928	Q92928, Q9H0U4	2	2	0	0	2	4	5	100.0	0	Confident
4	P50454				46.411177198189904	86.84	3.11	76.40557847168232				Single Protein		P50454	1	3	3	1	3	3	4	100.0	0	Doubtful
5	P54819				26.460771885631072	100.0	27.2	261.6917703372858				Single Protein		P54819	4	5	5	4	5	7	8	100.0	0	Confident
6	Q92530				29.798014149229743	62.36	6.27	80.24505477679199				Single Protein		Q92530	1	1	1	1	1	1	1	100.0	0	Doubtful
7	P61106				23.88192764629367	86.05	6.98	74.27332977014701				Single Protein		P61106	1	1	1	1	1	1	1	100.0	0	Doubtful
8	Q9UL25				24.332255496943485	100.0	4.44	70.97229289147381	Oxidation of M(M180)	Oxidation of M(1)		Single Protein		Q9UL25	1	1	1	1	1	1	1	100.0	0	Doubtful
9	P68104				50.10910826932214	65.8	40.48	413.25760024831135	Oxidation of M(M102, M276, M404, M410)	Oxidation of M(4)		Related Proteins	Q5VTE0	P68104, Q5VTE0	15	16	16	15	16	38	42	100.0	0	Confident
10	P24941				33.90801967447553	100.0	11.07	67.87618615459745				Related Proteins	Q00526	P24941, Q00526	3	3	1	1	1	4	6	100.0	0	Confident
