	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q8WXA9				59.34501049295324	88.39	7.09	97.6225138331339					Single Protein		Q8WXA9	2	5	5	2	5	2	4	7	100.0	Confident
2	Q7Z4S6				187.06283431498255	72.76	3.17	37.86082417132692					Single Protein		Q7Z4S6	4	5	5	4	5	4	7	8	100.0	Confident
3	P68104				50.10910826932214	55.63	22.94	226.1629227714412	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	9	11	6	5	11	9	23	27	100.0	Confident
4	Q9UKM9				32.443621281188314	73.53	6.86	114.14715810176332					Single Protein		Q9UKM9	2	2	2	2	2	2	3	3	100.0	Confident
5	Q9UKN8				91.92346247902863	80.41	5.72	53.32421984315952					Single Protein		Q9UKN8	3	4	4	3	4	3	6	7	100.0	Confident
6	Q9Y5Q9				101.20763783236904	73.25	5.53	78.14953057887091					Single Protein		Q9Y5Q9	4	4	4	4	4	4	8	8	100.0	Confident
7	Q9Y5Q8				59.533103733799756	86.71	6.94	199.5177217240905					Single Protein		Q9Y5Q8	2	2	2	2	2	2	7	7	100.0	Confident
8	P17844				69.10473382539206	71.5	5.86	102.0439356236716					Single Protein		P17844	3	4	4	3	4	3	6	7	100.0	Confident
9	P35659				42.6479204774305	100.0	28.27	407.4269013226905					Single Protein		P35659	15	19	19	15	19	15	36	47	100.0	Confident
10	P22314				117.77432920492443	66.92	3.12	39.92031758750193					Single Protein		P22314	2	3	3	2	3	2	3	4	100.0	Confident
11	Q9BUL5				43.79081756922039	56.08	6.2	122.5741295052492					Single Protein		Q9BUL5	2	4	4	2	4	2	3	5	100.0	Confident
12	Q9NY12				22.33415465842609	100.0	4.15	134.66208513387747					Single Protein		Q9NY12	1	1	1	1	1	1	2	2	100.0	Doubtful
13	O95926				28.704807753163486	77.78	11.93	180.38069428426795					Single Protein		O95926	2	2	2	2	2	2	4	4	100.0	Doubtful
14	Q9NY27				46.86886688395471	74.1	9.59	116.79325529197206					Single Protein		Q9NY27	3	3	3	3	3	3	6	9	100.0	Confident
15	P24928				217.03905688962809	62.64	0.91	9.973267055990242					Single Protein		P24928	1	2	2	1	2	1	2	2	100.0	Doubtful
16	Q8WXI9				65.21999528964584	77.91	21.08	144.1885711956968					Single Protein		Q8WXI9	9	12	11	8	11	8	15	21	100.0	Confident
17	Q6UN15				66.48653676692165	61.78	6.06	97.40557491350471					Single Protein		Q6UN15	2	2	2	2	2	2	4	4	100.0	Confident
18	O95983				32.82332978686719	76.98	8.93	251.24453846737325					Single Protein		O95983	3	3	3	3	3	3	8	8	100.0	Confident
19	A3KN83				154.21604928901047	71.93	3.23	47.786872402373525					Single Protein		A3KN83	3	3	3	3	3	3	7	7	100.0	Confident
20	Q07955				27.727814961380233	100.0	7.66	206.20131786124986					Single Protein		Q07955	2	2	2	2	2	2	5	6	100.0	Confident
21	Q9BUI4				60.5732367607421	80.71	3.18	54.72223309747455					Single Protein		Q9BUI4	1	1	1	1	1	1	2	2	100.0	Doubtful
22	P27348				27.746766754682028	79.59	15.92	129.21147692607767					Single Protein		P27348	3	3	2	2	2	2	4	5	100.0	Confident
23	Q14919				22.33593699875696	63.9	10.73	278.83275261499443					Single Protein		Q14919	2	2	2	2	2	2	3	3	100.0	Confident
24	Q8WVV9				60.04487467721004	78.6	10.15	120.55145410087218					Single Protein		Q8WVV9	4	7	7	4	7	4	10	11	100.0	Confident
25	Q9BT78				46.239670820759585	100.0	15.76	128.95442491627776					Single Protein		Q9BT78	4	5	5	4	5	4	6	7	100.0	Confident
26	Q9UKD2				27.542911956382333	79.08	10.46	91.69980901898978					Single Protein		Q9UKD2	2	2	2	2	2	2	2	2	98.29931972789116	Confident
27	Q9NX24				17.18991418113894	62.09	23.53	426.1493902465831					Single Protein		Q9NX24	2	2	2	2	2	2	4	4	100.0	Confident
28	Q01130				25.461183837817952	100.0	3.62	132.2247623260245					Related Proteins	Q9BRL6	Q01130, Q9BRL6	1	2	2	1	2	1	2	3	100.0	Doubtful
29	Q9UKF6				77.43614871624325	64.04	3.51	129.75875876577					Single Protein		Q9UKF6	1	2	2	1	2	1	5	6	100.0	Doubtful
