	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	D5MCQ2	SUPpressor (D5MCQ2_CAEEL)	sup-26	III	41.63674113724479	50.0	20.0	184.23928782700335				Related Proteins	D5MCQ3, D5MCQ5, D5MCQ6, D5MCQ9, Q21900	D5MCQ2, D5MCQ3, D5MCQ5, D5MCQ6, D5MCQ9, Q21900	6	6	1	1	1	12	12	100.0	0	Confident
2	Q09655	G patch domain and ankyrin repeat-containing protein 1 homolog (GPAN1_CAEEL)	ZK1320.7	II	41.44603711725703	84.1	0.0	0.0				Single Protein		Q09655	0	1	1	0	1	0	1	0.0	0	Doubtful
3	M04G7.3a_4	ref_frame-3|M04G7.3alt_frame-2			7.227800376716199	100.0	0.0	0.0				Single Protein		M04G7.3a_4	0	1	1	0	1	0	1	0.0	0	Doubtful
4	Q09651	Coiled-coil domain-containing protein 130 homolog (CC130_CAEEL)	ZK1307.9	II	42.113897744546875	89.16	0.0	0.0				Single Protein		Q09651	0	1	1	0	1	0	1	0.0	0	Doubtful
5	T22H9.1.2_1_REVERSED	ref_frame-1|T22H9.1alt_frame-2-REVERSED			7.411297578125515	100.0	0.0	0.0				Single Protein		T22H9.1.2_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	Q6BES6	Uncharacterized protein (Q6BES6_CAEEL)	C34B4.5	V	40.26281559717385	48.56	0.0	0.0				Single Protein		Q6BES6	0	1	1	0	1	0	1	0.0	0	Doubtful
7	Q20864_REVERSED	Uncharacterized protein (Q20864_REVERSED_CAEEL)-REVERSED			50.31763781937614	86.32	0.0	0.0				Single Protein		Q20864_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
8	Q10651	Beta-amyloid-like protein (A4_CAEEL)	apl-1	X	79.38454208655673	81.92	0.0	0.0				Single Protein		Q10651	0	1	1	0	1	0	1	0.0	0	Doubtful
9	Q8STF6	Dystrophin-like protein 1 (DYC1_CAEEL)	dyc-1	X	99.50484821648094	73.06	0.0	0.0				Single Protein		Q8STF6	0	1	1	0	1	0	2	0.0	0	Doubtful
10	Q10663_REVERSED	Bifunctional glyoxylate cycle protein (GCP_CAEEL)-REVERSED			108.56069269664299	85.74	0.0	0.0				Single Protein		Q10663_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
11	ZK418.1_1_REVERSED	ref_frame-1|ZK418.1alt_frame-2-REVERSED			5.473733338397312	100.0	0.0	0.0				Single Protein		ZK418.1_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
