	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation	Fraction
36	NM_001402_6	Homo sapiens eukaryotic translation elongation factor 1 alpha 1 (EEF1A1), mRNA|EEF1A1|frame-1			4.65228208486498	100.0	36.59	822.2946837532116					Single Protein		NM_001402_6	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B04_0
79	XM_001723152_3	PREDICTED: Homo sapiens hypothetical protein LOC100131530 (LOC100131530), mRNA|LOC100131530|frame-1			5.4228370305099425	100.0	59.57	1075.9813415068618					Related Proteins	XM_001725060_3, XM_001726701_3	XM_001723152_3, XM_001725060_3, XM_001726701_3	1	1	1	1	1	1	3	8	97.43589743589743	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B04_0
84	NM_032305_1	Homo sapiens polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like (POLR3GL), mRNA|POLR3GL|frame-1			12.011718543953654	100.0	15.15	170.27314158526102					Single Protein		NM_032305_1	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B04_0
93	NM_001018102_1	Homo sapiens glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A (GRINL1A), transcript variant 2, mRNA|GRINL1A|frame-2			8.709258919733891	41.86	15.12	196.01210484814925					Related Proteins	NM_015532_1, Q6EEV4	NM_001018102_1, NM_015532_1, Q6EEV4	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B04_0
11	XM_001721883_1	PREDICTED: Homo sapiens similar to hCG2036765 (LOC100129094), mRNA|LOC100129094|frame-3			6.1119899490410505	100.0	0.0	0.0					Related Proteins	XM_001722031_1, XM_001722254_1	XM_001721883_1, XM_001722031_1, XM_001722254_1	0	1	1	0	1	0	1	4	85.71428571428572	Doubtful	WAN100329_OT2_HS3NE_HCW_P2B10_0
35	NM_012135_2	Homo sapiens family with sequence similarity 50, member B (FAM50B), mRNA|FAM50B|frame-3			7.9478137463218825	100.0	20.27	272.59510320722114					Single Protein		NM_012135_2	1	1	1	1	1	1	1	19	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D09_0
46	NM_058195_1	Homo sapiens cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4) (CDKN2A), transcript variant 4, mRNA|CDKN2A|frame-3			11.207696919384547	72.38	11.43	384.22928833017835					Related Proteins	NM_058197_3, P42771	NM_058195_1, NM_058197_3, P42771	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D09_0
49	NM_005409_2	Homo sapiens chemokine (C-X-C motif) ligand 11 (CXCL11), mRNA|CXCL11|frame-3			7.520888212469895	100.0	40.0	310.3390405743748					Single Protein		NM_005409_2	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D09_0
76	NM_006916_1	Homo sapiens ribulose-5-phosphate-3-epimerase (RPE), transcript variant 2, mRNA|RPE|frame-2			7.411522400320081	100.0	26.76	284.1132061596389					Related Proteins	Q96AT9	NM_006916_1, Q96AT9	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D09_0
83	NM_000540_19	Homo sapiens ryanodine receptor 1 (skeletal) (RYR1), transcript variant 1, mRNA|RYR1|frame-3			7.750051310670223	100.0	32.81	315.1880880833494					Related Proteins	NM_001042723_19	NM_000540_19, NM_001042723_19	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D09_0
