	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	NM_018288_2_REVERSED	Homo sapiens PHD finger protein 10 (PHF10), transcript variant 1, mRNA|PHF10|frame-3-REVERSED			6.571934813564044	100.0	0.0	0.0				Related Proteins	NM_133325_2_REVERSED	NM_018288_2_REVERSED, NM_133325_2_REVERSED	0	1	1	0	1	0	1	21.746933891714026	1	Doubtful
2	Q6ZMS4_REVERSED				62.044019686905266	94.29	0.0	0.0				Single Protein		Q6ZMS4_REVERSED	0	1	1	0	1	0	1	21.746933891714026	1	Doubtful
3	NM_080723_1	Homo sapiens neurensin 1 (NRSN1), mRNA|NRSN1|frame-2			5.439567929948332	100.0	0.0	0.0				Single Protein		NM_080723_1	0	2	2	0	2	0	2	21.746933891714026	0	Doubtful
4	P07602_REVERSED				58.073849462282354	60.11	0.0	0.0				Single Protein		P07602_REVERSED	0	1	1	0	1	0	1	21.746933891714026	1	Doubtful
5	NM_138340_2_REVERSED	Homo sapiens abhydrolase domain containing 3 (ABHD3), mRNA|ABHD3|frame-1-REVERSED			5.584743952292782	100.0	0.0	0.0				Single Protein		NM_138340_2_REVERSED	0	1	1	0	1	0	2	56.25	1	Doubtful
6	NM_004649_2	Homo sapiens chromosome 21 open reading frame 33 (C21orf33), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA|C21orf33|frame-3			6.678178544381832	100.0	0.0	0.0				Related Proteins	NM_198155_2	NM_004649_2, NM_198155_2	0	1	1	0	1	0	1	21.746933891714026	0	Doubtful
7	NM_005898_2_REVERSED	Homo sapiens cell cycle associated protein 1 (CAPRIN1), transcript variant 1, mRNA|CAPRIN1|frame-2-REVERSED			8.519152557327754	37.5	0.0	0.0				Related Proteins	NM_203364_2_REVERSED	NM_005898_2_REVERSED, NM_203364_2_REVERSED	0	1	1	0	1	0	2	21.746933891714026	1	Doubtful
8	NM_003054_3_REVERSED	Homo sapiens solute carrier family 18 (vesicular monoamine), member 2 (SLC18A2), mRNA|SLC18A2|frame-1-REVERSED			10.39667316666876	63.95	0.0	0.0				Single Protein		NM_003054_3_REVERSED	0	1	1	0	1	0	1	21.746933891714026	1	Doubtful
9	NM_007345_2	Homo sapiens zinc finger protein 236 (ZNF236), mRNA|ZNF236|frame-2			4.911701691364371	100.0	0.0	0.0				Single Protein		NM_007345_2	0	1	1	0	1	0	1	21.746933891714026	0	Doubtful
10	Q9H4L5				101.1601397300788	79.37	0.0	0.0				Single Protein		Q9H4L5	0	1	1	0	1	0	1	21.746933891714026	0	Doubtful
