	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	P68104				50.10910826932214	65.8	30.52	1019.004107717527	Oxidation of M(M276)	Oxidation of M(1)		Related Proteins	Q5VTE0	P68104, Q5VTE0	16	18	13	12	13	199	225	100.0	0	Confident
2	Q9UL46				27.384315650885558	100.0	6.69	112.13453530148993				Single Protein		Q9UL46	1	1	1	1	1	2	2	100.0	0	Doubtful
3	Q9H4M9				60.58866550092089	77.15	5.99	47.61932113904779				Single Protein		Q9H4M9	2	3	2	1	3	5	5	100.0	0	Confident
4	Q9Y696				28.75374442494168	100.0	11.86	158.89419330270414				Single Protein		Q9Y696	2	2	2	2	2	4	4	100.0	0	Confident
5	Q9H4A4				72.54946048134059	73.08	6.15	97.48733244299508				Single Protein		Q9H4A4	3	5	5	3	5	6	8	100.0	0	Confident
6	P09382				14.706199322903753	100.0	13.33	397.0393175860163				Single Protein		P09382	1	1	1	1	1	4	4	100.0	0	Doubtful
7	Q9BV20				39.12535086193247	72.9	3.52	90.23620854227642				Single Protein		Q9BV20	1	2	2	1	2	3	4	100.0	0	Doubtful
8	IP_200833_1				6.32925465016726	100.0	16.67	248.14957349126018				Single Protein		IP_200833_1	1	1	1	1	1	1	1	100.0	0	Doubtful
9	Q9UK76				16.004911273188526	72.73	9.74	119.64354436185756				Single Protein		Q9UK76	1	1	1	1	1	1	1	100.0	0	Doubtful
10	Q96PU8				37.64672654867138	82.11	13.78	151.54848952501962				Single Protein		Q96PU8	3	5	5	3	5	5	9	100.0	0	Confident
11	Q05193				97.34697586449877	80.67	5.09	35.23345089265221				Single Protein		Q05193	3	3	1	1	1	5	6	100.0	0	Confident
12	P15311				69.36973778207663	91.64	13.99	179.30935661531288				Single Protein		P15311	7	9	9	7	9	16	18	100.0	0	Confident
13	Q86WR0				24.463113769171457	100.0	5.29	64.42344696407716				Single Protein		Q86WR0	1	1	1	1	1	1	1	100.0	0	Doubtful
14	P46459				82.54207591413305	82.8	3.9	31.259899615539776				Single Protein		P46459	2	2	2	2	2	2	2	100.0	0	Confident
15	Q8WWM7				113.30354146137523	50.79	1.4	22.22234986488897				Single Protein		Q8WWM7	1	2	2	1	2	2	2	100.0	0	Doubtful
16	Q92499				82.37975541011615	88.51	2.84	20.4581327763787				Single Protein		Q92499	1	3	3	1	3	2	3	100.0	0	Doubtful
