	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P52209				53.10595320852181	85.51	10.35	59.73166797840055					Single Protein		P52209	3	5	5	3	5	3	6	9	100.0	Confident
2	P19623				33.80271562546256	89.4	8.61	118.24007303959641					Single Protein		P19623	3	3	3	3	3	3	6	6	100.0	Confident
3	Q9Y6A4				22.75999248526644	84.46	8.81	90.22558564491105					Single Protein		Q9Y6A4	1	1	1	1	1	1	2	2	100.0	Doubtful
4	P68104				50.10910826932214	84.2	44.59	405.05668497420015	Oxidation of M(M276, M404, M410)	Oxidation of M(3)			Related Proteins	Q5VTE0	P68104, Q5VTE0	20	21	21	20	21	20	139	148	100.0	Confident
5	P40222				61.85324680867071	87.0	31.68	220.45054800092663	Oxidation of M(M347)	Oxidation of M(1)			Single Protein		P40222	17	19	18	16	19	17	41	45	100.0	Confident
6	P24941				33.90801967447553	100.0	4.7	14.60867284351328					Related Proteins	Q00526	P24941, Q00526	1	1	0	0	1	1	1	1	100.0	Doubtful
7	O95155				146.0918561626345	83.1	4.99	35.13822368854415					Single Protein		O95155	5	5	5	5	5	5	9	9	100.0	Confident
8	Q5JSL3				237.51922702285245	92.28	1.54	6.827053592316191					Single Protein		Q5JSL3	2	2	2	2	2	2	2	2	100.0	Confident
9	P46379				119.3339775156768	44.61	1.15	17.24112676184934					Single Protein		P46379	1	1	1	1	1	1	1	1	100.0	Doubtful
10	Q9Y5X2				52.536116949581384	89.46	2.58	20.92973320849499					Single Protein		Q9Y5X2	1	1	1	1	1	1	1	1	100.0	Doubtful
11	Q8IWF6				69.53039691936128	80.59	3.29	17.76891635659983					Single Protein		Q8IWF6	1	1	1	1	1	1	1	1	100.0	Doubtful
12	Q9NWV4				18.036809179054856	80.0	10.63	136.04326585521744					Single Protein		Q9NWV4	1	2	2	1	2	1	2	3	100.0	Doubtful
13	Q09666				628.6993855112892	98.08	4.99	2.564853845000723					Single Protein		Q09666	12	15	15	12	15	12	15	18	100.0	Confident
14	Q9UKK9				24.312236652421767	61.19	5.94	106.18010993577947					Single Protein		Q9UKK9	1	2	2	1	2	1	2	3	100.0	Doubtful
15	Q14204				532.0718395312898	91.8	9.36	16.19695607416303					Single Protein		Q14204	33	36	36	33	36	33	56	58	100.0	Confident
16	P08047				80.6436033530947	28.66	1.91	38.69675117659518					Single Protein		P08047	1	1	1	1	1	1	1	1	100.0	Doubtful
17	Q8IWZ8				72.42547365191643	93.33	2.33	14.463071453046371					Single Protein		Q8IWZ8	1	2	2	1	2	1	1	2	100.0	Doubtful
18	P80217				31.526674787064106	100.0	2.8	60.886496606530876					Single Protein		P80217	1	1	1	1	1	1	2	2	100.0	Doubtful
19	P35637				53.39379117146102	53.61	9.89	146.65657028363867	Oxidation of M(M464)	Oxidation of M(1)			Single Protein		P35637	5	6	5	4	5	4	11	12	100.0	Confident
20	P22314				117.77432920492443	83.65	23.91	49.38009724492422					Single Protein		P22314	18	20	20	18	20	18	32	36	100.0	Confident
21	P61978				50.94440274865072	82.51	61.12	1101.2103094456404	Oxidation of M(M27, M42, M283, M321)	Oxidation of M(4)	Oxidation of M (M241-{M241 M242})	Oxidation of M (1)	Single Protein		P61978	39	41	41	39	41	39	292	359	100.0	Confident
22	P43246				104.67669565905226	83.19	40.47	92.38370540198662					Single Protein		P43246	31	31	31	31	31	31	70	70	100.0	Confident
23	P11940				70.62586938277288	82.86	4.25	31.319313002639987					Related Proteins	Q13310	P11940, Q13310	2	2	2	2	2	2	3	3	100.0	Confident
24	Q9Y6G9				56.54400024323288	84.13	3.63	37.05008091376135					Single Protein		Q9Y6G9	1	1	1	1	1	1	2	2	100.0	Doubtful
25	Q92576				229.33879865193032	86.86	3.33	22.28723105597238					Single Protein		Q92576	6	7	7	6	7	6	10	11	100.0	Confident
26	O75533				145.73809334204142	83.82	0.77	15.10280835166334					Single Protein		O75533	1	2	2	1	2	1	3	3	100.0	Doubtful
27	O75534				88.82887199839485	95.86	38.22	111.23335150274009	Oxidation of M(M783)	Oxidation of M(1)			Single Protein		O75534	31	31	31	31	31	31	64	66	100.0	Confident
28	Q9Y6H1				15.5027023289058	54.97	25.17	174.83471917136376					Single Protein		Q9Y6H1	2	2	0	0	0	0	3	3	61.53846153846154	Doubtful
29	P35611				80.90473919198533	72.18	2.44	15.492471556466041					Single Protein		P35611	1	1	1	1	1	1	1	1	100.0	Doubtful
30	Q9NXG2				39.29080339264612	88.1	4.25	55.992083696038044					Single Protein		Q9NXG2	1	1	1	1	1	1	2	2	100.0	Doubtful
31	Q9Y6D5				201.90913902812753	91.04	0.73	5.358011701374717					Single Protein		Q9Y6D5	1	1	1	1	1	1	1	1	100.0	Doubtful
32	Q9NXH9				72.18842429614473	86.8	10.47	65.70667758788126					Single Protein		Q9NXH9	5	6	6	5	6	5	9	10	100.0	Confident
33	P12956				69.799054271744	90.15	49.59	175.0380691590833	Oxidation of M(M203)	Oxidation of M(1)	Oxidation of M (M348-{M346 M348})	Oxidation of M (1)	Single Protein		P12956	38	39	39	38	39	38	94	98	100.0	Confident
34	Q9Y6E2				48.13197294235554	100.0	23.87	86.45913656806181					Single Protein		Q9Y6E2	9	9	8	8	8	8	15	17	100.0	Confident
35	Q92599				55.72105483661246	90.68	21.12	109.99418998826714					Single Protein		Q92599	7	7	6	6	6	6	16	16	100.0	Confident
36	Q92598				96.80365728513797	91.96	16.32	48.0857497907006	Oxidation of M(M621)	Oxidation of M(1)			Single Protein		Q92598	12	13	10	9	10	9	19	20	100.0	Confident
37	P20585				127.33196652703357	92.88	48.9	67.82031374781528					Single Protein		P20585	46	46	46	46	46	46	92	99	100.0	Confident
38	Q7KZF4				101.93350953374157	93.19	1.98	20.534832581919613					Single Protein		Q7KZF4	1	2	2	1	2	1	2	3	100.0	Doubtful
39	A5YKK6				266.76789655556075	76.26	0.42	9.453603707637258					Single Protein		A5YKK6	1	1	1	1	1	1	2	2	100.0	Doubtful
40	P15374				26.165973525465706	82.61	42.61	262.07592949111375					Single Protein		P15374	7	7	7	7	7	7	16	16	100.0	Confident
41	Q8ND56				50.49911693069789	78.83	7.34	63.61109782454003					Single Protein		Q8ND56	3	6	6	3	6	3	5	8	100.0	Confident
42	Q8IVH2				73.44261471287561	56.91	5.15	41.75908400351998					Single Protein		Q8IVH2	2	3	3	2	3	2	3	4	100.0	Confident
43	Q9UBD5				82.20145693110115	89.59	1.69	27.33679439476897					Single Protein		Q9UBD5	1	2	2	1	2	1	2	3	100.0	Doubtful
44	P49588				106.7432244022008	91.84	13.33	33.555735744287595					Single Protein		P49588	9	12	12	9	12	9	14	16	100.0	Confident
45	P53618				107.0737488352521	88.04	4.93	23.37835945651608					Single Protein		P53618	3	3	3	3	3	3	4	4	100.0	Confident
46	Q13618				88.87345558573134	96.09	10.29	41.001928736919695					Single Protein		Q13618	6	8	8	6	8	6	8	10	100.0	Confident
47	Q13616				89.6219785085094	90.72	13.92	56.85155814093935					Single Protein		Q13616	9	10	10	9	10	9	14	15	100.0	Confident
48	O60506				69.55959742052443	94.06	46.87	185.1114114211854					Single Protein		O60506	26	26	20	20	20	20	77	78	100.0	Confident
49	P26038				67.77778967478379	94.63	35.88	92.0658682825575					Single Protein		P26038	20	21	15	14	15	14	43	44	100.0	Confident
50	Q13620				103.9162090608696	95.62	3.29	14.960084217755869					Single Protein		Q13620	2	2	2	2	2	2	2	2	100.0	Confident
51	O43189				62.06617383299115	88.71	3.7	34.61935989953843					Single Protein		O43189	1	1	1	1	1	1	2	2	100.0	Doubtful
52	Q9GZS3				33.559769050692886	75.41	6.56	37.855517455364854					Single Protein		Q9GZS3	1	1	1	1	1	1	1	1	100.0	Doubtful
53	P12259				251.54551611127977	67.72	0.72	11.336938821268118			Oxidation of M (M1909-{M1909 M1911})	Oxidation of M (1)	Single Protein		P12259	1	2	2	1	2	1	2	3	100.0	Doubtful
54	Q9P2J5				134.37947572329307	87.41	15.48	33.50938411996206					Single Protein		Q9P2J5	12	12	12	12	12	12	19	19	100.0	Confident
55	Q9NVX0				26.91607427974386	84.26	7.23	43.97358088249453					Single Protein		Q9NVX0	1	1	1	1	1	1	1	1	100.0	Doubtful
56	P12268				55.76964691124249	74.51	48.05	175.1478440070159					Single Protein		P12268	20	21	21	20	21	20	44	45	100.0	Confident
57	Q15398				95.05569800437574	100.0	0.95	20.583378285422967					Single Protein		Q15398	1	1	1	1	1	1	2	2	64.28571428571428	Doubtful
58	Q8WVV9				60.04487467721004	93.17	2.4	34.48225352369868					Single Protein		Q8WVV9	1	1	1	1	1	1	2	2	100.0	Doubtful
59	O43143				90.87516566013836	77.74	20.88	68.24920982168403	Oxidation of M(M273)	Oxidation of M(1)			Single Protein		O43143	16	16	16	16	16	16	24	24	100.0	Confident
60	P29966				31.535864738154984	51.81	13.55	210.91979202359292					Single Protein		P29966	3	3	3	3	3	3	6	7	100.0	Confident
61	O00506				48.08181384119275	75.59	3.52	27.039655325260608					Related Proteins	Q9P289	O00506, Q9P289	1	1	1	1	1	1	1	1	100.0	Doubtful
62	Q9BSV6				33.63144129867298	89.03	12.9	115.66963666917039					Single Protein		Q9BSV6	3	3	3	3	3	3	6	6	100.0	Confident
63	P12277				42.617318186065454	80.84	10.76	103.65201208016568					Single Protein		P12277	3	3	3	3	3	3	6	6	100.0	Confident
64	P15311				69.36973778207663	91.64	20.14	83.15323427213286					Single Protein		P15311	12	14	9	7	9	7	23	25	100.0	Confident
65	Q96HC4				63.90449003178593	67.45	13.42	101.27987648032111					Single Protein		Q96HC4	7	7	7	7	7	7	11	11	100.0	Confident
66	Q9Y530				17.013677698841345	100.0	55.92	336.02800319760723					Single Protein		Q9Y530	9	9	9	9	9	9	18	19	100.0	Confident
67	Q08211				140.8691086990477	79.13	1.26	16.824674424606602					Single Protein		Q08211	1	3	3	1	3	1	2	4	100.0	Doubtful
68	Q15417				36.39078432195181	73.86	3.95	71.66065032702812					Single Protein		Q15417	1	1	1	1	1	1	2	2	100.0	Doubtful
69	Q96QK1				91.64893194838044	79.52	30.53	100.32710303142203					Single Protein		Q96QK1	20	21	21	20	21	20	39	40	100.0	Confident
70	P47755				32.92860815499253	100.0	51.75	164.68347653575975					Single Protein		P47755	9	9	8	8	8	8	17	18	100.0	Confident
71	P47756				31.330769221309122	100.0	61.01	268.78155695534116					Single Protein		P47756	14	14	14	14	14	14	32	32	100.0	Confident
72	Q16763				23.830536314322437	100.0	74.77	261.1560973762099					Single Protein		Q16763	12	13	13	12	13	12	27	28	100.0	Confident
73	Q15435				41.5385306721658	91.67	5.0	48.37093897074398					Single Protein		Q15435	1	1	1	1	1	1	2	2	100.0	Doubtful
74	Q14103				38.4103025899212	64.79	40.28	476.7976024266236	Oxidation of M(M155)	Oxidation of M(1)			Single Protein		Q14103	15	17	14	12	14	12	39	42	100.0	Confident
75	Q9Y605				14.64036967817231	72.44	18.9	94.63879363841212					Single Protein		Q9Y605	1	1	1	1	1	1	1	1	100.0	Doubtful
76	Q9NX46				38.922167174795035	74.38	23.42	100.50406208365693					Single Protein		Q9NX46	5	6	6	5	6	5	7	10	100.0	Confident
77	Q04726				83.36411268549338	72.8	1.94	30.984943112932083					Single Protein		Q04726	1	2	2	1	2	1	2	3	100.0	Doubtful
78	Q53GS9				65.33969579797974	94.34	4.96	32.670803057162914					Single Protein		Q53GS9	2	2	2	2	2	2	3	3	100.0	Confident
79	P60709				41.709730139029176	92.0	67.47	160.28255261527977	Oxidation of M(M305)	Oxidation of M(1)	Oxidation of M (M47-{M44 M47})	Oxidation of M (1)	Single Protein		P60709	24	24	1	1	1	1	67	72	100.0	Confident
80	Q14141				49.68534132010475	89.63	11.52	47.180761625521846					Single Protein		Q14141	4	4	1	1	1	1	8	8	100.0	Confident
81	Q66K74				112.14198122962179	68.65	4.15	23.95259701439867					Single Protein		Q66K74	2	4	4	2	4	2	3	5	100.0	Confident
82	Q9Y5K6				71.40732601418689	92.8	26.45	90.82679855542989					Single Protein		Q9Y5K6	13	13	13	13	13	13	24	24	100.0	Confident
83	Q00341				141.36814095528095	92.9	52.37	129.39120494346298	Oxidation of M(M573, M805)	Oxidation of M(2)			Single Protein		Q00341	53	53	53	53	53	53	152	154	100.0	Confident
84	Q9UBQ0				20.492679076992232	74.73	32.97	298.7616818781246					Single Protein		Q9UBQ0	4	6	6	4	6	4	10	12	100.0	Confident
85	Q14152				166.46831430287327	97.47	6.73	13.876698474478996					Single Protein		Q14152	5	8	8	5	8	5	7	13	100.0	Confident
86	Q14157				114.465270479393	46.64	1.01	32.42744512005183					Single Protein		Q14157	1	1	1	1	1	1	2	2	100.0	Doubtful
87	P14868				57.10003352248308	93.21	27.74	87.4642460251048					Single Protein		P14868	10	10	10	10	10	10	19	19	100.0	Confident
88	Q9Y5L4				10.492995467343723	100.0	14.74	91.65020015509384					Single Protein		Q9Y5L4	1	1	1	1	1	1	1	1	100.0	Doubtful
89	P14866				64.09236372380853	63.67	13.41	93.64613784736036					Single Protein		P14866	5	5	5	5	5	5	10	10	100.0	Confident
90	Q14166				74.35603857109098	90.06	13.2	61.61347472175095					Single Protein		Q14166	5	6	6	5	6	5	9	10	100.0	Confident
91	P52272				77.46431371933258	84.66	15.62	50.282966378048					Single Protein		P52272	7	7	7	7	7	7	12	12	100.0	Confident
92	Q9H444				24.934572980451414	77.23	27.23	305.3240772026151	Oxidation of M(M35)	Oxidation of M(1)			Single Protein		Q9H444	5	6	6	5	6	5	12	12	100.0	Confident
93	Q9BTE7				27.49059997320413	100.0	37.97	166.89285995692504					Single Protein		Q9BTE7	7	8	8	7	8	7	12	13	100.0	Confident
94	O15116				15.17011771861115	100.0	12.03	130.92885736441977					Single Protein		O15116	1	1	1	1	1	1	2	2	100.0	Doubtful
95	P33981				97.0110937129566	86.93	1.52	23.37387654962125					Single Protein		P33981	1	1	1	1	1	1	2	2	100.0	Doubtful
96	Q96HQ2				13.187443899243222	100.0	15.52	150.11670715058474					Single Protein		Q96HQ2	1	1	1	1	1	1	2	2	100.0	Doubtful
97	Q14980				238.11522374594037	94.23	7.0	21.19504567377488					Single Protein		Q14980	12	13	13	12	13	12	18	19	100.0	Confident
98	P15313				56.79684374772282	92.79	3.9	36.58306308711729					Related Proteins	P21281	P15313, P21281	1	1	1	1	1	1	2	2	100.0	Doubtful
99	Q9BTC0				243.72319347500863	89.2	1.29	15.026475124047684					Single Protein		Q9BTC0	2	3	3	2	3	2	5	7	100.0	Confident
100	Q9P2W1				24.890711576117813	100.0	21.66	167.1806646454285					Single Protein		Q9P2W1	4	4	4	4	4	4	8	8	100.0	Confident
101	Q6NYC8				67.90150522766606	77.49	2.77	18.33004003101877					Single Protein		Q6NYC8	1	5	5	1	5	1	2	5	100.0	Doubtful
102	Q9Y5B9				119.83841950983168	89.97	8.6	21.10451795857301					Single Protein		Q9Y5B9	5	5	5	5	5	5	5	5	100.0	Confident
103	Q9H3U1				103.01148902530687	92.27	4.24	14.994435731459097					Single Protein		Q9H3U1	2	3	3	2	3	2	2	3	100.0	Confident
104	P08107				70.00903707472403	90.33	34.32	91.27581572393821					Single Protein		P08107	20	20	12	12	17	17	45	45	100.0	Confident
105	Q5VTR2				113.59230301445135	100.0	26.87	43.591637610903184					Single Protein		Q5VTR2	20	21	19	18	19	18	25	28	100.0	Confident
106	Q8IUD2				128.00758397514352	90.05	8.42	31.126544523178108					Single Protein		Q8IUD2	7	8	8	7	8	7	8	9	100.0	Confident
107	Q7L1Q6				48.01274622200626	100.0	47.49	160.65776006071914	Oxidation of M(M79, M90, M91, M216, M397)	Oxidation of M(5)			Single Protein		Q7L1Q6	21	25	24	20	24	20	45	51	100.0	Confident
108	P26599				57.18563917460784	71.19	35.4	120.86362037857239					Single Protein		P26599	13	16	16	13	16	13	27	32	100.0	Confident
109	Q8TDB6				83.50127282644905	94.86	2.03	12.402804864293326					Single Protein		Q8TDB6	1	1	1	1	1	1	1	1	100.0	Doubtful
110	Q9NVA2				49.36719391051174	89.51	20.28	111.29094942878201					Single Protein		Q9NVA2	7	7	4	4	4	4	15	15	100.0	Confident
111	Q6IQ49				49.710652515064204	91.35	2.44	21.13293450178135					Single Protein		Q6IQ49	1	1	1	1	1	1	1	1	100.0	Doubtful
112	P31946				28.064830628249755	100.0	33.33	167.5286178986743					Single Protein		P31946	6	6	6	6	6	6	12	12	100.0	Confident
113	Q7LBR1				22.095169228943785	62.81	13.57	376.13242143650524	Oxidation of M(M85)	Oxidation of M(1)			Single Protein		Q7LBR1	6	6	6	6	6	6	13	14	100.0	Confident
114	Q8IUI8				49.734883044845006	69.68	5.43	28.26873056731791					Single Protein		Q8IUI8	1	1	1	1	1	1	1	1	100.0	Doubtful
115	Q8NC51				44.93845970231779	91.91	16.91	95.5809754061901					Single Protein		Q8NC51	5	5	5	5	5	5	8	9	100.0	Confident
116	Q86V81				26.871620031156695	100.0	41.63	133.25534938243868					Single Protein		Q86V81	5	5	5	5	5	5	9	9	100.0	Confident
117	P25205				90.9240267077595	95.17	4.21	24.531425485812935					Single Protein		P25205	3	3	3	3	3	3	4	5	100.0	Confident
118	Q86UV5				118.95615292533437	96.81	1.16	17.378780468530767					Single Protein		Q86UV5	1	1	1	1	1	1	2	2	100.0	Doubtful
119	Q9BS26				46.94139834687606	71.92	45.81	219.40602625409903					Single Protein		Q9BS26	13	14	14	13	14	13	30	32	100.0	Confident
120	Q09472				263.99039095315413	50.5	0.75	11.90425077212731					Single Protein		Q09472	2	4	2	1	2	1	4	6	100.0	Confident
121	Q8N1G2				95.25996561898799	91.38	14.97	48.352825906160284					Single Protein		Q8N1G2	9	9	9	9	9	9	14	15	100.0	Confident
122	O00571				73.19799865314998	84.59	32.33	67.85127565470499					Single Protein		O00571	18	19	17	16	17	16	28	31	100.0	Confident
123	Q9H2D6				261.21693787275296	86.89	2.37	10.521561907504895					Single Protein		Q9H2D6	5	6	6	5	6	5	6	9	100.0	Confident
124	P58107				555.2789744304341	92.1	33.4	3.0244517552917562					Single Protein		P58107	23	24	21	20	24	23	43	45	100.0	Confident
125	P61758				22.64344456468121	100.0	5.08	44.19679702910617					Single Protein		P61758	1	1	1	1	1	1	1	1	100.0	Doubtful
126	P39880				164.08736331694803	77.21	6.71	21.479694069624692					Single Protein		P39880	7	8	7	6	8	7	9	10	100.0	Confident
127	Q9UIG0				170.79564570178906	91.98	1.62	15.614722049379333					Single Protein		Q9UIG0	2	3	3	2	3	2	3	4	100.0	Confident
128	Q9Y4K4				94.9792916469044	79.67	7.57	33.37164187150734					Single Protein		Q9Y4K4	4	4	4	4	4	4	5	5	100.0	Confident
129	O75382				80.77899745411214	81.45	7.53	31.129812208894634					Single Protein		O75382	3	3	3	3	3	3	4	4	100.0	Confident
130	Q8WW01				18.629181545688578	74.27	10.53	137.11447267297504					Single Protein		Q8WW01	1	1	1	1	1	1	2	2	100.0	Doubtful
131	Q86VP6				136.28865971404403	73.82	13.98	47.33682000474256					Single Protein		Q86VP6	12	15	14	12	15	12	21	24	100.0	Confident
132	Q9Y4L1				111.26620991484693	90.69	1.9	18.026436883507074					Single Protein		Q9Y4L1	1	2	2	1	2	1	2	3	100.0	Doubtful
133	O75369				277.9900580055979	81.05	3.92	15.836164392191751					Single Protein		O75369	12	12	3	3	3	3	19	19	100.0	Confident
134	O43776				62.902516828529336	78.65	41.24	154.20705066256662					Single Protein		O43776	20	23	23	20	23	20	45	48	100.0	Confident
135	Q86VN1				43.78873935857067	100.0	2.59	45.112792822455525					Single Protein		Q86VN1	1	1	1	1	1	1	2	2	100.0	Doubtful
136	Q9NVR2				82.18291509954446	85.21	6.48	36.56385937946001					Single Protein		Q9NVR2	4	4	4	4	4	4	6	6	100.0	Confident
137	Q14008				225.3517736220841	90.6	9.84	27.456498518551797					Single Protein		Q14008	14	17	17	14	17	14	23	25	100.0	Confident
138	Q15345				88.59353548838551	66.38	17.49	89.88943508968234					Single Protein		Q15345	10	10	10	10	10	10	18	18	100.0	Confident
139	Q14011				18.636728600502703	100.0	26.74	219.35658370453666					Single Protein		Q14011	3	3	3	3	3	3	8	8	100.0	Confident
140	Q7L2H7				42.47580505246133	100.0	2.67	23.280131055438275					Single Protein		Q7L2H7	1	1	1	1	1	1	1	1	100.0	Doubtful
141	P98179				17.15998725121503	79.62	21.02	278.6166084714853					Single Protein		P98179	2	2	2	2	2	2	6	6	100.0	Confident
142	P02545				74.09470818682678	94.43	3.77	41.65918188867902					Single Protein		P02545	2	2	2	2	2	2	4	4	100.0	Confident
143	Q9NVM9				80.17430833620048	94.33	14.31	48.54732377608559					Single Protein		Q9NVM9	9	9	9	9	9	9	14	14	100.0	Confident
144	Q15369				12.464998836206794	72.32	28.57	259.1300302004142					Single Protein		Q15369	3	3	3	3	3	3	5	5	100.0	Confident
145	Q15370				13.124551183679388	66.95	46.61	578.6143965487729					Single Protein		Q15370	4	4	4	4	4	4	9	9	100.0	Confident
146	P27816				120.92982604421283	75.26	29.86	72.1781339872064					Single Protein		P27816	23	24	24	23	24	23	45	47	100.0	Confident
147	Q14847				29.698219842049884	72.41	23.75	231.87338998674096					Single Protein		Q14847	5	6	6	5	6	5	10	12	100.0	Confident
148	P41252				144.4060351667167	82.49	21.32	52.76276068086276					Single Protein		P41252	20	22	22	20	22	20	35	39	100.0	Confident
149	Q9NVH2				106.7660660183344	85.55	2.91	25.5180803479892					Single Protein		Q9NVH2	2	2	2	2	2	2	3	3	100.0	Confident
150	Q13535				301.1718986774208	84.34	1.32	6.420921102311146					Single Protein		Q13535	2	2	1	1	2	2	3	3	100.0	Confident
151	O95747				57.98605057558394	84.06	20.68	97.47500729705874					Single Protein		O95747	8	9	9	8	9	8	14	15	100.0	Confident
152	P34932				94.27124016766777	95.95	69.4	160.62070252569947	Oxidation of M(M106, M309, M604, M628, M731, M837)	Oxidation of M(6)			Single Protein		P34932	57	57	54	54	54	54	139	144	100.0	Confident
153	P41227				26.441851499988566	100.0	29.36	114.23774948409748					Single Protein		P41227	5	6	5	4	6	5	7	8	100.0	Confident
154	Q8WVK7				14.179331531693256	100.0	11.57	71.95676871680922					Single Protein		Q8WVK7	1	1	1	1	1	1	1	1	100.0	Doubtful
