	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q96QZ7				164.48081035871195	72.23	0.94	7.255570719435226				Single Protein		Q96QZ7	1	1	1	1	1	1	11	100.0	0	Doubtful
2	Q92538				206.3146113362693	74.18	0.59	11.0997864557269				Single Protein		Q92538	1	2	2	1	2	2	3	100.0	0	Doubtful
3	Q86XI2				130.87607918483545	90.03	12.77	59.98976818216382				Single Protein		Q86XI2	10	13	13	10	13	26	31	100.0	0	Confident
4	P68104				50.10910826932214	77.92	27.71	792.3059910807335	Oxidation of M(M276)	Oxidation of M(1)		Related Proteins	Q5VTE0	P68104, Q5VTE0	8	11	11	8	11	154	162	100.0	0	Confident
5	P40227				57.987597263605494	86.44	42.37	727.0504832951573				Single Protein		P40227	17	18	18	17	18	215	222	100.0	0	Confident
6	P46379				119.3339775156768	44.61	1.5	15.473761712538094				Single Protein		P46379	1	1	1	1	1	1	1	100.0	0	Doubtful
7	Q99986				45.44743567821295	91.67	25.0	279.4134989363125				Single Protein		Q99986	8	8	8	8	8	28	30	100.0	0	Confident
8	Q96A65				110.42857024859269	89.73	3.9	34.86014304439569				Single Protein		Q96A65	3	5	5	3	5	8	9	100.0	0	Confident
9	Q9Y5T5				93.51088781302339	86.88	1.7	21.858041020508356				Single Protein		Q9Y5T5	1	1	1	1	1	2	2	100.0	0	Doubtful
10	P35658				213.4882520520574	47.99	1.05	7.351128565222706				Single Protein		P35658	1	1	1	1	1	1	1	100.0	0	Doubtful
11	P22314				117.77432920492443	80.91	4.91	19.927048325618273				Single Protein		P22314	3	3	3	3	3	4	4	100.0	0	Confident
12	P61978				50.94440274865072	82.51	38.44	1113.2128245728932				Single Protein		P61978	14	16	16	14	16	184	213	100.0	0	Confident
13	Q2TAY7				57.50722949008813	91.81	1.95	33.181527239200584				Single Protein		Q2TAY7	1	2	2	1	2	3	4	100.0	0	Doubtful
14	O75534				88.82887199839485	95.86	2.88	20.429410888448984				Single Protein		O75534	2	4	4	2	4	3	5	100.0	0	Confident
15	P35611				80.90473919198533	72.18	4.48	41.71307650266052				Single Protein		P35611	2	2	2	2	2	5	8	100.0	0	Confident
16	Q9Y6D5				201.90913902812753	86.16	1.57	9.617538049023675				Single Protein		Q9Y6D5	1	2	2	1	2	2	3	100.0	0	Doubtful
17	P12956				69.799054271744	90.15	8.21	47.048027538669466				Single Protein		P12956	3	5	5	3	5	7	9	100.0	0	Confident
18	Q92598				96.80365728513797	88.58	7.11	56.947953831156525				Single Protein		Q92598	5	6	5	4	5	13	15	100.0	0	Confident
19	Q9UK45				11.5950068199461	100.0	24.27	303.4660064012325				Single Protein		Q9UK45	2	3	3	2	3	7	14	100.0	0	Confident
20	P53618				107.0737488352521	84.99	1.15	17.984464130798013				Single Protein		P53618	1	1	1	1	1	2	2	100.0	0	Doubtful
21	Q13619				87.62439596910623	94.73	2.24	10.868219283493374				Single Protein		Q13619	1	1	1	1	1	1	1	100.0	0	Doubtful
22	Q13616				89.6219785085094	90.72	2.84	11.0997864557269				Single Protein		Q13616	1	1	1	1	1	1	1	100.0	0	Doubtful
23	P26038				67.77778967478379	94.63	9.19	60.245915783283245				Single Protein		P26038	5	7	5	3	7	10	12	100.0	0	Confident
24	Q9Y4Z0				15.339895036346968	100.0	20.14	515.3282153066494				Single Protein		Q9Y4Z0	3	3	3	3	3	13	13	100.0	0	Confident
25	O43156				121.99169425218997	74.29	1.74	17.984464130798013				Single Protein		O43156	1	1	1	1	1	2	2	100.0	0	Doubtful
26	P33176				109.6169890375603	100.0	12.67	50.63883985305933				Single Protein		P33176	9	11	9	7	11	22	29	100.0	0	Confident
27	O43143				90.87516566013836	77.74	3.9	28.81360495881909				Single Protein		O43143	2	2	2	2	2	3	3	100.0	0	Confident
28	O43148				54.809262371443715	93.7	13.45	122.57646533069395				Single Protein		O43148	6	7	7	6	7	17	18	100.0	0	Confident
29	P17987				60.30558222683833	93.88	54.68	1210.2794157644826				Single Protein		P17987	24	26	26	24	26	250	262	100.0	0	Confident
30	Q9Y520				316.7183274068503	65.3	0.45	7.897169949299381				Single Protein		Q9Y520	1	1	1	1	1	2	2	61.53846153846154	0	Doubtful
31	P09496				27.06003200220919	41.94	3.63	300.5480640319899				Single Protein		P09496	1	1	1	1	1	4	8	100.0	0	Doubtful
32	P09497				25.175129854745304	58.95	9.61	463.0666468048437				Single Protein		P09497	2	2	2	2	2	9	9	100.0	0	Confident
33	P47756				31.330769221309122	100.0	9.03	112.84115039468212				Single Protein		P47756	1	4	4	1	4	4	8	100.0	0	Doubtful
34	Q9NWS1				65.01348664212632	94.47	2.25	14.285648381776484				Single Protein		Q9NWS1	1	3	3	1	3	2	11	99.19354838709677	0	Doubtful
35	P60709				41.709730139029176	84.27	61.6	737.1864041170898	Oxidation of M(M153, M325)	Oxidation of M(2)		Single Protein		P60709	22	26	1	1	1	573	612	100.0	0	Confident
36	O75694				155.1002691392602	68.22	1.58	7.752231810348945				Single Protein		O75694	1	2	2	1	2	2	2	100.0	0	Doubtful
37	Q96QC0				98.99597066593785	71.91	1.06	11.559540924307303				Single Protein		Q96QC0	1	2	2	1	2	1	2	100.0	0	Doubtful
38	Q07866				65.26887188097051	88.13	4.54	117.0674107090897				Single Protein		Q07866	2	3	3	2	3	10	10	100.0	0	Confident
39	Q14974				97.1080146943779	68.26	1.83	13.067307131825647				Single Protein		Q14974	1	2	2	1	2	1	2	100.0	0	Doubtful
40	Q9BTD8				50.381996994924855	57.5	6.46	84.9374963568667				Single Protein		Q9BTD8	2	3	3	2	3	4	5	100.0	0	Confident
41	Q14980				238.11522374594037	94.23	1.56	9.515647424295832				Single Protein		Q14980	2	3	3	2	3	3	8	100.0	0	Confident
42	Q9Y5G5				101.41770820613989	53.76	3.0	15.597304720223025				Single Protein		Q9Y5G5	1	2	2	1	2	1	2	97.60956175298804	0	Doubtful
43	Q9BTC0				243.72319347500863	86.61	0.63	7.7063606162048695				Single Protein		Q9BTC0	1	2	2	1	2	2	3	100.0	0	Doubtful
44	Q9H3P7				60.555979392353926	74.43	6.44	49.70896733353522				Single Protein		Q9H3P7	2	4	4	2	4	5	8	100.0	0	Confident
45	P08107				70.00903707472403	90.33	12.64	50.497957678604635				Single Protein		P08107	7	8	7	6	7	13	14	100.0	0	Confident
46	P31946				28.064830628249755	100.0	30.89	607.7749739313573				Single Protein		P31946	6	6	6	6	6	28	32	100.0	0	Confident
47	P31947				27.75669340650096	100.0	9.68	31.509071229160227				Single Protein		P31947	1	1	1	1	1	1	1	100.0	0	Doubtful
