	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	NM_005188_1	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA|CBL|frame-2			14.877910529472706	66.42	0.0	0.0				Single Protein		NM_005188_1	0	1	1	0	1	0	1	0.0	0	Doubtful
2	NM_018052_1	Homo sapiens Vac14 homolog (S. cerevisiae) (VAC14), mRNA|VAC14|frame-2			6.335976991040972	100.0	0.0	0.0				Single Protein		NM_018052_1	0	1	1	0	1	0	1	100.0	0	Doubtful
3	Q70EL2_REVERSED				91.67509354658067	92.14	0.0	0.0				Single Protein		Q70EL2_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
4	Q8WXC6				6.206754765612963	36.84	35.09	957.010469741106				Single Protein		Q8WXC6	1	1	1	1	1	2	2	100.0	0	Doubtful
5	NM_001136154_7	Homo sapiens v-ets erythroblastosis virus E26 oncogene homolog (avian) (ERG), transcript variant 3, mRNA|ERG|frame-3			5.184714926341581	100.0	0.0	0.0				Related Proteins	NM_001136155_6, NM_004449_7, NM_182918_6	NM_001136154_7, NM_001136155_6, NM_004449_7, NM_182918_6	0	1	1	0	1	0	1	0.0	0	Doubtful
6	A6NKQ9				20.454389622801447	100.0	0.0	0.0				Related Proteins	P01233, Q6NT52	A6NKQ9, P01233, Q6NT52	0	1	1	0	1	0	1	0.0	0	Doubtful
7	NM_000136_1	Homo sapiens Fanconi anemia, complementation group C (FANCC), mRNA|FANCC|frame-3			7.352739950929731	100.0	0.0	0.0				Single Protein		NM_000136_1	0	1	1	0	1	0	1	0.0	0	Doubtful
8	NM_004956_4	Homo sapiens ets variant 1 (ETV1), mRNA|ETV1|frame-2			5.641883120590952	100.0	0.0	0.0				Single Protein		NM_004956_4	0	1	1	0	1	0	1	0.0	0	Doubtful
9	NM_018102_4	Homo sapiens zinc finger protein 334 (ZNF334), transcript variant 1, mRNA|ZNF334|frame-2			6.820530416187815	100.0	0.0	0.0				Related Proteins	NM_199441_8	NM_018102_4, NM_199441_8	0	1	1	0	1	0	1	0.0	0	Doubtful
10	NM_004956_1	Homo sapiens ets variant 1 (ETV1), mRNA|ETV1|frame-2			5.547773672197931	100.0	0.0	0.0				Single Protein		NM_004956_1	0	1	1	0	1	0	1	0.0	0	Doubtful
11	Q9H4L4				64.96868842987423	69.69	0.0	0.0				Single Protein		Q9H4L4	0	1	1	0	1	0	1	0.0	0	Doubtful
12	O95613_REVERSED				377.8055060829507	88.37	0.0	0.0				Single Protein		O95613_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
13	Q9H2G4_REVERSED				79.38681007340548	55.7	0.0	0.0				Single Protein		Q9H2G4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
14	Q567U6				73.15190051221317	90.81	4.44	55.82561073489785				Single Protein		Q567U6	3	4	4	3	4	5	6	100.0	0	Confident
15	Q9H4K7				43.92805314753311	89.66	0.0	0.0				Single Protein		Q9H4K7	0	1	1	0	1	0	1	0.0	0	Doubtful
16	Q9UKV5				72.94883997627815	52.72	0.0	0.0				Single Protein		Q9UKV5	0	1	1	0	1	0	1	0.0	0	Doubtful
17	NM_004560_4	Homo sapiens receptor tyrosine kinase-like orphan receptor 2 (ROR2), mRNA|ROR2|frame-3			17.999970708133986	76.1	0.0	0.0				Single Protein		NM_004560_4	0	1	1	0	1	0	1	0.0	0	Doubtful
18	Q08648_REVERSED				11.424050695253584	100.0	0.0	0.0				Related Proteins	Q6PDA7_REVERSED	Q08648_REVERSED, Q6PDA7_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
19	NM_024789_5_REVERSED	Homo sapiens transmembrane protein 180 (TMEM180), mRNA|TMEM180|frame-3-REVERSED			6.440155272672771	100.0	0.0	0.0				Unrelated Proteins	NM_000767_3_REVERSED	NM_000767_3_REVERSED, NM_024789_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
20	Q92620_REVERSED				140.4150848017291	84.19	0.0	0.0				Single Protein		Q92620_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
21	NM_016249_1_REVERSED	Homo sapiens melanoma antigen family C, 2 (MAGEC2), mRNA|MAGEC2|frame-2-REVERSED			6.029998103325032	100.0	0.0	0.0				Single Protein		NM_016249_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
