	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P62487				19.281875977056895	100.0	20.35	320.606338428452					Single Protein		P62487	3	3	3	3	3	3	5	6	100.0	Confident
2	P62495				49.00014979253837	93.82	2.97	75.71298426960239					Single Protein		P62495	1	2	2	1	2	1	2	3	100.0	Doubtful
3	Q96J01				38.74682989495591	69.52	9.4	194.02620629336687					Single Protein		Q96J01	3	3	3	3	3	3	5	5	100.0	Confident
4	P68104				50.10910826932214	60.61	30.95	269.85698776008303	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	12	12	7	7	7	7	26	26	100.0	Confident
5	P40227				57.987597263605494	77.02	40.11	605.8112121140388					Single Protein		P40227	18	20	20	18	20	18	53	57	100.0	Confident
6	P46379				119.3339775156768	42.14	1.15	32.75898428298638					Single Protein		P46379	1	2	2	1	2	1	1	2	100.0	Doubtful
7	Q99986				45.44743567821295	85.35	15.91	219.51377232233463					Single Protein		Q99986	5	6	6	5	6	5	10	12	100.0	Confident
8	P61981				28.28491273516427	89.47	47.37	669.0599212521665	Oxidation of M(M223)	Oxidation of M(1)			Single Protein		P61981	15	15	10	10	10	10	42	43	100.0	Confident
9	Q96A65				110.42857024859269	84.6	14.68	87.62092739734699					Single Protein		Q96A65	11	13	13	11	13	11	19	21	100.0	Confident
10	Q9Y5S2				194.19280891237474	74.93	6.95	41.48854817509784					Single Protein		Q9Y5S2	9	10	9	8	10	9	12	13	100.0	Confident
11	P13489				49.94108720369384	86.77	16.05	97.919767662073					Single Protein		P13489	5	5	5	5	5	5	6	7	100.0	Confident
12	P17844				69.10473382539206	71.5	19.54	170.14701970142914					Single Protein		P17844	13	16	10	8	10	8	21	25	100.0	Confident
13	Q96A49				39.90886348129711	59.09	3.69	70.0986739953734					Single Protein		Q96A49	1	1	1	1	1	1	1	1	100.0	Doubtful
14	Q14204				532.0718395312898	83.49	2.41	12.463178179772791					Single Protein		Q14204	8	10	10	8	10	8	11	13	100.0	Confident
15	P22314				117.77432920492443	73.44	7.18	73.52572027959167					Single Protein		P22314	5	5	5	5	5	5	9	9	100.0	Confident
16	Q93009				128.2203332323538	84.39	1.81	15.9223167111724					Single Protein		Q93009	1	1	1	1	1	1	1	1	100.0	Doubtful
17	P68363				50.119604615111854	68.51	16.19	148.36530973158867					Related Proteins	P68366	P68363, P68366	6	6	0	0	0	0	9	9	100.0	Confident
18	P61978				50.94440274865072	77.11	9.94	137.1389416209661					Single Protein		P61978	3	3	3	3	3	3	5	5	100.0	Confident
19	Q2TAY7				57.50722949008813	76.61	3.9	52.68562758887937					Single Protein		Q2TAY7	2	3	3	2	3	2	2	4	100.0	Confident
20	NM_015036_1	Homo sapiens endonuclease domain containing 1 (ENDOD1), mRNA|ENDOD1|frame-2			6.32925465016726	100.0	16.67	612.7143356632638					Single Protein		NM_015036_1	1	1	1	1	1	1	2	2	98.54014598540147	Doubtful
21	Q6I9Y2				23.728003530739187	100.0	10.78	202.73636106505052					Single Protein		Q6I9Y2	2	2	2	2	2	2	4	4	100.0	Confident
22	Q96RE7				57.2218150043571	54.27	2.85	84.62039418367327					Single Protein		Q96RE7	1	2	2	1	2	1	2	3	100.0	Doubtful
23	Q13769				78.4579344771098	84.33	1.17	50.902421732025					Single Protein		Q13769	1	2	2	1	2	1	2	3	100.0	Doubtful
24	Q7Z569				67.26122336822743	82.43	7.26	51.232026377249255					Single Protein		Q7Z569	3	3	3	3	3	3	3	3	100.0	Confident
25	Q07955				27.727814961380233	100.0	4.03	66.70680267301663					Single Protein		Q07955	1	1	1	1	1	1	1	1	100.0	Doubtful
26	O43913				50.251234860391975	73.79	25.75	163.2383851299603					Single Protein		O43913	11	11	11	11	11	11	15	15	100.0	Confident
27	Q9NP77				22.559959764129378	71.13	11.86	179.81833764030569					Single Protein		Q9NP77	2	2	2	2	2	2	2	2	100.0	Confident
28	Q86XP3				102.91186957670797	76.01	4.9	48.4937225462131					Single Protein		Q86XP3	3	4	4	3	4	3	4	5	100.0	Confident
29	P12956				69.799054271744	85.55	1.97	27.164674980144696					Single Protein		P12956	1	1	1	1	1	1	1	1	100.0	Doubtful
30	Q92598				96.80365728513797	88.58	1.05	41.93482145223858					Single Protein		Q92598	1	2	2	1	2	1	2	3	98.54014598540147	Doubtful
31	Q6ZTU2				51.72018874650174	32.99	2.46	67.52362066493112					Single Protein		Q6ZTU2	1	1	1	1	1	1	1	1	100.0	Doubtful
32	Q96PZ0				74.98815494416583	81.39	3.48	55.70130324211488					Single Protein		Q96PZ0	2	5	5	2	5	2	3	7	100.0	Confident
