	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	O45431_REVERSED	Uncharacterized protein (O45431_REVERSED_CAEEL)-REVERSED			40.580540326003735	86.08	0.0	0.0				Single Protein		O45431_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
2	A4UVK0	High Incidence of Males (Increased X chromosome loss) (A4UVK0_CAEEL)	him-4	X	23.48090519871753	50.47	0.0	0.0				Related Proteins	G5ED27, G5EDG4, G5EG33	A4UVK0, G5ED27, G5EDG4, G5EG33	0	1	1	0	1	0	1	0.0	0	Doubtful
3	G5EF07	BTAF (TBP-associated factor) homolog (G5EF07_CAEEL)	btf-1	II	185.71621146980925	81.02	0.0	0.0				Single Protein		G5EF07	0	1	1	0	1	0	1	0.0	0	Doubtful
4	G5EC55	Multiple PDZ domain protein (G5EC55_CAEEL)	mpz-1	II	259.98315783689037	66.23	0.0	0.0				Related Proteins	G5EC95, G5ECF9, G5ECZ8, G5EGP5, Q09EF4	G5EC55, G5EC95, G5ECF9, G5ECZ8, G5EGP5, Q09EF4	0	1	1	0	1	0	1	0.0	0	Doubtful
5	Q9NAP2_REVERSED	Major sperm protein (Q9NAP2_REVERSED_CAEEL)-REVERSED			55.62899615720658	81.76	0.0	0.0				Single Protein		Q9NAP2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	Q9TYS1	Uncharacterized protein (Q9TYS1_CAEEL)	CELE_D1037.1		89.6548989764535	91.73	0.0	0.0				Single Protein		Q9TYS1	0	1	1	0	1	0	1	0.0	0	Doubtful
7	H8W3Y6	Uncharacterized protein (H8W3Y6_CAEEL)	CELE_F18E9.7		44.07865205455656	75.7	0.0	0.0				Related Proteins	H8W3Y7	H8W3Y6, H8W3Y7	0	1	1	0	1	0	2	0.0	0	Doubtful
8	Q09653	Putative cytochrome P450 CYP13A10 (C13AA_CAEEL)	cyp-13A10	II	59.978821481856976	77.07	0.0	0.0				Single Protein		Q09653	0	1	1	0	1	0	1	0.0	0	Doubtful
9	Q9TYS3	Ferritin (Q9TYS3_CAEEL)	ftn-2	I	19.58070075291597	100.0	16.47	532.9712371617521				Single Protein		Q9TYS3	3	3	3	3	3	5	5	100.0	0	Confident
10	Y54E10A.12_1_REVERSED	ref_frame-1|Y54E10A.12alt_frame-2-REVERSED			5.31987151648745	26.67	0.0	0.0				Single Protein		Y54E10A.12_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
11	G5EFY6	Yeast SEC homolog (G5EFY6_CAEEL)	sec-31	IV	119.52983699302744	47.74	0.0	0.0				Unrelated Proteins	G5EEM5	G5EEM5, G5EFY6	0	1	1	0	1	0	1	0.0	0	Doubtful
12	M04G7.3a_1	ref_frame-3|M04G7.3alt_frame-1			7.099744874684564	100.0	0.0	0.0				Single Protein		M04G7.3a_1	0	1	1	0	1	0	1	0.0	0	Doubtful
13	O61775	Very Early Transcript (O61775_CAEEL)	vet-2	I	90.03774203903373	70.57	0.0	0.0				Single Protein		O61775	0	1	1	0	1	0	1	0.0	0	Doubtful
14	Q6BES0	Uncharacterized protein (Q6BES0_CAEEL)	CELE_F16C3.3		45.210565103684324	94.47	0.0	0.0				Single Protein		Q6BES0	0	1	1	0	1	0	1	0.0	0	Doubtful
15	Q93575_REVERSED	Regulator of telomere elongation helicase 1 homolog (RTEL1_CAEEL)-REVERSED			112.87338902006272	85.31	0.0	0.0				Single Protein		Q93575_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
16	C6KRI9_REVERSED	Uncharacterized protein (C6KRI9_REVERSED_CAEEL)-REVERSED			263.9990871533381	81.0	0.0	0.0				Related Proteins	Q22847_REVERSED, X5M5W2_REVERSED, X5M900_REVERSED	C6KRI9_REVERSED, Q22847_REVERSED, X5M5W2_REVERSED, X5M900_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
17	Q21176_REVERSED	Uncharacterized protein (Q21176_REVERSED_CAEEL)-REVERSED			22.18462758259518	69.54	0.0	0.0				Single Protein		Q21176_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
18	G5EEN3	CED-5 (G5EEN3_CAEEL)	ced-5	IV	203.67301790841435	77.2	0.0	0.0				Single Protein		G5EEN3	0	2	2	0	2	0	3	0.0	0	Doubtful
19	P48162	60S ribosomal protein L23a 1 (R23A1_CAEEL)	rpl-25.1	X	16.686265661204988	100.0	25.17	875.2330384411359	Oxidation of M(M78)	Oxidation of M(1)		Single Protein		P48162	4	4	3	3	3	10	10	100.0	0	Confident
20	P48166	Ribosomal protein rpl-41 (RL44_CAEEL)	rpl-41	II	12.358713545584092	100.0	28.57	1475.5689394563935				Single Protein		P48166	5	7	7	5	7	12	16	100.0	0	Confident
21	Q10655	Transcription factor elt-2 (ELT2_CAEEL)	elt-2	X	47.08649762558481	43.65	0.0	0.0				Single Protein		Q10655	0	1	1	0	1	0	2	0.0	0	Doubtful
22	G5ED24_REVERSED	MAX-1A (G5ED24_REVERSED_CAEEL)-REVERSED			124.89187546870677	82.89	0.0	0.0				Related Proteins	Q18420_REVERSED	G5ED24_REVERSED, Q18420_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
23	Q09641	alpha-1,2-Mannosidase (Q09641_CAEEL)	CELE_ZC506.1		106.39706791589897	74.44	0.0	0.0				Single Protein		Q09641	0	2	2	0	2	0	2	0.0	0	Doubtful
24	O61743_REVERSED	Uncharacterized protein (O61743_REVERSED_CAEEL)-REVERSED			13.768539607305817	100.0	0.0	0.0				Single Protein		O61743_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
25	A0A131MBU3_REVERSED	Protein irg-7 (IRG7_CAEEL)-REVERSED			243.57995749806247	37.98	0.0	0.0				Single Protein		A0A131MBU3_REVERSED	0	2	1	0	1	0	2	0.0	1	Doubtful
26	F15G9.4a_5_REVERSED	ref_frame-1|F15G9.4alt_frame-2-REVERSED			12.50925057464572	100.0	0.0	0.0				Single Protein		F15G9.4a_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
27	Q21302	XPA (Xeroderma pigmentosum comp grp A) related (Q21302_CAEEL)	xpa-1	I	28.88427737634757	90.87	0.0	0.0				Single Protein		Q21302	0	2	2	0	2	0	2	0.0	0	Doubtful
28	Q9U2D5	Uncharacterized protein (Q9U2D5_CAEEL)	CELE_Y46G5A.29		85.62900396439264	72.75	0.0	0.0				Single Protein		Q9U2D5	0	1	1	0	1	0	1	0.0	0	Doubtful
29	R11F4.2b_2	ref_frame-2|R11F4.2alt_frame-1			13.24856832724451	77.59	0.0	0.0				Single Protein		R11F4.2b_2	0	1	1	0	1	0	1	0.0	0	Doubtful
30	P48158	60S ribosomal protein L23 (RL23_CAEEL)	rpl-23	III	14.94499755720438	100.0	18.57	420.66658361695437				Single Protein		P48158	3	3	3	3	3	4	6	100.0	0	Doubtful
